year,quarter,purpose,nights
1996,1,PERS,14819612.0
1996,1,PROF,985056.0
1996,2,PERS,49365594.0
1996,2,PERS_VFR,9345511.0
1996,2,PROF,2207526.0
1996,3,PERS,151803906.0
1996,3,PERS_VFR,20672416.0
1996,3,PROF,2073234.0
1996,4,PERS,21905316.0
1996,4,PERS_VFR,5976358.0
1996,4,PROF,1480754.0
1997,1,PERS,15372406.0
1997,1,PERS_VFR,4442671.0
1997,1,PROF,1123334.0
1997,2,PERS,31855612.0
1997,2,PERS_VFR,8105974.0
1997,2,PROF,1767512.0
1997,3,PERS,114788356.0
1997,3,PERS_VFR,15009830.0
1997,3,PROF,3560417.0
1997,4,PERS,23501042.0
1997,4,PERS_VFR,5802633.0
1997,4,PROF,1556905.0
1998,1,PERS,11905362.0
1998,1,PERS_VFR,3351322.0
1998,1,PROF,755964.0
1998,2,PERS,20381792.0
1998,2,PERS_VFR,2918337.0
1998,2,PROF,1139214.0
1998,3,PERS,115801442.0
1998,3,PERS_VFR,12834340.0
1998,3,PROF,1843700.0
1998,4,PERS,7510752.0
1998,4,PERS_VFR,1314460.0
1998,4,PROF,484202.0
1999,1,PERS,8829048.0
1999,1,PERS_VFR,1638964.0
1999,1,PROF,833815.0
1999,2,PERS,17007608.0
1999,2,PERS_VFR,1922066.0
1999,2,PROF,1627732.0
1999,3,PERS,69598334.0
1999,3,PERS_VFR,5039053.0
1999,3,PROF,1351130.0
1999,4,PERS,18027324.0
1999,4,PERS_VFR,4474825.0
1999,4,PROF,1338340.0
2000,1,PERS,9934266.0
2000,1,PERS_VFR,1644968.0
2000,1,PROF,1144073.0
2000,2,PERS,19154360.0
2000,2,PERS_VFR,2688523.0
2000,2,PROF,577414.0
2000,3,PERS,75709730.0
2000,3,PERS_VFR,5768958.0
2000,3,PROF,1937235.0
2000,4,PERS,18692284.0
2000,4,PERS_VFR,3934096.0
2000,4,PROF,559535.0
2001,1,PERS,9504174.0
2001,1,PERS_VFR,1191081.0
2001,1,PROF,907753.0
2001,2,PERS,22776616.0
2001,2,PERS_VFR,2529774.0
2001,2,PROF,1042481.0
2001,3,PERS,70514922.0
2001,3,PERS_VFR,7163197.0
2001,3,PROF,1375405.0
2001,4,PERS,15833480.0
2001,4,PERS_VFR,2840640.0
2001,4,PROF,743167.0
2002,1,PERS,8514140.0
2002,1,PERS_VFR,917469.0
2002,1,PROF,490459.0
2002,2,PERS,22626584.0
2002,2,PERS_VFR,3111617.0
2002,2,PROF,890825.0
2002,3,PERS,73633940.0
2002,3,PERS_VFR,6387973.0
2002,3,PROF,1645657.0
2002,4,PERS,18245534.0
2002,4,PERS_VFR,3338057.0
2002,4,PROF,949005.0
2003,1,PERS,10461672.0
2003,1,PERS_VFR,1414604.0
2003,1,PROF,630686.0
2003,2,PERS,23597576.0
2003,2,PERS_VFR,3195580.0
2003,2,PROF,796307.0
2003,3,PERS,74486254.0
2003,3,PERS_VFR,8154960.0
2003,3,PROF,1194814.0
2003,4,PERS,16593616.0
2003,4,PERS_VFR,2742254.0
2003,4,PROF,729371.0
2004,1,PERS,16240168.0
2004,1,PERS_VFR,2287094.0
2004,1,PROF,1951694.0
2004,2,PERS,31392774.0
2004,2,PERS_VFR,2840878.0
2004,2,PROF,3220576.0
2004,3,PERS,118391428.0
2004,3,PERS_VFR,10850524.0
2004,3,PROF,2079618.0
2004,4,PERS,27496884.0
2004,4,PERS_VFR,3381726.0
2004,4,PROF,1202778.0
2005,1,PERS,18247558.0
2005,1,PERS_VFR,1812373.0
2005,1,PROF,976874.0
2005,2,PERS,42150590.0
2005,2,PERS_VFR,4839353.0
2005,2,PROF,1313410.0
2005,3,PERS,152483970.0
2005,3,PERS_VFR,14468414.0
2005,3,PROF,2812311.0
2005,4,PERS,31452670.0
2005,4,PERS_VFR,4837795.0
2005,4,PROF,2413886.0
2006,1,PERS,19963886.0
2006,1,PERS_VFR,2624083.0
2006,1,PROF,1812086.0
2006,2,PERS,41077306.0
2006,2,PERS_VFR,3418102.0
2006,2,PROF,1405094.0
2006,3,PERS,145988010.0
2006,3,PERS_VFR,12001273.0
2006,3,PROF,1895117.0
2006,4,PERS,32644170.0
2006,4,PERS_VFR,3583032.0
2006,4,PROF,1903504.0
2007,1,PERS,19344276.0
2007,1,PERS_VFR,1836509.0
2007,1,PROF,1470555.0
2007,2,PERS,37951620.0
2007,2,PERS_VFR,3550516.0
2007,2,PROF,1667084.0
2007,3,PERS,141783428.0
2007,3,PERS_VFR,15367825.0
2007,3,PROF,2229219.0
2007,4,PERS,24258498.0
2007,4,PERS_VFR,3717083.0
2007,4,PROF,1667210.0
2008,1,PERS,17006688.0
2008,1,PERS_VFR,2319912.0
2008,1,PROF,925919.0
2008,2,PERS,29544444.0
2008,2,PERS_VFR,2972727.0
2008,2,PROF,1212742.0
2008,3,PERS,142954604.0
2008,3,PERS_VFR,13447938.0
2008,3,PROF,1558784.0
2008,4,PERS,22514054.0
2008,4,PERS_VFR,3007341.0
2008,4,PROF,1097846.0
2009,1,PERS,13252660.0
2009,1,PERS_VFR,1271762.0
2009,1,PROF,1148183.0
