year,month,nights
1994,01,967502.0
1994,02,928542.0
1994,03,1449405.0
1994,04,3033300.0
1994,05,5935599.0
1994,06,7254641.0
1994,07,9355265.0
1994,08,10765804.0
1994,09,7734659.0
1994,10,4699997.0
1994,11,1111303.0
1994,12,971163.0
1995,01,930209.0
1995,03,1197488.0
1995,04,3261744.0
1995,05,5733565.0
1995,06,6980831.0
1995,07,8974025.0
1995,08,9995821.0
1995,09,7574410.0
1995,10,4308813.0
1995,11,1080657.0
1995,12,982986.0
1996,01,853729.0
1996,02,933634.0
1996,03,1302365.0
1996,04,2798774.0
1996,05,5203220.0
1996,06,6394275.0
1996,07,8376185.0
1996,08,10024742.0
1996,09,7071768.0
1996,10,4146850.0
1996,11,1075316.0
1996,12,481521.0
1997,01,991667.0
1997,02,941478.0
1997,03,1375262.0
1997,04,2843833.0
1997,05,5952245.0
1997,06,7261073.0
1997,07,9548097.0
1997,08,11584201.0
1997,09,7888888.0
1997,10,4476417.0
1997,11,1194799.0
1998,01,1015915.0
1998,02,1006324.0
1998,03,1273161.0
1998,04,3033348.0
1998,05,6290133.0
1998,06,7864330.0
1998,07,9583856.0
1998,08,12181363.0
1998,09,8306325.0
1998,10,4596645.0
1998,11,1225333.0
1998,12,1034751.0
1999,01,1093162.0
1999,02,1038101.0
1999,03,1449153.0
1999,04,2938024.0
1999,05,6616682.0
1999,06,8362178.0
1999,07,10807792.0
1999,08,12087631.0
1999,09,8795476.0
1999,10,5163328.0
1999,11,1261034.0
1999,12,1125861.0
2000,01,1084530.0
2000,02,1144322.0
2000,03,1482577.0
2000,04,3126069.0
2000,05,6619150.0
2000,06,8508400.0
2000,07,11125988.0
2000,08,12364668.0
2000,09,8952264.0
2000,10,5271806.0
2000,11,1286018.0
2000,12,1220101.0
2001,01,967137.0
2001,02,1090249.0
2001,03,1488479.0
2001,04,2839847.0
2001,05,5930492.0
2001,06,7855128.0
2001,07,10047330.0
2001,08,11228736.0
2001,09,8323399.0
2001,10,4457045.0
2001,11,1114739.0
2001,12,925635.0
2002,01,894804.0
2002,02,993228.0
2002,03,1466940.0
2002,04,2416830.0
2002,05,5735727.0
2002,06,7622070.0
2002,07,9883586.0
2002,08,10792639.0
2002,09,7968058.0
2002,10,4410394.0
2002,11,1184682.0
2002,12,1097351.0
2003,01,986131.0
2003,02,985777.0
2003,03,1348094.0
2003,04,2685399.0
2003,05,5424275.0
2003,06,7593489.0
2003,07,9995376.0
2003,08,11153954.0
2003,09,7644668.0
2003,10,4404311.0
2003,11,1150945.0
2003,12,1129685.0
2004,01,828899.0
2004,02,943205.0
2004,03,1337085.0
2004,04,2422046.0
2004,05,5418574.0
2004,06,7235729.0
2004,07,9642797.0
2004,08,10890700.0
2004,09,7717705.0
2004,10,4034547.0
2004,11,1100611.0
2004,12,982123.0
2005,01,877933.0
2005,02,907821.0
2005,03,1384753.0
2005,04,2140027.0
2005,05,5605008.0
2005,06,7651903.0
2005,07,10403935.0
2005,08,11892227.0
2005,09,8228185.0
2005,10,4169619.0
2005,11,1076467.0
2005,12,926215.0
2006,01,939764.0
2006,02,977249.0
2006,03,1337120.0
2006,04,2577378.0
2006,05,5656578.0
2006,06,8111866.0
2006,07,10977685.0
2006,08,11921729.0
2006,09,8679299.0
2006,10,4303790.0
2006,11,1214162.0
2006,12,1099931.0
2007,01,1022869.0
2007,02,1086544.0
2007,03,1521088.0
2007,04,2659982.0
2007,05,6568724.0
2007,06,9548091.0
2007,07,12664061.0
2007,08,13939301.0
2007,09,9386100.0
2007,10,4330906.0
2007,11,1411011.0
2007,12,1281559.0
2008,01,1073595.0
2008,02,1112715.0
2008,03,1575610.0
2008,04,2527451.0
2008,05,6587620.0
2008,06,9711391.0
2008,07,12812375.0
2008,08,14014696.0
2008,09,9554021.0
2008,10,4222077.0
2008,11,1265003.0
2008,12,1168009.0
2009,01,1217394.0
2009,02,1234650.0
2009,03,1604869.0
2009,04,2979111.0
2009,05,7337590.0
2009,06,12195540.0
2009,07,18459398.0
2009,08,20693752.0
2009,09,11744093.0
2009,10,4707854.0
2009,11,1418426.0
2009,12,1490827.0
2010,01,1283245.0
2010,02,1235928.0
2010,03,1538631.0
2010,04,2709026.0
2010,05,7408360.0
2010,06,11643022.0
2010,07,18349848.0
2010,08,20777574.0
2010,09,11815058.0
2010,10,4752147.0
2010,11,1213963.0
2010,12,1310871.0
2011,01,1383783.0
2011,02,1278191.0
2011,03,1774892.0
2011,04,3352714.0
2011,05,8257886.0
2011,06,13434043.0
2011,07,17944823.0
2011,08,19811247.0
2011,09,12865521.0
2011,10,5058344.0
2011,11,1177094.0
2011,12,1212638.0
2012,01,1097955.0
2012,02,1018325.0
2012,03,1435397.0
2012,04,2508078.0
2012,05,6649683.0
2012,06,12050223.0
2012,07,17760110.0
2012,08,19771963.0
2012,09,11782306.0
2012,10,4298848.0
2012,11,1067585.0
2012,12,1126199.0
2013,01,1024556.0
2013,02,995142.0
2013,03,1461513.0
2013,04,2293845.0
2013,05,8193347.0
2013,06,13873170.0
2013,07,19280914.0
2013,08,21397562.0
2013,09,13099300.0
2013,10,5143402.0
2013,11,1175191.0
2013,12,1167502.0
2014,01,1293582.0
2014,02,1245505.0
2014,03,1625504.0
2014,04,3472791.0
2014,05,9645433.0
2014,06,15866591.0
2014,07,20825137.0
2014,08,22809021.0
2014,09,14841488.0
2014,10,6301553.0
2014,11,1410375.0
2014,12,1426492.0
2015,01,1342335.0
2015,02,1351765.0
2015,03,1701329.0
2015,04,3688625.0
2015,05,10301245.0
2015,06,16316065.0
2015,07,21874109.0
2015,08,24449236.0
2015,09,15582447.0
2015,10,6468957.0
2015,11,1468094.0
2015,12,1520059.0
2016,01,1390046.0
2016,02,1301353.0
2016,03,1909030.0
2016,04,3758952.0
2016,05,10284950.0
2016,06,16328208.0
2016,07,22522501.0
2016,08,24872564.0
2016,09,16633914.0
2016,10,7780728.0
2016,11,1631504.0
2016,12,1606292.0
2017,01,1449970.0
2017,02,1472068.0
2017,03,1905057.0
2017,04,4502116.0
2017,05,11277167.0
2017,06,18567361.0
2017,07,24127870.0
2017,08,25874240.0
2017,09,17827316.0
2017,10,8538761.0
2017,11,1762087.0
2017,12,1705001.0
2018,01,1722779.0
2018,02,1772327.0
2018,03,2513148.0
2018,04,5616663.0
2018,05,14871334.0
2018,06,21999547.0
2018,07,28349102.0
2018,08,30152553.0
2018,09,21374053.0
2018,10,10345662.0
2018,11,2136857.0
2018,12,2086386.0
2019,01,1605737.0
2019,02,1624847.0
2019,03,2490551.0
2019,04,6417765.0
2019,05,14045744.0
2019,06,22299904.0
2019,07,28412615.0
2019,08,30877301.0
2019,09,21499089.0
2019,10,10213181.0
2019,11,2136640.0
2019,12,1971093.0
