year,month,month_nr,domestic,international
2021,January,1,10342,458
2021,February,2,9638,175
2021,March,3,10543,366
2021,April,4,15419,1463
2020,January,1,46972,1857
2020,February,2,46188,8324
2020,March,3,23380,4654
2020,April,4,1199,0
2020,May,5,6681,0
2020,June,6,20740,2
2020,July,7,37946,214312
2020,August,8,39023,316174
2020,September,9,27964,210597
2020,October,10,25316,141449
2020,November,11,9267,4557
2020,December,12,9349,350
2019,January,1,46503,1276
2019,February,2,45015,6122
2019,March,3,52164,9765
2019,April,4,53219,182779
2019,May,5,54080,394995
2019,June,6,54095,535774
2019,July,7,61035,642318
2019,August,8,60121,646503
2019,September,9,56761,529141
2019,October,10,54446,295870
2019,November,11,46876,16609
2019,December,12,47140,3425
2018,January,1,43638,5909
2018,February,2,41923,10672
2018,March,3,48369,30194
2018,April,4,49658,159748
2018,May,5,49874,424939
2018,June,6,56146,541805
2018,July,7,65999,652141
2018,August,8,66404,640950
2018,September,9,60810,541262
2018,October,10,57359,299189
2018,November,11,50849,18076
2018,December,12,49140,5607
2017,January,1,37662,772
2017,February,2,36477,1117
2017,March,3,43543,3799
2017,April,4,42674,157902
2017,May,5,40451,368245
2017,June,6,44275,506702
2017,July,7,52409,633783
2017,August,8,51068,622445
2017,September,9,48000,506495
2017,October,10,48276,303596
2017,November,11,45353,11243
2017,December,12,44459,4411
2016,January,1,33180,6
2016,February,2,32452,185
2016,March,3,40780,10.303
2016,April,4,35517,118.709
2016,May,5,40623,339.400
2016,June,6,45745,450.893
2016,July,7,52556,605.522
2016,August,8,51215,600.516
2016,September,9,47964,474.601
2016,October,10,41134,255.764
2016,November,11,39717,3.013
2016,December,12,42138,1.019
