date,domestic,international,total
2016-01-01,845614,807003,1652617
2016-02-01,869762,756522,1626284
2016-03-01,990159,973913,1964072
2016-04-01,1023647,1459115,2482762
2016-05-01,1248166,2968362,4216528
2016-06-01,1331747,4027484,5359231
2016-07-01,1572564,5348354,6920918
2016-08-01,1576809,5484252,7061061
2016-09-01,1411300,4488695,5899995
2016-10-01,1135271,2708864,3844135
2016-11-01,939298,1038835,1978133
2016-12-01,952579,1067648,2020227
2017-01-01,830097,955488,1785585
2017-02-01,844720,848199,1692919
2017-03-01,964563,1095654,2060217
2017-04-01,1027893,1821237,2849130
2017-05-01,1229568,3242311,4471879
2017-06-01,1437718,4672406,6110124
2017-07-01,1671724,5883465,7555189
2017-08-01,1655610,5969004,7624614
2017-09-01,1478939,5013898,6492837
2017-10-01,1287614,3111666,4399280
2017-11-01,908705,1181125,2089830
2017-12-01,862800,1175970,2038770
2018-01-01,789167,1045591,1834758
2018-02-01,757747,953183,1710930
2018-03-01,917277,1306000,2223277
2018-04-01,1102006,2098769,3200775
2018-05-01,1338656,3968092,5306748
2018-06-01,1468551,5334476,6803027
2018-07-01,1752514,6461396,8213910
2018-08-01,1763673,6546153,8309826
2018-09-01,1582721,5509764,7092485
2018-10-01,1282111,3419532,4701643
2018-11-01,994207,1355575,2349782
2018-12-01,945320,1322744,2268064
2019-01-01,847746,1163146,2010892
2019-02-01,829109,1086913,1916022
2019-03-01,975619,1389906,2365525
2019-04-01,1088662,2333764,3422426
2019-05-01,1319970,4067639,5387609
2019-06-01,1508371,5572969,7081340
2019-07-01,1738424,6563940,8302364
2019-08-01,1746732,6776622,8523354
2019-09-01,1546433,5604506,7150939
2019-10-01,1251988,3584527,4836515
2019-11-01,930089,1463616,2393705
2019-12-01,870657,1463382,2334039
2020-01-01,811564,1289256,2100820
2020-02-01,785921,1170162,1956083
2020-03-01,393846,539823,933669
2020-04-01,21428,11997,33425
2020-05-01,107314,26298,133612
2020-06-01,364601,141099,505700
2020-07-01,758200,1462649,2220849
2020-08-01,914912,2731281,3646193
2020-09-01,641248,1949033,2590281
2020-10-01,496969,1356739,1853708
2020-11-01,169822,207358,377180
2020-12-01,167707,170947,338654
2021-01-01,198223,144065,342288
2021-02-01,180268,111412,291680
2021-03-01,215390,143241,358631
2021-04-01,285833,194611,480444
2021-05-01,501326,551089,1052415
2021-06-01,859669,1709137,2568806
2021-07-01,1298796,4144842,5443638
2021-08-01,1426542,5154325,6580867
2021-09-01,1159385,4047509,5206894
2021-10-01,995784,3044091,4039875
2021-11-01,764908,1017330,1782238
2021-12-01,742214,884332,1626546
2022-01-01,533625,610595,1144220
2022-02-01,584629,645291,1229920
2022-03-01,735923,1003121,1739044
2022-04-01,1018930,2068091,3087021
2022-05-01,1241499,3782816,5024315
2022-06-01,1479658,5576732,7056390
2022-07-01,1697741,7051934,8749675
2022-08-01,1694603,7159376,8853979
2022-09-01,1529387,5842852,7372239
2022-10-01,1282224,3834671,5116895
2022-11-01,943124,1348622,2291746
2022-12-01,918480,1339022,2257502
2023-01-01,831938,1211734,2043672
2023-02-01,800319,1116574,1916893
2023-03-01,967449,1434175,2401624
2023-04-01,1221334,2543846,3765180
2023-05-01,1479243,4341155,5820398
2023-06-01,1706233,6200804,7907037
2023-07-01,1893273,7586874,9480147
2023-08-01,1876449,7566530,9442979
2023-09-01,1748027,6393331,8141358
2023-10-01,1499046,4329983,5829029
2023-11-01,1072750,1609993,2682743
2023-12-01,1022390,1591478,2613868
2024-01-01,881954,1360522,2242476
2024-02-01,906137,1338517,2244654
2024-03-01,1076816,1750448,2827264
2024-04-01,1267863,2888651,4156514
2024-05-01,1632805,5029836,6662641
2024-06-01,1822525,6758309,8580834
2024-07-01,1996322,8029068,10025390
2024-08-01,1994513,8171436,10165949
2024-09-01,1811841,6812075,8623916
2024-10-01,1606840,4783548,6390388
2024-11-01,1141020,1885858,3026878
2024-12-01,1063142,1871059,2934201
2025-01-01,910961,1587745,2498706
2025-02-01,910463,1502048,2412511
2025-03-01,1095702,1959083,3054785
2025-04-01,1343030,3121988,4465018
2025-05-01,1572728,5218719,6791447
2025-06-01,1834884,6967866,8802750
2025-07-01,2000079,8326671,10326750
2025-08-01,2034631,8635949,10670580
2025-09-01,1846255,7107040,8953295
2025-10-01,1576638,5059074,6635712
2025-11-01,1213439,2095927,3309366
2025-12-01,1140239,2049047,3189286
2026-01-01,988740,1721616,2710356
2026-02-01,1003091,1700127,2703218
2026-03-01,1151285,2044336,3195621
2026-04-01,1417638,3131063,4548701
2026-05-01,1626647,5504152,7130799
2026-06-01,1895880,7216687,9112567
