year,domestic,international,total
2002,4142353,7685095,11827448
2003,4365258,7887059,12252317
2004,5109136,8553196,13662332
2005,5169049,9111971,14281020
2006,5468613,9611095,15079708
2007,5955339,10583064,16538403
2008,5826840,10639651,16466491
2009,6132566,10093023,16225589
2010,5556665,9854434,15411099
2011,4897402,9549569,14446971
2012,4508303,8435738,12944041
2013,4299589,8236468,12536057
2014,5267654,9928715,15196369
2015,6433586,11653791,18087377
2016,13896916,31129047,45025963
2017,14199951,34970423,49170374
2018,14693950,39321275,54015225
2019,14653800,41070930,55724730
2020,5633532,11056642,16690174
2021,8628338,21145984,29774322
2022,13659823,40263123,53922946
2023,16118451,45926477,62044928
2024,17201778,50679327,67881105
2025,17479049,53631157,71110206
