Μήνας,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,658717.0,748265.0,803592.0,902843.0,892571.0,968708.0,1020493.0,950729.0,1051703.0,897309.0,798010.0,713134.0,762436.0,976388.0,1652617.0,1785585.0,1834758.0,2010892.0,2100820.0,342288.0,1144220.0,2043672.0,2242476.0,2498706.0,2710356.0
Φεβρουάριος,645696.0,685836.0,741667.0,790444.0,796580.0,877550.0,907147.0,868460.0,952745.0,795245.0,710237.0,665083.0,726311.0,905505.0,1626284.0,1692919.0,1710930.0,1916022.0,1956083.0,291680.0,1229920.0,1916893.0,2244654.0,2412511.0,2703218.0
Μάρτιος,842486.0,821075.0,991306.0,1051522.0,1001420.0,1122602.0,1191600.0,1052858.0,1165970.0,977826.0,864994.0,808954.0,882790.0,1099428.0,1964072.0,2060217.0,2223277.0,2365525.0,933669.0,358631.0,1739044.0,2401624.0,2827264.0,3054785.0,3195621.0
Απρίλιος,938319.0,931029.0,1165413.0,1163490.0,1272750.0,1377339.0,1320902.0,1372488.0,1259031.0,1226552.0,1120486.0,939593.0,1202197.0,1455926.0,2482762.0,2849130.0,3200775.0,3422426.0,33425.0,480444.0,3087021.0,3765180.0,4156514.0,4465018.0,4548701.0
Μάιος,1065161.0,1029832.0,1170624.0,1322422.0,1344661.0,1503439.0,1520859.0,1376137.0,1346739.0,1334552.0,1123197.0,1141604.0,1351980.0,1653428.0,4216528.0,4471879.0,5306748.0,5387609.0,133612.0,1052415.0,5024315.0,5820398.0,6662641.0,6791447.0,7130795.0
Ιούνιος,1149207.0,1161239.0,1255774.0,1358542.0,1439337.0,1581572.0,1613314.0,1584455.0,1436857.0,1464750.0,1283887.0,1262676.0,1544794.0,1882093.0,5359231.0,6110124.0,6803027.0,7081340.0,505700.0,2568806.0,7056390.0,7907037.0,8580834.0,8802750.0,3514321.0
Ιούλιος,1282915.0,1301590.0,1422889.0,1596349.0,1697613.0,1852525.0,1811034.0,1846655.0,1699296.0,1694083.0,1497559.0,1450042.0,1774058.0,2139127.0,6920918.0,7555189.0,8213910.0,8302364.0,2220849.0,5443638.0,8749675.0,9480147.0,10025390.0,10326750.0,
Αύγουστος,1402225.0,1485371.0,1581683.0,1610429.0,1694640.0,1894821.0,1879755.0,1918902.0,1714239.0,1663244.0,1488104.0,1469107.0,1801982.0,2150265.0,7061061.0,7624614.0,8309826.0,8523354.0,3646193.0,6580867.0,8853979.0,9442979.0,10165949.0,10670580.0,
Σεπτέμβριος,1269467.0,1283026.0,1401601.0,1423588.0,1554085.0,1698099.0,1648278.0,1646316.0,1507947.0,1476414.0,1346981.0,1318996.0,1620794.0,1858739.0,5899995.0,6492837.0,7092485.0,7150939.0,2590281.0,5206894.0,7372239.0,8141358.0,8623916.0,8953295.0,
Οκτώβριος,1041963.0,1120089.0,1271956.0,1237140.0,1344881.0,1427008.0,1434075.0,1374542.0,1314162.0,1203434.0,1104900.0,1118832.0,1431754.0,1578118.0,3844135.0,4399280.0,4701643.0,4836515.0,1853708.0,4039875.0,5116895.0,5829029.0,6390388.0,6635712.0,
Νοέμβριος,749230.0,821215.0,916042.0,894167.0,985387.0,1093296.0,1056398.0,1095216.0,989825.0,846590.0,810027.0,815454.0,1038889.0,1205089.0,1978133.0,2089830.0,2349782.0,2393705.0,377180.0,1782238.0,2291746.0,2682743.0,3026878.0,3309366.0,
Δεκέμβριος,782062.0,863750.0,939785.0,930084.0,1055783.0,1141444.0,1062636.0,1138831.0,972585.0,866972.0,795659.0,832582.0,1058384.0,1183271.0,2020227.0,2038770.0,2268064.0,2334039.0,338654.0,1626546.0,2257502.0,2613868.0,2934201.0,3189286.0,
