year,month,month_nr,domestic,international
2002,January,1,248235,410482
2002,February,2,248290,397406
2002,March,3,302518,539968
2002,April,4,334893,603426
2002,May,5,376997,688164
2002,June,6,394658,754549
2002,July,7,425799,857116
2002,August,8,464440,937785
2002,September,9,421249,848218
2002,October,10,362128,679835
2002,November,11,283291,465939
2002,December,12,279855,502207
2003,January,1,277348,470917
2003,February,2,273203,412633
2003,March,3,313707,507368
2003,April,4,342153,588876
2003,May,5,362564,667268
2003,June,6,408248,752991
2003,July,7,445205,856385
2003,August,8,497211,988160
2003,September,9,433756,849270
2003,October,10,379013,741076
2003,November,11,313561,507654
2003,December,12,319289,544461
2004,January,1,314522,489070
2004,February,2,303243,438424
2004,March,3,417029,574277
2004,April,4,437175,728238
2004,May,5,454534,716090
2004,June,6,476793,778981
2004,July,7,524138,898751
2004,August,8,527118,1054565
2004,September,9,491288,910313
2004,October,10,453465,818491
2004,November,11,363447,552595
2004,December,12,346384,593401
2005,January,1,336011,566832
2005,February,2,312783,477661
2005,March,3,394100,657422
2005,April,4,416544,746946
2005,May,5,473422,849000
2005,June,6,482997,875545
2005,July,7,564976,1031373
2005,August,8,574475,1035954
2005,September,9,482063,941525
2005,October,10,425299,811841
2005,November,11,351790,542377
2005,December,12,354589,575495
2006,January,1,339512,553059
2006,February,2,342232,454348
2006,March,3,380084,621336
2006,April,4,451726,821024
2006,May,5,473422,871239
2006,June,6,503671,935666
2006,July,7,582389,1115224
2006,August,8,591014,1103626
2006,September,9,539197,1014888
2006,October,10,488413,856468
2006,November,11,390830,594557
2006,December,12,386123,669660
2007,January,1,382501,586207
2007,February,2,363413,514137
2007,March,3,434828,687774
2007,April,4,487925,889414
2007,May,5,502498,1000941
2007,June,6,560937,1020635
2007,July,7,648127,1204398
2007,August,8,644060,1250761
2007,September,9,601381,1096718
2007,October,10,502377,924631
2007,November,11,430086,663210
2007,December,12,397206,744238
2008,January,1,383878,636615
2008,February,2,362574,544573
2008,March,3,427747,763853
2008,April,4,471723,849179
2008,May,5,525119,995740
2008,June,6,556773,1056541
2008,July,7,602491,1208543
2008,August,8,614424,1265331
2008,September,9,568415,1079863
2008,October,10,504186,929889
2008,November,11,417693,638705
2008,December,12,391817,670819
2009,January,1,380056,570673
2009,February,2,373112,495348
2009,March,3,413002,639856
2009,April,4,499688,872800
2009,May,5,515783,860354
2009,June,6,594485,989970
2009,July,7,652792,1193863
2009,August,8,677259,1241643
2009,September,9,591568,1054748
2009,October,10,515555,858987
2009,November,11,465836,629380
2009,December,12,453430,685401
2010,January,1,451368,600335
2010,February,2,416396,536349
2010,March,3,447571,718399
2010,April,4,478337,780694
2010,May,5,479591,867148
2010,June,6,491096,945761
2010,July,7,568361,1130935
2010,August,8,555994,1158245
2010,September,9,504733,1003214
2010,October,10,439360,874802
2010,November,11,380112,609713
2010,December,12,343746,628839
2011,January,1,323875,573434
2011,February,2,306521,488724
2011,March,3,351233,626593
2011,April,4,409780,816772
2011,May,5,447570,886982
2011,June,6,483687,981063
2011,July,7,549876,1144207
2011,August,8,533126,1130118
2011,September,9,486069,990345
2011,October,10,398792,804642
2011,November,11,302250,544340
2011,December,12,304623,562349
2012,January,1,287234,510776
2012,February,2,281119,429118
2012,March,3,336106,528888
2012,April,4,401048,719438
2012,May,5,395398,727799
2012,June,6,433273,850614
2012,July,7,497054,1000505
2012,August,8,477861,1010243
2012,September,9,454459,892522
2012,October,10,373105,731795
2012,November,11,292798,517229
2012,December,12,278848,516811
2013,January,1,261114,452020
2013,February,2,267475,397608
2013,March,3,299036,509918
2013,April,4,333224,606369
2013,May,5,392769,748835
2013,June,6,432244,830432
2013,July,7,477138,972904
2013,August,8,467886,1001221
2013,September,9,438531,880465
2013,October,10,367362,751470
2013,November,11,282329,533125
2013,December,12,280481,552101
2014,January,1,261361,501075
2014,February,2,264844,461467
2014,March,3,304540,578250
2014,April,4,429595,772602
2014,May,5,475926,876054
2014,June,6,531704,1013090
2014,July,7,587042,1187016
2014,August,8,580519,1221463
2014,September,9,552093,1068701
2014,October,10,495533,936221
2014,November,11,391741,647148
2014,December,12,392756,665628
2015,January,1,376125,600263
2015,February,2,355944,549561
2015,March,3,406020,693408
2015,April,4,506737,949189
2015,May,5,581247,1072181
2015,June,6,661003,1221090
2015,July,7,725597,1413530
2015,August,8,719917,1430348
2015,September,9,636629,1222110
2015,October,10,540022,1038096
2015,November,11,471587,733502
2015,December,12,452758,730513
2016,January,1,438315,654529
2016,February,2,450527,619767
2016,March,3,511686,776487
2016,April,4,528783,945969
2016,May,5,649400,1151082
2016,June,6,687074,1269992
2016,July,7,796623,1579022
2016,August,8,798454,1568147
2016,September,9,725650,1406896
2016,October,10,588090,1185781
2016,November,11,486146,846580
2016,December,12,490184,861814
2017,January,1,430901,775908
2017,February,2,440259,685075
2017,March,3,501473,879036
2017,April,4,526326,1117161
2017,May,5,636834,1237244
2017,June,6,733990,1442131
2017,July,7,843976,1718569
2017,August,8,824322,1723526
2017,September,9,754874,1545356
2017,October,10,697053,1350655
2017,November,11,479448,966689
2017,December,12,452848,972812
2018,January,1,416827,867577
2018,February,2,400245,792660
2018,March,3,478952,1039203
2018,April,4,570381,1292666
2018,May,5,700139,1461240
2018,June,6,779857,1649703
2018,July,7,921691,1931510
2018,August,8,925164,1963999
2018,September,9,828412,1729347
2018,October,10,684924,1522218
2018,November,11,526343,1097239
2018,December,12,497600,1057534
2019,January,1,449834,943051
2019,February,2,443228,884560
2019,March,3,516796,1135798
2019,April,4,573227,1413529
2019,May,5,700752,1584454
2019,June,6,795188,1817906
2019,July,7,915648,2065533
2019,August,8,915133,2124732
2019,September,9,810796,1878605
2019,October,10,669131,1632425
2019,November,11,496990,1169664
2019,December,12,464291,1172722
2020,January,1,433964,1038772
2020,February,2,423501,941130
2020,March,3,207955,431826
2020,April,4,11917,11411
2020,May,5,58293,25728
2020,June,6,195826,119823
2020,July,7,400368,493254
2020,August,8,485156,718365
2020,September,9,340993,521123
2020,October,10,266245,453691
2020,November,11,99425,163597
2020,December,12,92289,143742
2021,January,1,110722,122633
2021,February,2,101741,96112
2021,March,3,120697,119963
2021,April,4,159166,158815
2021,May,5,275039,304383
2021,June,6,454453,641366
2021,July,7,676937,1178658
2021,August,8,737889,1372593
2021,September,9,614801,1156594
2021,October,10,531828,1086247
2021,November,11,418644,799623
2021,December,12,406055,700827
2022,January,1,286560,486579
2022,February,2,321452,514790
2022,March,3,402447,786376
2022,April,4,548635,1137227
2022,May,5,671573,1385282
2022,June,6,790750,1644029
