year,domestic,international,total
2002,4142353,7685095,11827448
2003,4365258,7887059,12252317
2004,5109136,8553196,13662332
2005,5169049,9111971,14281020
2006,5468613,9611095,15079708
2007,5955339,10583064,16538403
2008,5826840,10639651,16466491
2009,6132566,10093023,16225589
2010,5556665,9854434,15411099
2011,4897402,9549569,14446971
2012,4508303,8435738,12944041
2013,4299589,8236468,12536057
2014,5267654,9928715,15196369
2015,6433586,11653791,18087377
2016,7150932,12866066,20016998
2017,7322304,14414162,21736466
2018,7730535,16404896,24135431
2019,7751014,17822979,25573993
2020,3015932,5062462,8078394
2021,4607972,7737814,12345786
2022,7385945,15342723,22728668
2023,8783146,19391099,28174245
2024,9422260,22432498,31854758
2025,9631244,24362437,33993681
