Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,66895.0,67825.0,43255.0,50949.0,49533.0,10555.0,35398.0,57469.0,58459.0,63765.0,68705.0
Φεβρουάριος,66592.0,66524.0,39838.0,47661.0,47601.0,8870.0,37101.0,54475.0,64366.0,60471.0,69714.0
Μάρτιος,87120.0,82468.0,70703.0,54617.0,22583.0,10581.0,53293.0,72899.0,76455.0,76268.0,83693.0
Απρίλιος,160508.0,183555.0,194028.0,169261.0,824.0,14489.0,168993.0,192300.0,186892.0,199102.0,232002.0
Μάιος,324995.0,328792.0,374259.0,343287.0,5703.0,46131.0,330189.0,373199.0,411922.0,435680.0,505412.0
Ιούνιος,394551.0,436743.0,445164.0,460993.0,17804.0,135321.0,499195.0,544124.0,603208.0,618802.0,
Ιούλιος,521167.0,539612.0,526439.0,513454.0,112109.0,375928.0,620419.0,672278.0,715202.0,748953.0,
Αύγουστος,482733.0,501086.0,489696.0,502014.0,202581.0,433292.0,586864.0,625284.0,684179.0,730178.0,
Σεπτέμβριος,419770.0,447841.0,439642.0,435376.0,140398.0,351580.0,500066.0,554940.0,594145.0,614917.0,
Οκτώβριος,290928.0,289485.0,269243.0,288169.0,85068.0,309211.0,330361.0,359974.0,408340.0,443544.0,
Νοέμβριος,77406.0,51549.0,59053.0,61964.0,10153.0,52514.0,67456.0,73661.0,77911.0,87450.0,
Δεκέμβριος,74032.0,46929.0,57675.0,55797.0,9125.0,46764.0,61467.0,67813.0,71047.0,71699.0,
