year,month,month_nr,domestic,international,total
2016,January,1,2159,0,2159
2016,February,2,2343,11,2354
2016,March,3,2294,217,2511
2016,April,4,3560,3643,7203
2016,May,5,5695,50189,55884
2016,June,6,7594,87670,95264
2016,July,7,14419,110740,125159
2016,August,8,15910,116242,132152
2016,September,9,9270,90630,99900
2016,October,10,4054,15371,19425
2016,November,11,2424,5,2429
2016,December,12,2475,0,2475
2017,January,1,1777,5,1782
2017,February,2,1681,0,1681
2017,March,3,2058,212,2270
2017,April,4,3545,5790,9335
2017,May,5,5326,54448,59774
2017,June,6,9875,98256,108131
2017,July,7,18326,122820,141146
2017,August,8,19671,137349,157020
2017,September,9,10728,103022,113750
2017,October,10,4629,25313,29942
2017,November,11,2200,398,2598
2017,December,12,2242,0,2242
2018,January,1,1893,0,1893
2018,February,2,2035,0,2035
2018,March,3,2668,2183,4851
2018,April,4,3853,13284,17137
2018,May,5,7374,73657,81031
2018,June,6,10966,122711,133677
2018,July,7,21469,144338,165807
2018,August,8,21852,152963,174815
2018,September,9,12711,122559,135270
2018,October,10,5998,32206,38204
2018,November,11,3406,136,3542
2018,December,12,3389,5,3394
2019,January,1,3087,6,3093
2019,February,2,3108,0,3108
2019,March,3,3578,0,3578
2019,April,4,3771,13449,17220
2019,May,5,6390,73283,79673
2019,June,6,11880,122436,134316
2019,July,7,20694,150518,171212
2019,August,8,22003,160984,182987
2019,September,9,12946,120398,133344
2019,October,10,6068,32131,38199
2019,November,11,3899,3,3902
2019,December,12,3534,4,3538
2020,January,1,3252,6,3258
2020,February,2,3242,0,3242
2020,March,3,1770,2,1772
2020,April,4,181,0,181
2020,May,5,765,0,765
2020,June,6,1926,0,1926
2020,July,7,5289,21593,26882
2020,August,8,8243,71989,80232
2020,September,9,4196,50907,55103
2020,October,10,2940,14215,17155
2020,November,11,969,0,969
2020,December,12,989,3,992
2021,January,1,1158,1,1159
2021,February,2,948,0,948
2021,March,3,1268,2,1270
2021,April,4,1630,2,1632
2021,May,5,3365,1005,4370
2021,June,6,6962,11698,18660
2021,July,7,11689,47026,58715
2021,August,8,14841,89929,104770
2021,September,9,9237,69697,78934
2021,October,10,5150,21104,26254
2021,November,11,3409,0,3409
2021,December,12,3217,0,3217
2022,January,1,2477,2,2479
2022,February,2,2517,4,2521
2022,March,3,2897,484,3381
2022,April,4,4787,10532,15319
2022,May,5,6713,63508,70221
2022,June,6,11913,125900,137813
2022,July,7,18705,173917,192622
2022,August,8,19573,181128,200701
2022,September,9,12917,129971,142888
2022,October,10,6438,35129,41567
2022,November,11,3551,666,4217
2022,December,12,3483,4,3487
2023,January,1,3228,2,3230
2023,February,2,2906,0,2906
2023,March,3,3567,638,4205
2023,April,4,5625,7942,13567
2023,May,5,7762,65549,73311
2023,June,6,14381,140089,154470
2023,July,7,21764,177876,199640
2023,August,8,23542,184406,207948
2023,September,9,15580,136419,151999
2023,October,10,7673,33454,41127
2023,November,11,4079,2,4081
2023,December,12,4048,1,4049
2024,January,1,3721,0,3721
2024,February,2,3426,0,3426
2024,March,3,3869,1,3870
2024,April,4,5628,6609,12237
2024,May,5,8995,68199,77194
2024,June,6,16780,141411,158191
2024,July,7,22430,180986,203416
2024,August,8,22691,189832,212523
2024,September,9,15617,135406,151023
2024,October,10,7893,32937,40830
2024,November,11,3362,544,3906
2024,December,12,2195,4,2199
2025,January,1,3719,0,3719
2025,February,2,3009,0,3009
2025,March,3,3866,8,3874
2025,April,4,6265,8873,15138
2025,May,5,8229,76310,84539
2025,June,6,18089,141466,159555
2025,July,7,23857,184376,208233
2025,August,8,24020,187451,211471
2025,September,9,18808,137939,156747
2025,October,10,8249,31906,40155
2025,November,11,2283,984,3267
2025,December,12,3988,2,3990
2026,January,1,3629,0,3629
2026,February,2,3184,2,3186
2026,March,3,4210,243,4453
2026,April,4,6658,6046,12704
2026,May,5,9935,76471,86406
