Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,2159.0,1782.0,1893.0,3093.0,3258.0,1159.0,2479.0,3230.0,3721.0,3719.0,3629.0
Φεβρουάριος,2354.0,1681.0,2035.0,3108.0,3242.0,948.0,2521.0,2906.0,3426.0,3009.0,3186.0
Μάρτιος,2511.0,2270.0,4851.0,3578.0,1772.0,1270.0,3381.0,4205.0,3870.0,3874.0,4453.0
Απρίλιος,7203.0,9335.0,17137.0,17220.0,181.0,1632.0,15319.0,13567.0,12237.0,15138.0,12704.0
Μάιος,55884.0,59774.0,81031.0,79673.0,765.0,4370.0,70221.0,73311.0,77194.0,84539.0,86406.0
Ιούνιος,95264.0,108131.0,133677.0,134316.0,1926.0,18660.0,137813.0,154470.0,158191.0,159555.0,
Ιούλιος,125159.0,141146.0,165807.0,171212.0,26882.0,58715.0,192622.0,199640.0,203416.0,208233.0,
Αύγουστος,132152.0,157020.0,174815.0,182987.0,80232.0,104770.0,200701.0,207948.0,212523.0,211471.0,
Σεπτέμβριος,99900.0,113750.0,135270.0,133344.0,55103.0,78934.0,142888.0,151999.0,151023.0,156747.0,
Οκτώβριος,19425.0,29942.0,38204.0,38199.0,17155.0,26254.0,41567.0,41127.0,40830.0,40155.0,
Νοέμβριος,2429.0,2598.0,3542.0,3902.0,969.0,3409.0,4217.0,4081.0,3906.0,3267.0,
Δεκέμβριος,2475.0,2242.0,3394.0,3538.0,992.0,3217.0,3487.0,4049.0,2199.0,3990.0,
