year,month,month_nr,domestic,international,total
2016,January,1,5145,1,5146
2016,February,2,5984,1,5985
2016,March,3,8738,0,8738
2016,April,4,17982,4021,22003
2016,May,5,41519,43056,84575
2016,June,6,58255,90283,148538
2016,July,7,74723,167446,242169
2016,August,8,72341,198714,271055
2016,September,9,58897,102946,161843
2016,October,10,25305,18137,43442
2016,November,11,12759,0,12759
2016,December,12,11283,3,11286
2017,January,1,9364,6,9370
2017,February,2,12670,8,12678
2017,March,3,17246,16,17262
2017,April,4,23349,12112,35461
2017,May,5,47776,50894,98670
2017,June,6,71475,116926,188401
2017,July,7,93215,186422,279637
2017,August,8,88968,208823,297791
2017,September,9,70682,124052,194734
2017,October,10,33719,32028,65747
2017,November,11,3404,154,3558
2017,December,12,3710,7,3717
2018,January,1,2969,1,2970
2018,February,2,5542,10,5552
2018,March,3,11331,1801,13132
2018,April,4,29178,17053,46231
2018,May,5,57354,72768,130122
2018,June,6,78166,143716,221882
2018,July,7,98101,221204,319305
2018,August,8,92897,238925,331822
2018,September,9,79850,147467,227317
2018,October,10,35139,43464,78603
2018,November,11,10633,748,11381
2018,December,12,7519,6,7525
2019,January,1,6533,33,6566
2019,February,2,6892,10,6902
2019,March,3,11104,42,11146
2019,April,4,28465,31940,60405
2019,May,5,55310,86719,142029
2019,June,6,84188,165310,249498
2019,July,7,100531,240321,340852
2019,August,8,98807,257526,356333
2019,September,9,81059,154620,235679
2019,October,10,36071,58711,94782
2019,November,11,8709,20,8729
2019,December,12,7208,16,7224
2020,January,1,7089,10,7099
2020,February,2,7749,25,7774
2020,March,3,4310,3,4313
2020,April,4,228,0,228
2020,May,5,1477,0,1477
2020,June,6,9433,27,9460
2020,July,7,32175,55735,87910
2020,August,8,38234,131767,170001
2020,September,9,19711,71543,91254
2020,October,10,8646,17073,25719
2020,November,11,2116,309,2425
2020,December,12,1378,22,1400
2021,January,1,2510,27,2537
2021,February,2,1890,16,1906
2021,March,3,2906,22,2928
2021,April,4,4808,27,4835
2021,May,5,12300,11145,23445
2021,June,6,41480,83099,124579
2021,July,7,64122,221033,285155
2021,August,8,68018,256482,324500
2021,September,9,47134,144628,191762
2021,October,10,23060,50676,73736
2021,November,11,8876,897,9773
2021,December,12,6904,20,6924
2022,January,1,5058,34,5092
2022,February,2,6786,14,6800
2022,March,3,8941,801,9742
2022,April,4,27179,30760,57939
2022,May,5,55580,81323,136903
2022,June,6,79889,194941,274830
2022,July,7,87198,310482,397680
2022,August,8,84407,321333,405740
2022,September,9,77236,196633,273869
2022,October,10,39590,60353,99943
2022,November,11,10339,1044,11383
2022,December,12,8101,15,8116
2023,January,1,7745,48,7793
2023,February,2,7753,17,7770
2023,March,3,11660,864,12524
2023,April,4,28740,21806,50546
2023,May,5,58465,67121,125586
2023,June,6,83375,182963,266338
2023,July,7,93768,300753,394521
2023,August,8,91188,302766,393954
2023,September,9,82798,188461,271259
2023,October,10,45043,61940,106983
2023,November,11,12999,838,13837
2023,December,12,8073,3,8076
2024,January,1,7840,0,7840
2024,February,2,9264,12,9276
2024,March,3,14129,338,14467
2024,April,4,26831,19167,45998
2024,May,5,63042,63854,126896
2024,June,6,87924,176254,264178
2024,July,7,93006,285456,378462
2024,August,8,92647,302963,395610
2024,September,9,81031,171559,252590
2024,October,10,46984,49409,96393
2024,November,11,13317,869,14186
2024,December,12,7740,2,7742
2025,January,1,6701,8,6709
2025,February,2,4366,4,4370
2025,March,3,12468,325,12793
2025,April,4,29065,17379,46444
2025,May,5,58040,69865,127905
2025,June,6,78258,176255,254513
2025,July,7,85545,296856,382401
2025,August,8,86165,310262,396427
2025,September,9,72683,171904,244587
2025,October,10,39331,46726,86057
2025,November,11,11473,1075,12548
2025,December,12,6988,0,6988
2026,January,1,7129,0,7129
2026,February,2,7387,22,7409
2026,March,3,11539,569,12108
2026,April,4,26692,12826,39518
2026,May,5,58255,90360,148615
