date,domestic,international,total
2016-01-01,5145,1,5146
2016-02-01,5984,1,5985
2016-03-01,8738,0,8738
2016-04-01,17982,4021,22003
2016-05-01,41519,43056,84575
2016-06-01,58255,90283,148538
2016-07-01,74723,167446,242169
2016-08-01,72341,198714,271055
2016-09-01,58897,102946,161843
2016-10-01,25305,18137,43442
2016-11-01,12759,0,12759
2016-12-01,11283,3,11286
2017-01-01,9364,6,9370
2017-02-01,12670,8,12678
2017-03-01,17246,16,17262
2017-04-01,23349,12112,35461
2017-05-01,47776,50894,98670
2017-06-01,71475,116926,188401
2017-07-01,93215,186422,279637
2017-08-01,88968,208823,297791
2017-09-01,70682,124052,194734
2017-10-01,33719,32028,65747
2017-11-01,3404,154,3558
2017-12-01,3710,7,3717
2018-01-01,2969,1,2970
2018-02-01,5542,10,5552
2018-03-01,11331,1801,13132
2018-04-01,29178,17053,46231
2018-05-01,57354,72768,130122
2018-06-01,78166,143716,221882
2018-07-01,98101,221204,319305
2018-08-01,92897,238925,331822
2018-09-01,79850,147467,227317
2018-10-01,35139,43464,78603
2018-11-01,10633,748,11381
2018-12-01,7519,6,7525
2019-01-01,6533,33,6566
2019-02-01,6892,10,6902
2019-03-01,11104,42,11146
2019-04-01,28465,31940,60405
2019-05-01,55310,86719,142029
2019-06-01,84188,165310,249498
2019-07-01,100531,240321,340852
2019-08-01,98807,257526,356333
2019-09-01,81059,154620,235679
2019-10-01,36071,58711,94782
2019-11-01,8709,20,8729
2019-12-01,7208,16,7224
2020-01-01,7089,10,7099
2020-02-01,7749,25,7774
2020-03-01,4310,3,4313
2020-04-01,228,0,228
2020-05-01,1477,0,1477
2020-06-01,9433,27,9460
2020-07-01,32175,55735,87910
2020-08-01,38234,131767,170001
2020-09-01,19711,71543,91254
2020-10-01,8646,17073,25719
2020-11-01,2116,309,2425
2020-12-01,1378,22,1400
2021-01-01,2510,27,2537
2021-02-01,1890,16,1906
2021-03-01,2906,22,2928
2021-04-01,4808,27,4835
2021-05-01,12300,11145,23445
2021-06-01,41480,83099,124579
2021-07-01,64122,221033,285155
2021-08-01,68018,256482,324500
2021-09-01,47134,144628,191762
2021-10-01,23060,50676,73736
2021-11-01,8876,897,9773
2021-12-01,6904,20,6924
2022-01-01,5058,34,5092
2022-02-01,6786,14,6800
2022-03-01,8941,801,9742
2022-04-01,27179,30760,57939
2022-05-01,55580,81323,136903
2022-06-01,79889,194941,274830
2022-07-01,87198,310482,397680
2022-08-01,84407,321333,405740
2022-09-01,77236,196633,273869
2022-10-01,39590,60353,99943
2022-11-01,10339,1044,11383
2022-12-01,8101,15,8116
2023-01-01,7745,48,7793
2023-02-01,7753,17,7770
2023-03-01,11660,864,12524
2023-04-01,28740,21806,50546
2023-05-01,58465,67121,125586
2023-06-01,83375,182963,266338
2023-07-01,93768,300753,394521
2023-08-01,91188,302766,393954
2023-09-01,82798,188461,271259
2023-10-01,45043,61940,106983
2023-11-01,12999,838,13837
2023-12-01,8073,3,8076
2024-01-01,7840,0,7840
2024-02-01,9264,12,9276
2024-03-01,14129,338,14467
2024-04-01,26831,19167,45998
2024-05-01,63042,63854,126896
2024-06-01,87924,176254,264178
2024-07-01,93006,285456,378462
2024-08-01,92647,302963,395610
2024-09-01,81031,171559,252590
2024-10-01,46984,49409,96393
2024-11-01,13317,869,14186
2024-12-01,7740,2,7742
2025-01-01,6701,8,6709
2025-02-01,4366,4,4370
2025-03-01,12468,325,12793
2025-04-01,29065,17379,46444
2025-05-01,58040,69865,127905
2025-06-01,78258,176255,254513
2025-07-01,85545,296856,382401
2025-08-01,86165,310262,396427
2025-09-01,72683,171904,244587
2025-10-01,39331,46726,86057
2025-11-01,11473,1075,12548
2025-12-01,6988,0,6988
2026-01-01,7129,0,7129
2026-02-01,7387,22,7409
2026-03-01,11539,569,12108
2026-04-01,26692,12826,39518
2026-05-01,58250,90361,148611
2026-06-01,77127,190441,267568
