Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,5146.0,9370.0,2970.0,6566.0,7099.0,2537.0,5092.0,7793.0,7840.0,6709.0,7129.0
Φεβρουάριος,5985.0,12678.0,5552.0,6902.0,7774.0,1906.0,6800.0,7770.0,9276.0,4370.0,7409.0
Μάρτιος,8738.0,17262.0,13132.0,11146.0,4313.0,2928.0,9742.0,12524.0,14467.0,12793.0,12108.0
Απρίλιος,22003.0,35461.0,46231.0,60405.0,228.0,4835.0,57939.0,50546.0,45998.0,46444.0,39518.0
Μάιος,84575.0,98670.0,130122.0,142029.0,1477.0,23445.0,136903.0,125586.0,126896.0,127905.0,148611.0
Ιούνιος,148538.0,188401.0,221882.0,249498.0,9460.0,124579.0,274830.0,266338.0,264178.0,254513.0,267568.0
Ιούλιος,242169.0,279637.0,319305.0,340852.0,87910.0,285155.0,397680.0,394521.0,378462.0,382401.0,
Αύγουστος,271055.0,297791.0,331822.0,356333.0,170001.0,324500.0,405740.0,393954.0,395610.0,396427.0,
Σεπτέμβριος,161843.0,194734.0,227317.0,235679.0,91254.0,191762.0,273869.0,271259.0,252590.0,244587.0,
Οκτώβριος,43442.0,65747.0,78603.0,94782.0,25719.0,73736.0,99943.0,106983.0,96393.0,86057.0,
Νοέμβριος,12759.0,3558.0,11381.0,8729.0,2425.0,9773.0,11383.0,13837.0,14186.0,12548.0,
Δεκέμβριος,11286.0,3717.0,7525.0,7224.0,1400.0,6924.0,8116.0,8076.0,7742.0,6988.0,
