date,domestic,international,total
2016-01-01,426,8,434
2016-02-01,590,0,590
2016-03-01,692,0,692
2016-04-01,1381,182,1563
2016-05-01,2698,29817,32515
2016-06-01,5929,60731,66660
2016-07-01,10553,91683,102236
2016-08-01,11606,101397,113003
2016-09-01,7347,71028,78375
2016-10-01,1592,5172,6764
2016-11-01,626,0,626
2016-12-01,769,0,769
2017-01-01,623,0,623
2017-02-01,811,0,811
2017-03-01,1358,0,1358
2017-04-01,1724,0,1724
2017-05-01,2928,32106,35034
2017-06-01,6262,70265,76527
2017-07-01,9981,94868,104849
2017-08-01,9624,102644,112268
2017-09-01,6127,73925,80052
2017-10-01,2200,6558,8758
2017-11-01,1036,0,1036
2017-12-01,1066,0,1066
2018-01-01,873,0,873
2018-02-01,923,0,923
2018-03-01,1259,11,1270
2018-04-01,1855,16,1871
2018-05-01,2965,32815,35780
2018-06-01,6340,75350,81690
2018-07-01,9916,98752,108668
2018-08-01,12071,107109,119180
2018-09-01,6779,69490,76269
2018-10-01,2935,6135,9070
2018-11-01,1239,0,1239
2018-12-01,1073,10,1083
2019-01-01,839,0,839
2019-02-01,915,0,915
2019-03-01,1173,0,1173
2019-04-01,2073,627,2700
2019-05-01,3470,38585,42055
2019-06-01,8283,72546,80829
2019-07-01,12552,100738,113290
2019-08-01,13224,105951,119175
2019-09-01,8480,66654,75134
2019-10-01,2093,5583,7676
2019-11-01,1345,0,1345
2019-12-01,1088,0,1088
2020-01-01,1056,0,1056
2020-02-01,1088,12,1100
2020-03-01,736,1,737
2020-04-01,47,0,47
2020-05-01,212,0,212
2020-06-01,949,0,949
2020-07-01,3898,12853,16751
2020-08-01,6174,30885,37059
2020-09-01,3420,23138,26558
2020-10-01,1157,2486,3643
2020-11-01,388,0,388
2020-12-01,416,0,416
2021-01-01,410,0,410
2021-02-01,432,0,432
2021-03-01,516,0,516
2021-04-01,665,0,665
2021-05-01,1623,611,2234
2021-06-01,4074,11757,15831
2021-07-01,7597,41072,48669
2021-08-01,8715,64825,73540
2021-09-01,5611,46444,52055
2021-10-01,2637,6632,9269
2021-11-01,1290,0,1290
2021-12-01,1096,0,1096
2022-01-01,812,0,812
2022-02-01,909,0,909
2022-03-01,1293,2,1295
2022-04-01,1985,970,2955
2022-05-01,3306,38165,41471
2022-06-01,7129,79883,87012
2022-07-01,10602,121408,132010
2022-08-01,10527,130539,141066
2022-09-01,7122,83135,90257
2022-10-01,3276,7578,10854
2022-11-01,1455,151,1606
2022-12-01,1359,5,1364
2023-01-01,1308,0,1308
2023-02-01,1215,0,1215
2023-03-01,1561,5,1566
2023-04-01,3043,860,3903
2023-05-01,4665,44129,48794
2023-06-01,7996,96720,104716
2023-07-01,11675,133751,145426
2023-08-01,11481,135412,146893
2023-09-01,8948,76528,85476
2023-10-01,4038,6618,10656
2023-11-01,1407,0,1407
2023-12-01,1484,0,1484
2024-01-01,1280,0,1280
2024-02-01,1311,0,1311
2024-03-01,1769,0,1769
2024-04-01,2625,2212,4837
2024-05-01,4386,49249,53635
2024-06-01,8564,104350,112914
2024-07-01,11211,136315,147526
2024-08-01,11715,137968,149683
2024-09-01,9172,98312,107484
2024-10-01,3748,13801,17549
2024-11-01,1375,204,1579
2024-12-01,1219,0,1219
2025-01-01,1191,0,1191
2025-02-01,1113,0,1113
2025-03-01,1656,0,1656
2025-04-01,3267,193,3460
2025-05-01,4502,45217,49719
2025-06-01,10373,110250,120623
2025-07-01,12683,149859,162542
2025-08-01,12654,151418,164072
2025-09-01,11237,102809,114046
2025-10-01,4074,13809,17883
2025-11-01,1487,186,1673
2025-12-01,1264,0,1264
2026-01-01,1303,0,1303
2026-02-01,1186,2,1188
2026-03-01,1622,153,1775
2026-04-01,3156,1511,4667
2026-05-01,5233,49604,54837
