Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,434.0,623.0,873.0,839.0,1056.0,410.0,812.0,1308.0,1280.0,1191.0,1303.0
Φεβρουάριος,590.0,811.0,923.0,915.0,1100.0,432.0,909.0,1215.0,1311.0,1113.0,1188.0
Μάρτιος,692.0,1358.0,1270.0,1173.0,737.0,516.0,1295.0,1566.0,1769.0,1656.0,1775.0
Απρίλιος,1563.0,1724.0,1871.0,2700.0,47.0,665.0,2955.0,3903.0,4837.0,3460.0,4667.0
Μάιος,32515.0,35034.0,35780.0,42055.0,212.0,2234.0,41471.0,48794.0,53635.0,49719.0,54837.0
Ιούνιος,66660.0,76527.0,81690.0,80829.0,949.0,15831.0,87012.0,104716.0,112914.0,120623.0,133060.0
Ιούλιος,102236.0,104849.0,108668.0,113290.0,16751.0,48669.0,132010.0,145426.0,147526.0,162542.0,
Αύγουστος,113003.0,112268.0,119180.0,119175.0,37059.0,73540.0,141066.0,146893.0,149683.0,164072.0,
Σεπτέμβριος,78375.0,80052.0,76269.0,75134.0,26558.0,52055.0,90257.0,85476.0,107484.0,114046.0,
Οκτώβριος,6764.0,8758.0,9070.0,7676.0,3643.0,9269.0,10854.0,10656.0,17549.0,17883.0,
Νοέμβριος,626.0,1036.0,1239.0,1345.0,388.0,1290.0,1606.0,1407.0,1579.0,1673.0,
Δεκέμβριος,769.0,1066.0,1083.0,1088.0,416.0,1096.0,1364.0,1484.0,1219.0,1264.0,
