date,domestic,international,total
2016-01-01,27617,0,27617
2016-02-01,34137,0,34137
2016-03-01,46794,1669,48463
2016-04-01,61101,16265,77366
2016-05-01,96863,79556,176419
2016-06-01,115565,124937,240502
2016-07-01,123567,190637,314204
2016-08-01,117476,206473,323949
2016-09-01,120043,136973,257016
2016-10-01,85661,51973,137634
2016-11-01,37279,728,38007
2016-12-01,31667,0,31667
2017-01-01,27931,0,27931
2017-02-01,29811,0,29811
2017-03-01,42475,763,43238
2017-04-01,74387,26059,100446
2017-05-01,113786,87846,201632
2017-06-01,132225,144910,277135
2017-07-01,140470,206952,347422
2017-08-01,133662,214056,347718
2017-09-01,135898,160028,295926
2017-10-01,110368,65558,175926
2017-11-01,46231,2722,48953
2017-12-01,34873,0,34873
2018-01-01,30382,8,30390
2018-02-01,30457,4,30461
2018-03-01,49468,4178,53646
2018-04-01,86114,40070,126184
2018-05-01,134796,115200,249996
2018-06-01,155363,180513,335876
2018-07-01,159918,231734,391652
2018-08-01,155062,230934,385996
2018-09-01,163781,179001,342782
2018-10-01,126345,83516,209861
2018-11-01,54836,2544,57380
2018-12-01,40350,504,40854
2019-01-01,33832,96,33928
2019-02-01,38146,207,38353
2019-03-01,55579,1356,56935
2019-04-01,103891,50278,154169
2019-05-01,143386,117272,260658
2019-06-01,160735,182183,342918
2019-07-01,156887,229479,386366
2019-08-01,154884,225711,380595
2019-09-01,162170,174052,336222
2019-10-01,135263,89141,224404
2019-11-01,52317,1825,54142
2019-12-01,31750,0,31750
2020-01-01,29159,0,29159
2020-02-01,28468,287,28755
2020-03-01,17888,27,17915
2020-04-01,542,0,542
2020-05-01,3482,0,3482
2020-06-01,14110,54,14164
2020-07-01,46452,53640,100092
2020-08-01,65234,117829,183063
2020-09-01,43966,77240,121206
2020-10-01,26847,38444,65291
2020-11-01,4569,1676,6245
2020-12-01,3047,2,3049
2021-01-01,4652,7,4659
2021-02-01,3708,0,3708
2021-03-01,5058,0,5058
2021-04-01,9518,84,9602
2021-05-01,24319,19111,43430
2021-06-01,62550,89505,152055
2021-07-01,107099,233555,340654
2021-08-01,114705,292196,406901
2021-09-01,97322,212842,310164
2021-10-01,78144,133639,211783
2021-11-01,33000,3865,36865
2021-12-01,21705,0,21705
2022-01-01,14245,0,14245
2022-02-01,16060,0,16060
2022-03-01,30660,3388,34048
2022-04-01,79867,67210,147077
2022-05-01,121772,152295,274067
2022-06-01,151005,266388,417393
2022-07-01,150988,375315,526303
2022-08-01,147196,385109,532305
2022-09-01,151529,286931,438460
2022-10-01,124693,140800,265493
2022-11-01,43625,5854,49479
2022-12-01,29720,0,29720
2023-01-01,25989,22,26011
2023-02-01,25987,0,25987
2023-03-01,43321,4279,47600
2023-04-01,97505,62929,160434
2023-05-01,158729,147414,306143
2023-06-01,172570,239508,412078
2023-07-01,163114,341776,504890
2023-08-01,159217,340687,499904
2023-09-01,170652,244815,415467
2023-10-01,148973,131337,280310
2023-11-01,58683,3474,62157
2023-12-01,34824,0,34824
2024-01-01,27965,0,27965
2024-02-01,31558,0,31558
2024-03-01,53887,2298,56185
2024-04-01,118281,60665,178946
2024-05-01,168475,149560,318035
2024-06-01,177184,241678,418862
2024-07-01,168180,341497,509677
2024-08-01,163152,350903,514055
2024-09-01,170792,254550,425342
2024-10-01,153978,139644,293622
2024-11-01,62541,2992,65533
2024-12-01,37333,9,37342
2025-01-01,18664,0,18664
2025-02-01,25027,0,25027
2025-03-01,39243,903,40146
2025-04-01,87028,42232,129260
2025-05-01,133006,116931,249937
2025-06-01,142218,204728,346946
2025-07-01,138671,311953,450624
2025-08-01,140454,325396,465850
2025-09-01,143595,216920,360515
2025-10-01,126512,110369,236881
2025-11-01,56255,2787,59042
2025-12-01,35315,12,35327
2026-01-01,22218,0,22218
2026-02-01,31773,0,31773
2026-03-01,49976,1888,51864
2026-04-01,103984,46494,150478
2026-05-01,143979,112801,256780
