year,month,month_nr,domestic,international,total
2016,January,1,5584,292,5876
2016,February,2,6404,0,6404
2016,March,3,6642,6,6648
2016,April,4,6829,408,7237
2016,May,5,7453,18550,26003
2016,June,6,7531,34186,41717
2016,July,7,8686,46047,54733
2016,August,8,8151,44451,52602
2016,September,9,7788,38592,46380
2016,October,10,6877,9903,16780
2016,November,11,5595,0,5595
2016,December,12,5319,14,5333
2017,January,1,4589,161,4750
2017,February,2,5136,2,5138
2017,March,3,5858,14,5872
2017,April,4,5991,5605,11596
2017,May,5,6512,21053,27565
2017,June,6,6683,43958,50641
2017,July,7,7707,52793,60500
2017,August,8,7002,55245,62247
2017,September,9,6674,44567,51241
2017,October,10,6781,13380,20161
2017,November,11,6631,1320,7951
2017,December,12,5720,24581,30301
2018,January,1,6537,25891,32428
2018,February,2,5446,20945,26391
2018,March,3,5402,16703,22105
2018,April,4,5261,4649,9910
2018,May,5,5626,26252,31878
2018,June,6,5924,49004,54928
2018,July,7,7323,59627,66950
2018,August,8,7014,60371,67385
2018,September,9,7324,52058,59382
2018,October,10,6531,15962,22493
2018,November,11,6097,8,6105
2018,December,12,6541,453,6994
2019,January,1,5988,1683,7671
2019,February,2,4651,0,4651
2019,March,3,6381,0,6381
2019,April,4,5376,1650,7026
2019,May,5,5853,24002,29855
2019,June,6,5265,48756,54021
2019,July,7,6247,53910,60157
2019,August,8,5834,62123,67957
2019,September,9,5669,48034,53703
2019,October,10,5823,14790,20613
2019,November,11,5852,6,5858
2019,December,12,5389,3,5392
2020,January,1,4832,0,4832
2020,February,2,4556,17,4573
2020,March,3,1998,0,1998
2020,April,4,226,1,227
2020,May,5,789,1,790
2020,June,6,1919,0,1919
2020,July,7,2448,10253,12701
2020,August,8,2712,20364,23076
2020,September,9,2438,11988,14426
2020,October,10,1573,4283,5856
2020,November,11,1482,0,1482
2020,December,12,794,0,794
2021,January,1,917,0,917
2021,February,2,805,0,805
2021,March,3,959,7,966
2021,April,4,1488,146,1634
2021,May,5,2287,2803,5090
2021,June,6,3232,12877,16109
2021,July,7,4493,27749,32242
2021,August,8,4130,38542,42672
2021,September,9,3761,26518,30279
2021,October,10,3478,7789,11267
2021,November,11,3477,4,3481
2021,December,12,3681,3,3684
2022,January,1,2833,8,2841
2022,February,2,3175,142,3317
2022,March,3,3472,2,3474
2022,April,4,3375,2036,5411
2022,May,5,3934,14781,18715
2022,June,6,3775,38434,42209
2022,July,7,4209,48263,52472
2022,August,8,4424,56231,60655
2022,September,9,3796,39075,42871
2022,October,10,3604,7647,11251
2022,November,11,3671,423,4094
2022,December,12,4093,212,4305
2023,January,1,4065,0,4065
2023,February,2,4341,10,4351
2023,March,3,4819,16,4835
2023,April,4,4202,2196,6398
2023,May,5,5010,19301,24311
2023,June,6,5171,48427,53598
2023,July,7,4672,59547,64219
2023,August,8,4774,58525,63299
2023,September,9,5579,46665,52244
2023,October,10,5009,12458,17467
2023,November,11,4861,0,4861
2023,December,12,4764,2,4766
2024,January,1,4646,2,4648
2024,February,2,4462,12,4474
2024,March,3,5116,602,5718
2024,April,4,5155,2562,7717
2024,May,5,5182,20670,25852
2024,June,6,5642,44002,49644
2024,July,7,4898,50835,55733
2024,August,8,4738,53493,58231
2024,September,9,5511,44648,50159
2024,October,10,5971,13495,19466
2024,November,11,6421,250,6671
2024,December,12,5960,5,5965
2025,January,1,1645,0,1645
2025,February,2,5819,0,5819
2025,March,3,6699,6,6705
2025,April,4,6727,3901,10628
2025,May,5,7418,17385,24803
2025,June,6,7509,47113,54622
2025,July,7,7307,50772,58079
2025,August,8,9196,55544,64740
2025,September,9,7907,46154,54061
2025,October,10,7668,13389,21057
2025,November,11,7763,461,8224
2025,December,12,8479,2,8481
2026,January,1,8160,0,8160
2026,February,2,7716,0,7716
2026,March,3,7686,239,7925
2026,April,4,8389,1368,9757
2026,May,5,9513,14403,23916
