Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,5876.0,4750.0,32428.0,7671.0,4832.0,917.0,2841.0,4065.0,4648.0,1645.0,8160.0
Φεβρουάριος,6404.0,5138.0,26391.0,4651.0,4573.0,805.0,3317.0,4351.0,4474.0,5819.0,7716.0
Μάρτιος,6648.0,5872.0,22105.0,6381.0,1998.0,966.0,3474.0,4835.0,5718.0,6705.0,7925.0
Απρίλιος,7237.0,11596.0,9910.0,7026.0,227.0,1634.0,5411.0,6398.0,7717.0,10628.0,9757.0
Μάιος,26003.0,27565.0,31878.0,29855.0,790.0,5090.0,18715.0,24311.0,25852.0,24803.0,23916.0
Ιούνιος,41717.0,50641.0,54928.0,54021.0,1919.0,16109.0,42209.0,53598.0,49644.0,54622.0,
Ιούλιος,54733.0,60500.0,66950.0,60157.0,12701.0,32242.0,52472.0,64219.0,55733.0,58079.0,
Αύγουστος,52602.0,62247.0,67385.0,67957.0,23076.0,42672.0,60655.0,63299.0,58231.0,64740.0,
Σεπτέμβριος,46380.0,51241.0,59382.0,53703.0,14426.0,30279.0,42871.0,52244.0,50159.0,54061.0,
Οκτώβριος,16780.0,20161.0,22493.0,20613.0,5856.0,11267.0,11251.0,17467.0,19466.0,21057.0,
Νοέμβριος,5595.0,7951.0,6105.0,5858.0,1482.0,3481.0,4094.0,4861.0,6671.0,8224.0,
Δεκέμβριος,5333.0,30301.0,6994.0,5392.0,794.0,3684.0,4305.0,4766.0,5965.0,8481.0,
