year,month,month_nr,domestic,international
2016,January,1,24819,3
2016,February,2,24876,179
2016,March,3,28922,302
2016,April,4,29091,1759
2016,May,5,32339,9173
2016,June,6,30660,10920
2016,July,7,37699,13985
2016,August,8,38733,17601
2016,September,9,30085,13388
2016,October,10,23977,3030
2016,November,11,22738,138
2016,December,12,25408,145
2017,January,1,20607,178
2017,February,2,20594,128
2017,March,3,24223,239
2017,April,4,23999,1021
2017,May,5,27300,12335
2017,June,6,31752,18756
2017,July,7,38685,24193
2017,August,8,40861,23303
2017,September,9,31020,20085
2017,October,10,26928,3303
2017,November,11,23676,85
2017,December,12,22725,0
2018,January,1,20155,54
2018,February,2,18991,121
2018,March,3,23538,137
2018,April,4,26120,1493
2018,May,5,27159,14356
2018,June,6,29213,24184
2018,July,7,37728,30222
2018,August,8,39962,31674
2018,September,9,33905,25904
2018,October,10,31736,4644
2018,November,11,27634,7
2018,December,12,28114,5
2019,January,1,23428,38
2019,February,2,21979,8
2019,March,3,27241,0
2019,April,4,26829,1746
2019,May,5,30439,15284
2019,June,6,31613,25839
2019,July,7,39127,29631
2019,August,8,41486,32432
2019,September,9,35175,24392
2019,October,10,29262,4444
2019,November,11,27968,4
2019,December,12,28212,0
2020,January,1,25250,46
2020,February,2,24635,167
2020,March,3,14589,60
2020,April,4,1197,0
2020,May,5,4822,0
2020,June,6,14275,8
2020,July,7,25703,4561
2020,August,8,30142,7935
2020,September,9,21047,2045
2020,October,10,15495,31
2020,November,11,7025,9
2020,December,12,7050,3
2021,January,1,6984,0
2021,February,2,6160,239
2021,March,3,7882,623
2021,April,4,9755,8
2021,May,5,15531,620
2021,June,6,23202,4381
2021,July,7,32314,9712
2021,August,8,35939,15477
2021,September,9,28686,12400
2021,October,10,25726,3066
2021,November,11,23008,0
2021,December,12,23631,0
2022,January,1,16061,0
2022,February,2,16995,9
2022,March,3,21005,0
2022,April,4,26228,731
2022,May,5,29473,12047
2022,June,6,30714,21002
2022,July,7,37164,22471
2022,August,8,40335,25501
2022,September,9,31511,22520
2022,October,10,28441,5177
2022,November,11,26417,2
2022,December,12,25375,6
2023,January,1,22791,0
2023,February,2,21556,0
2023,March,3,25727,13
2023,April,4,29096,1413
2023,May,5,30280,13057
2023,June,6,34335,23444
2023,July,7,43348,27550
2023,August,8,45024,27321
2023,September,9,37114,23455
2023,October,10,31108,5491
2023,November,11,27456,14
