Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,24822.0,20785.0,20209.0,23466.0,25296.0,6984.0,16061.0,22791.0,23799.0,24924.0,26058.0
Φεβρουάριος,25055.0,20722.0,19112.0,21987.0,24802.0,6399.0,17004.0,21556.0,24112.0,22766.0,24019.0
Μάρτιος,29224.0,24462.0,23675.0,27241.0,14649.0,8505.0,21005.0,25740.0,27334.0,27595.0,27432.0
Απρίλιος,30850.0,25020.0,27613.0,28575.0,1197.0,9763.0,26959.0,30509.0,30713.0,36011.0,37108.0
Μάιος,41512.0,39635.0,41515.0,45723.0,4822.0,16151.0,41520.0,43337.0,54534.0,51528.0,54561.0
Ιούνιος,41580.0,50508.0,53397.0,57452.0,14283.0,27583.0,51716.0,57779.0,71271.0,74512.0,73826.0
Ιούλιος,51684.0,62878.0,67950.0,68758.0,30264.0,42026.0,59635.0,70898.0,83260.0,85497.0,
Αύγουστος,56334.0,64164.0,71636.0,73918.0,38077.0,51416.0,65836.0,72345.0,81687.0,87927.0,
Σεπτέμβριος,43473.0,51105.0,59809.0,59567.0,23092.0,41086.0,54031.0,60569.0,72455.0,74455.0,
Οκτώβριος,27007.0,30231.0,36380.0,33706.0,15526.0,28792.0,33618.0,36599.0,39901.0,42356.0,
Νοέμβριος,22876.0,23761.0,27641.0,27972.0,7034.0,23008.0,26419.0,27470.0,27374.0,30418.0,
Δεκέμβριος,25553.0,22725.0,28119.0,28212.0,7053.0,23631.0,25381.0,27906.0,27103.0,29855.0,
