year,month,month_nr,domestic,international,total
2016,January,1,296,4,300
2016,February,2,221,0,221
2016,March,3,378,2,380
2016,April,4,681,2632,3313
2016,May,5,1768,45067,46835
2016,June,6,2784,77280,80064
2016,July,7,4880,109728,114608
2016,August,8,5079,103999,109078
2016,September,9,4017,87831,91848
2016,October,10,1197,34171,35368
2016,November,11,219,2,221
2016,December,12,438,0,438
2017,January,1,302,1,303
2017,February,2,120,2,122
2017,March,3,74,2,76
2017,April,4,595,4045,4640
2017,May,5,608,50805,51413
2017,June,6,2885,95528,98413
2017,July,7,4845,133709,138554
2017,August,8,4988,122877,127865
2017,September,9,3360,104378,107738
2017,October,10,1283,38009,39292
2017,November,11,312,6,318
2017,December,12,332,16,348
2018,January,1,329,0,329
2018,February,2,197,2,199
2018,March,3,330,222,552
2018,April,4,555,4007,4562
2018,May,5,652,52983,53635
2018,June,6,2029,100338,102367
2018,July,7,3820,138301,142121
2018,August,8,4149,125361,129510
2018,September,9,2778,109466,112244
2018,October,10,744,36341,37085
2018,November,11,341,413,754
2018,December,12,308,0,308
2019,January,1,270,0,270
2019,February,2,241,24,265
2019,March,3,394,329,723
2019,April,4,438,7643,8081
2019,May,5,757,54131,54888
2019,June,6,1651,114407,116058
2019,July,7,3711,145739,149450
2019,August,8,5022,137924,142946
2019,September,9,2764,115327,118091
2019,October,10,843,33292,34135
2019,November,11,313,203,516
2019,December,12,359,8,367
2020,January,1,272,8,280
2020,February,2,255,9,264
2020,March,3,157,2,159
2020,April,4,79,0,79
2020,May,5,121,0,121
2020,June,6,308,36,344
2020,July,7,1075,26241,27316
2020,August,8,1825,62867,64692
2020,September,9,666,48379,49045
2020,October,10,424,18292,18716
2020,November,11,203,13,216
2020,December,12,176,0,176
2021,January,1,166,0,166
2021,February,2,208,0,208
2021,March,3,201,10,211
2021,April,4,234,3,237
2021,May,5,448,5305,5753
2021,June,6,1275,27058,28333
2021,July,7,2499,82863,85362
2021,August,8,3001,111043,114044
2021,September,9,2063,90305,92368
2021,October,10,750,44068,44818
2021,November,11,264,2,266
2021,December,12,324,6,330
2022,January,1,260,0,260
2022,February,2,242,0,242
2022,March,3,445,891,1336
2022,April,4,625,19392,20017
2022,May,5,888,68282,69170
2022,June,6,1723,129479,131202
2022,July,7,2407,174979,177386
2022,August,8,2784,172995,175779
2022,September,9,1972,135231,137203
2022,October,10,830,58827,59657
2022,November,11,389,532,921
2022,December,12,408,6,414
2023,January,1,263,0,263
2023,February,2,140,0,140
2023,March,3,309,630,939
2023,April,4,864,11019,11883
2023,May,5,870,72116,72986
2023,June,6,1848,142391,144239
2023,July,7,2264,195286,197550
2023,August,8,2675,179721,182396
2023,September,9,1973,147827,149800
2023,October,10,713,55304,56017
2023,November,11,321,262,583
2023,December,12,402,8,410
2024,January,1,248,4,252
2024,February,2,431,6,437
2024,March,3,365,316,681
2024,April,4,642,10286,10928
2024,May,5,1177,75730,76907
2024,June,6,1913,152959,154872
2024,July,7,2677,189032,191709
2024,August,8,2751,182567,185318
2024,September,9,2418,146965,149383
2024,October,10,984,50976,51960
2024,November,11,309,1693,2002
2024,December,12,442,3,445
2025,January,1,252,10,262
2025,February,2,209,6,215
2025,March,3,297,181,478
2025,April,4,731,9728,10459
2025,May,5,979,81557,82536
2025,June,6,1933,156150,158083
2025,July,7,2397,197356,199753
2025,August,8,2869,200877,203746
2025,September,9,2149,159282,161431
2025,October,10,919,55718,56637
2025,November,11,213,1830,2043
2025,December,12,316,3,319
2026,January,1,430,0,430
2026,February,2,292,4,296
2026,March,3,366,205,571
2026,April,4,855,8843,9698
2026,May,5,845,87055,87900
