date,domestic,international,total
2016-01-01,296,4,300
2016-02-01,221,0,221
2016-03-01,378,2,380
2016-04-01,681,2632,3313
2016-05-01,1768,45067,46835
2016-06-01,2784,77280,80064
2016-07-01,4880,109728,114608
2016-08-01,5079,103999,109078
2016-09-01,4017,87831,91848
2016-10-01,1197,34171,35368
2016-11-01,219,2,221
2016-12-01,438,0,438
2017-01-01,302,1,303
2017-02-01,120,2,122
2017-03-01,74,2,76
2017-04-01,595,4045,4640
2017-05-01,608,50805,51413
2017-06-01,2885,95528,98413
2017-07-01,4845,133709,138554
2017-08-01,4988,122877,127865
2017-09-01,3360,104378,107738
2017-10-01,1283,38009,39292
2017-11-01,312,6,318
2017-12-01,332,16,348
2018-01-01,329,0,329
2018-02-01,197,2,199
2018-03-01,330,222,552
2018-04-01,555,4007,4562
2018-05-01,652,52983,53635
2018-06-01,2029,100338,102367
2018-07-01,3820,138301,142121
2018-08-01,4149,125361,129510
2018-09-01,2778,109466,112244
2018-10-01,744,36341,37085
2018-11-01,341,413,754
2018-12-01,308,0,308
2019-01-01,270,0,270
2019-02-01,241,24,265
2019-03-01,394,329,723
2019-04-01,438,7643,8081
2019-05-01,757,54131,54888
2019-06-01,1651,114407,116058
2019-07-01,3711,145739,149450
2019-08-01,5022,137924,142946
2019-09-01,2764,115327,118091
2019-10-01,843,33292,34135
2019-11-01,313,203,516
2019-12-01,359,8,367
2020-01-01,272,8,280
2020-02-01,255,9,264
2020-03-01,157,2,159
2020-04-01,79,0,79
2020-05-01,121,0,121
2020-06-01,308,36,344
2020-07-01,1075,26241,27316
2020-08-01,1825,62867,64692
2020-09-01,666,48379,49045
2020-10-01,424,18292,18716
2020-11-01,203,13,216
2020-12-01,176,0,176
2021-01-01,166,0,166
2021-02-01,208,0,208
2021-03-01,201,10,211
2021-04-01,234,3,237
2021-05-01,448,5305,5753
2021-06-01,1275,27058,28333
2021-07-01,2499,82863,85362
2021-08-01,3001,111043,114044
2021-09-01,2063,90305,92368
2021-10-01,750,44068,44818
2021-11-01,264,2,266
2021-12-01,324,6,330
2022-01-01,260,0,260
2022-02-01,242,0,242
2022-03-01,445,891,1336
2022-04-01,625,19392,20017
2022-05-01,888,68282,69170
2022-06-01,1723,129479,131202
2022-07-01,2407,174979,177386
2022-08-01,2784,172995,175779
2022-09-01,1972,135231,137203
2022-10-01,830,58827,59657
2022-11-01,389,532,921
2022-12-01,408,6,414
2023-01-01,263,0,263
2023-02-01,140,0,140
2023-03-01,309,630,939
2023-04-01,864,11019,11883
2023-05-01,870,72116,72986
2023-06-01,1848,142391,144239
2023-07-01,2264,195286,197550
2023-08-01,2675,179721,182396
2023-09-01,1973,147827,149800
2023-10-01,713,55304,56017
2023-11-01,321,262,583
2023-12-01,402,8,410
2024-01-01,248,4,252
2024-02-01,431,6,437
2024-03-01,365,316,681
2024-04-01,642,10286,10928
2024-05-01,1177,75730,76907
2024-06-01,1913,152959,154872
2024-07-01,2677,189032,191709
2024-08-01,2751,182567,185318
2024-09-01,2418,146965,149383
2024-10-01,984,50976,51960
2024-11-01,309,1693,2002
2024-12-01,442,3,445
2025-01-01,252,10,262
2025-02-01,209,6,215
2025-03-01,297,181,478
2025-04-01,731,9728,10459
2025-05-01,979,81557,82536
2025-06-01,1933,156150,158083
2025-07-01,2397,197356,199753
2025-08-01,2869,200877,203746
2025-09-01,2149,159282,161431
2025-10-01,919,55718,56637
2025-11-01,213,1830,2043
2025-12-01,316,3,319
2026-01-01,430,0,430
2026-02-01,292,4,296
2026-03-01,366,205,571
2026-04-01,855,8843,9698
2026-05-01,845,87055,87900
