Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,300.0,303.0,329.0,270.0,280.0,166.0,260.0,263.0,252.0,262.0,430.0
Φεβρουάριος,221.0,122.0,199.0,265.0,264.0,208.0,242.0,140.0,437.0,215.0,296.0
Μάρτιος,380.0,76.0,552.0,723.0,159.0,211.0,1336.0,939.0,681.0,478.0,571.0
Απρίλιος,3313.0,4640.0,4562.0,8081.0,79.0,237.0,20017.0,11883.0,10928.0,10459.0,9698.0
Μάιος,46835.0,51413.0,53635.0,54888.0,121.0,5753.0,69170.0,72986.0,76907.0,82536.0,87900.0
Ιούνιος,80064.0,98413.0,102367.0,116058.0,344.0,28333.0,131202.0,144239.0,154872.0,158083.0,167527.0
Ιούλιος,114608.0,138554.0,142121.0,149450.0,27316.0,85362.0,177386.0,197550.0,191709.0,199753.0,
Αύγουστος,109078.0,127865.0,129510.0,142946.0,64692.0,114044.0,175779.0,182396.0,185318.0,203746.0,
Σεπτέμβριος,91848.0,107738.0,112244.0,118091.0,49045.0,92368.0,137203.0,149800.0,149383.0,161431.0,
Οκτώβριος,35368.0,39292.0,37085.0,34135.0,18716.0,44818.0,59657.0,56017.0,51960.0,56637.0,
Νοέμβριος,221.0,318.0,754.0,516.0,216.0,266.0,921.0,583.0,2002.0,2043.0,
Δεκέμβριος,438.0,348.0,308.0,367.0,176.0,330.0,414.0,410.0,445.0,319.0,
