date,domestic,international,total
2016-01-01,52899,332,53231
2016-02-01,50045,418,50463
2016-03-01,58970,5330,64300
2016-04-01,65170,100726,165896
2016-05-01,72216,431615,503831
2016-06-01,75415,651621,727036
2016-07-01,92571,876383,968954
2016-08-01,104904,901496,1006400
2016-09-01,86246,724405,810651
2016-10-01,72293,423651,495944
2016-11-01,58444,6596,65040
2016-12-01,60370,113,60483
2017-01-01,55067,119,55186
2017-02-01,51981,119,52100
2017-03-01,59890,2124,62014
2017-04-01,69846,135899,205745
2017-05-01,73154,455026,528180
2017-06-01,80636,715602,796238
2017-07-01,93614,918562,1012176
2017-08-01,96386,933293,1029679
2017-09-01,87778,780996,868774
2017-10-01,77418,477848,555266
2017-11-01,62435,12948,75383
2017-12-01,60254,228,60482
2018-01-01,58488,198,58686
2018-02-01,53263,8,53271
2018-03-01,62885,10149,73034
2018-04-01,64931,131826,196757
2018-05-01,68386,563787,632173
2018-06-01,72534,787816,860350
2018-07-01,91162,961753,1052915
2018-08-01,93213,963395,1056608
2018-09-01,82341,835805,918146
2018-10-01,69346,470776,540122
2018-11-01,56007,12034,68041
2018-12-01,56919,729,57648
2019-01-01,50817,20,50837
2019-02-01,46317,14,46331
2019-03-01,54129,219,54348
2019-04-01,63375,165904,229279
2019-05-01,69957,530569,600526
2019-06-01,74100,805090,879190
2019-07-01,90511,945680,1036191
2019-08-01,94761,984575,1079336
2019-09-01,78217,809114,887331
2019-10-01,68415,483839,552254
2019-11-01,57128,12759,69887
2019-12-01,56267,446,56713
2020-01-01,52393,11,52404
2020-02-01,47870,1,47871
2020-03-01,26982,250,27232
2020-04-01,1558,1,1559
2020-05-01,7898,2,7900
2020-06-01,25276,1,25277
2020-07-01,44419,181763,226182
2020-08-01,50322,388655,438977
2020-09-01,37450,316368,353818
2020-10-01,32759,296445,329204
2020-11-01,14031,14280,28311
2020-12-01,12027,361,12388
2021-01-01,13238,10,13248
2021-02-01,11773,27,11800
2021-03-01,14155,64,14219
2021-04-01,19619,694,20313
2021-05-01,31580,50327,81907
2021-06-01,46127,217243,263370
2021-07-01,73630,626295,699925
2021-08-01,85724,786256,871980
2021-09-01,63362,627510,690872
2021-10-01,62106,524356,586462
2021-11-01,47444,16665,64109
2021-12-01,48169,240,48409
2022-01-01,35591,20,35611
2022-02-01,34860,22,34882
2022-03-01,43568,5237,48805
2022-04-01,55012,190806,245818
2022-05-01,56549,552105,608654
2022-06-01,65294,841585,906879
2022-07-01,81680,1062373,1144053
2022-08-01,82616,1052239,1134855
2022-09-01,69754,855378,925132
2022-10-01,66022,572927,638949
2022-11-01,57685,15326,73011
2022-12-01,60235,152,60387
2023-01-01,53674,8,53682
2023-02-01,48515,34,48549
2023-03-01,55882,15454,71336
2023-04-01,67531,250205,317736
2023-05-01,68391,610050,678441
2023-06-01,76785,881678,958463
2023-07-01,89944,1006495,1096439
2023-08-01,94199,987710,1081909
2023-09-01,82081,899525,981606
2023-10-01,80539,606898,687437
2023-11-01,66653,31522,98175
2023-12-01,66731,2309,69040
2024-01-01,58794,28,58822
2024-02-01,52066,5240,57306
2024-03-01,62261,22720,84981
2024-04-01,66369,270933,337302
2024-05-01,77700,713927,791627
2024-06-01,80667,971043,1051710
2024-07-01,92032,1147461,1239493
2024-08-01,102247,1162217,1264464
2024-09-01,86686,974081,1060767
2024-10-01,87637,704819,792456
2024-11-01,74467,41361,115828
2024-12-01,65315,1677,66992
2025-01-01,56028,2,56030
2025-02-01,53573,6078,59651
2025-03-01,66865,14293,81158
2025-04-01,81562,296370,377932
2025-05-01,79186,715303,794489
2025-06-01,86120,969190,1055310
2025-07-01,95556,1164921,1260477
2025-08-01,108273,1216492,1324765
2025-09-01,93171,990702,1083873
2025-10-01,88577,714833,803410
2025-11-01,76431,47114,123545
2025-12-01,68376,4248,72624
2026-01-01,62542,10,62552
2026-02-01,57689,4766,62455
2026-03-01,67214,22645,89859
2026-04-01,83465,278742,362207
2026-05-01,74133,736063,810196
