Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,53231.0,55186.0,58686.0,50837.0,52404.0,13248.0,35611.0,53682.0,58822.0,56030.0,62552.0
Φεβρουάριος,50463.0,52100.0,53271.0,46331.0,47871.0,11800.0,34882.0,48549.0,57306.0,59651.0,62455.0
Μάρτιος,64300.0,62014.0,73034.0,54348.0,27232.0,14219.0,48805.0,71336.0,84981.0,81158.0,89859.0
Απρίλιος,165896.0,205745.0,196757.0,229279.0,1559.0,20313.0,245818.0,317736.0,337302.0,377932.0,362207.0
Μάιος,503831.0,528180.0,632173.0,600526.0,7900.0,81907.0,608654.0,678441.0,791627.0,794489.0,810189.0
Ιούνιος,727036.0,796238.0,860350.0,879190.0,25277.0,263370.0,906879.0,958463.0,1051710.0,1055310.0,1093044.0
Ιούλιος,968954.0,1012176.0,1052915.0,1036191.0,226182.0,699925.0,1144053.0,1096439.0,1239493.0,1260477.0,
Αύγουστος,1006400.0,1029679.0,1056608.0,1079336.0,438977.0,871980.0,1134855.0,1081909.0,1264464.0,1324765.0,
Σεπτέμβριος,810651.0,868774.0,918146.0,887331.0,353818.0,690872.0,925132.0,981606.0,1060767.0,1083873.0,
Οκτώβριος,495944.0,555266.0,540122.0,552254.0,329204.0,586462.0,638949.0,687437.0,792456.0,803410.0,
Νοέμβριος,65040.0,75383.0,68041.0,69887.0,28311.0,64109.0,73011.0,98175.0,115828.0,123545.0,
Δεκέμβριος,60483.0,60482.0,57648.0,56713.0,12388.0,48409.0,60387.0,69040.0,66992.0,72624.0,
