year,month,month_nr,domestic,international
2016,January,1,189618,147478
2016,February,2,196739,131742
2016,March,3,212930,171307
2016,April,4,187659,216709
2016,May,5,197988,291596
2016,June,6,190292,351923
2016,July,7,220224,434211
2016,August,8,208245,473843
2016,September,9,208425,412439
2016,October,10,195981,309689
2016,November,11,205115,170708
2016,December,12,209879,200841
2017,January,1,177814,174885
2017,February,2,183762,158900
2017,March,3,197365,194294
2017,April,4,173319,300647
2017,May,5,180871,340641
2017,June,6,205029,443705
2017,July,7,229256,528969
2017,August,8,229932,550271
2017,September,9,217604,482054
2017,October,10,196029,356955
2017,November,11,182270,185595
2017,December,12,179587,177760
2018,January,1,157951,151674
2018,February,2,157655,138879
2018,March,3,186685,199784
2018,April,4,184229,337670
2018,May,5,193035,416518
2018,June,6,196997,501034
2018,July,7,225487,587074
2018,August,8,225863,614369
2018,September,9,218768,530317
2018,October,10,197364,389441
2018,November,11,197663,231266
2018,December,12,192228,258318
2019,January,1,173130,215256
2019,February,2,168700,199188
2019,March,3,190371,247186
2019,April,4,167508,355836
2019,May,5,174350,443915
2019,June,6,185606,525423
2019,July,7,209148,592666
2019,August,8,200641,620556
2019,September,9,195763,545244
2019,October,10,170941,437003
2019,November,11,164984,262228
2019,December,12,163100,286588
2020,January,1,153751,248065
2020,February,2,148266,225299
2020,March,3,66266,106399
2020,April,4,2599,550
2020,May,5,15113,554
2020,June,6,53994,20937
2020,July,7,110912,181561
2020,August,8,119821,263471
2020,September,9,89820,198648
2020,October,10,73231,154072
2020,November,11,14515,17457
2020,December,12,25333,26702
2021,January,1,30924,21326
2021,February,2,29364,14993
2021,March,3,35143,22083
2021,April,4,44358,34426
2021,May,5,73226,76792
2021,June,6,119147,169836
2021,July,7,171364,364611
2021,August,8,183163,451540
2021,September,9,154740,366201
2021,October,10,142517,317549
