year,month,month_nr,domestic,international,total
2016,January,1,8833,0,8833
2016,February,2,8518,0,8518
2016,March,3,9702,0,9702
2016,April,4,11259,1340,12599
2016,May,5,14489,16987,31476
2016,June,6,15222,31745,46967
2016,July,7,19495,49857,69352
2016,August,8,20849,54266,75115
2016,September,9,14640,43391,58031
2016,October,10,11979,9744,21723
2016,November,11,9700,0,9700
2016,December,12,11297,0,11297
2017,January,1,9246,0,9246
2017,February,2,8775,0,8775
2017,March,3,10422,0,10422
2017,April,4,12302,1521,13823
2017,May,5,12249,18507,30756
2017,June,6,15351,44840,60191
2017,July,7,20450,58367,78817
2017,August,8,23878,63930,87808
2017,September,9,16307,51197,67504
2017,October,10,11540,10596,22136
2017,November,11,10295,14,10309
2017,December,12,10498,0,10498
2018,January,1,9911,12,9923
2018,February,2,8881,0,8881
2018,March,3,11033,0,11033
2018,April,4,12314,1752,14066
2018,May,5,13136,32197,45333
2018,June,6,14516,51881,66397
2018,July,7,20336,69130,89466
2018,August,8,23829,65017,88846
2018,September,9,18128,55738,73866
2018,October,10,15730,14401,30131
2018,November,11,11949,0,11949
2018,December,12,12858,0,12858
2019,January,1,11106,0,11106
2019,February,2,10381,0,10381
2019,March,3,12016,18,12034
2019,April,4,13650,3683,17333
2019,May,5,15481,29247,44728
2019,June,6,16412,56241,72653
2019,July,7,21353,67225,88578
2019,August,8,23573,67977,91550
2019,September,9,17753,58081,75834
2019,October,10,14290,16031,30321
2019,November,11,12877,0,12877
2019,December,12,12563,22,12585
2020,January,1,12273,0,12273
2020,February,2,11575,0,11575
2020,March,3,7598,0,7598
2020,April,4,569,0,569
2020,May,5,2776,12,2788
2020,June,6,7814,1,7815
2020,July,7,12507,13288,25795
2020,August,8,15650,17303,32953
2020,September,9,11426,11070,22496
2020,October,10,9200,1895,11095
2020,November,11,4707,2,4709
2020,December,12,4574,59,4633
2021,January,1,5071,6,5077
2021,February,2,4616,0,4616
2021,March,3,4687,0,4687
2021,April,4,6088,0,6088
2021,May,5,9291,947,10238
2021,June,6,12749,13669,26418
2021,July,7,17738,34057,51795
2021,August,8,20651,42618,63269
2021,September,9,16025,37686,53711
2021,October,10,13046,9734,22780
2021,November,11,10662,1,10663
2021,December,12,10956,0,10956
2022,January,1,8899,0,8899
2022,February,2,9010,0,9010
2022,March,3,10160,0,10160
2022,April,4,13251,3049,16300
2022,May,5,14536,26828,41364
2022,June,6,15996,51654,67650
2022,July,7,21569,61799,83368
2022,August,8,24266,67569,91835
2022,September,9,17714,54371,72085
2022,October,10,14318,13347,27665
2022,November,11,12599,0,12599
2022,December,12,12329,0,12329
2023,January,1,12165,0,12165
2023,February,2,11148,0,11148
2023,March,3,12090,0,12090
2023,April,4,14989,3189,18178
2023,May,5,14969,28833,43802
2023,June,6,18946,51186,70132
2023,July,7,21829,66346,88175
2023,August,8,26274,64198,90472
2023,September,9,19362,56739,76101
2023,October,10,15708,13459,29167
2023,November,11,13258,0,13258
2023,December,12,12618,0,12618
2024,January,1,11820,0,11820
2024,February,2,11361,0,11361
2024,March,3,12662,0,12662
2024,April,4,13788,2061,15849
2024,May,5,17097,30285,47382
2024,June,6,20673,57509,78182
2024,July,7,24748,65024,89772
2024,August,8,25942,66709,92651
2024,September,9,19754,56722,76476
2024,October,10,16994,16823,33817
2024,November,11,4212,244,4456
2024,December,12,13766,0,13766
2025,January,1,12265,0,12265
2025,February,2,11898,0,11898
2025,March,3,12582,0,12582
2025,April,4,15586,3674,19260
2025,May,5,16280,30832,47112
2025,June,6,21550,52735,74285
2025,July,7,26811,60621,87432
2025,August,8,28672,63329,92001
2025,September,9,21153,56896,78049
2025,October,10,17225,17641,34866
2025,November,11,13463,0,13463
2025,December,12,13204,0,13204
2026,January,1,12295,0,12295
2026,February,2,12233,0,12233
2026,March,3,13670,0,13670
2026,April,4,16525,3900,20425
2026,May,5,17246,37967,55213
