year,month,month_nr,domestic,international
2016,January,1,1561,0
2016,February,2,1901,0
2016,March,3,1783,499
2016,April,4,2731,7942
2016,May,5,5562,118042
2016,June,6,7830,233753
2016,July,7,12072,320185
2016,August,8,12300,342022
2016,September,9,8528,264930
2016,October,10,6718,63852
2016,November,11,3234,1
2016,December,12,4350,0
2017,January,1,2727,0
2017,February,2,2679,0
2017,March,3,2920,457
2017,April,4,4744,11184
2017,May,5,7368,148865
2017,June,6,10788,282211
2017,July,7,14166,364501
2017,August,8,15058,385751
2017,September,9,11119,298173
2017,October,10,6578,84818
2017,November,11,2571,347
2017,December,12,2616,0
2018,January,1,2796,0
2018,February,2,2658,0
2018,March,3,3239,470
2018,April,4,5592,13404
2018,May,5,8138,183640
2018,June,6,10877,309971
2018,July,7,15828,390796
2018,August,8,16951,404847
2018,September,9,11403,314007
2018,October,10,8570,92410
2018,November,11,3078,0
2018,December,12,2622,0
2019,January,1,2490,0
2019,February,2,2864,0
2019,March,3,3191,214
2019,April,4,5331,14714
2019,May,5,7299,183402
2019,June,6,12345,312905
2019,July,7,16687,398229
2019,August,8,18069,408418
2019,September,9,12678,319530
2019,October,10,7078,78536
2019,November,11,3076,182
2019,December,12,3189,0
2020,January,1,2781,0
2020,February,2,2577,0
2020,March,3,1466,1
2020,April,4,110,0
2020,May,5,497,0
2020,June,6,1744,0
2020,July,7,4222,94065
2020,August,8,6220,198712
2020,September,9,4073,93258
2020,October,10,2250,16105
2020,November,11,810,205
2020,December,12,1156,3
2021,January,1,1132,0
2021,February,2,960,0
2021,March,3,1245,0
2021,April,4,1251,0
2021,May,5,2683,11049
2021,June,6,5328,86116
2021,July,7,11943,241621
2021,August,8,14679,310437
2021,September,9,7325,227763
2021,October,10,4413,77625
2021,November,11,3171,732
2021,December,12,3440,0
2022,January,1,2220,0
2022,February,2,2394,0
2022,March,3,3137,389
2022,April,4,4532,17618
2022,May,5,6920,162103
2022,June,6,11774,316471
2022,July,7,17174,433984
2022,August,8,18311,439286
2022,September,9,13562,339533
2022,October,10,5525,100571
2022,November,11,3567,722
2022,December,12,3609,2
2023,January,1,3353,0
2023,February,2,3226,0
2023,March,3,3850,121
2023,April,4,5723,20503
2023,May,5,7678,183284
2023,June,6,12079,357054
2023,July,7,15864,465735
2023,August,8,15767,469475
2023,September,9,12161,369850
2023,October,10,7940,120599
2023,November,11,3639,361
2023,December,12,3669,0
2024,January,1,3413,0
2024,February,2,3545,10
2024,March,3,4162,313
2024,April,4,6061,24231
2024,May,5,9836,214305
2024,June,6,14401,369615
2024,July,7,17672,487103
2024,August,8,18195,492980
2024,September,9,14175,385302
2024,October,10,8444,139313
2024,November,11,4273,1644
2024,December,12,4015,3
