year,month,month_nr,domestic,international,total
2016,January,1,1561,0,1561
2016,February,2,1901,0,1901
2016,March,3,1783,499,2282
2016,April,4,2731,7942,10673
2016,May,5,5562,118042,123604
2016,June,6,7830,233753,241583
2016,July,7,12072,320185,332257
2016,August,8,12300,342022,354322
2016,September,9,8528,264930,273458
2016,October,10,6718,63852,70570
2016,November,11,3234,1,3235
2016,December,12,4350,0,4350
2017,January,1,2727,0,2727
2017,February,2,2679,0,2679
2017,March,3,2920,457,3377
2017,April,4,4744,11184,15928
2017,May,5,7368,148865,156233
2017,June,6,10788,282211,292999
2017,July,7,14166,364501,378667
2017,August,8,15058,385751,400809
2017,September,9,11119,298173,309292
2017,October,10,6578,84818,91396
2017,November,11,2571,347,2918
2017,December,12,2616,0,2616
2018,January,1,2796,0,2796
2018,February,2,2658,0,2658
2018,March,3,3239,470,3709
2018,April,4,5592,13404,18996
2018,May,5,8138,183640,191778
2018,June,6,10877,309971,320848
2018,July,7,15828,390796,406624
2018,August,8,16951,404847,421798
2018,September,9,11403,314007,325410
2018,October,10,8570,92410,100980
2018,November,11,3078,0,3078
2018,December,12,2622,0,2622
2019,January,1,2490,0,2490
2019,February,2,2864,0,2864
2019,March,3,3191,214,3405
2019,April,4,5331,14714,20045
2019,May,5,7299,183402,190701
2019,June,6,12345,312905,325250
2019,July,7,16687,398229,414916
2019,August,8,18069,408418,426487
2019,September,9,12678,319530,332208
2019,October,10,7078,78536,85614
2019,November,11,3076,182,3258
2019,December,12,3189,0,3189
2020,January,1,2781,0,2781
2020,February,2,2577,0,2577
2020,March,3,1466,1,1467
2020,April,4,110,0,110
2020,May,5,497,0,497
2020,June,6,1744,0,1744
2020,July,7,4222,94065,98287
2020,August,8,6220,198712,204932
2020,September,9,4073,93258,97331
2020,October,10,2250,16105,18355
2020,November,11,810,205,1015
2020,December,12,1156,3,1159
2021,January,1,1132,0,1132
2021,February,2,960,0,960
2021,March,3,1245,0,1245
2021,April,4,1251,0,1251
2021,May,5,2683,11049,13732
2021,June,6,5328,86116,91444
2021,July,7,11943,241621,253564
2021,August,8,14679,310437,325116
2021,September,9,7325,227763,235088
2021,October,10,4413,77625,82038
2021,November,11,3171,732,3903
2021,December,12,3440,0,3440
2022,January,1,2220,0,2220
2022,February,2,2394,0,2394
2022,March,3,3137,389,3526
2022,April,4,4532,17618,22150
2022,May,5,6920,162103,169023
2022,June,6,11774,316471,328245
2022,July,7,17174,433984,451158
2022,August,8,18311,439286,457597
2022,September,9,13562,339533,353095
2022,October,10,5525,100571,106096
2022,November,11,3567,722,4289
2022,December,12,3609,2,3611
2023,January,1,3353,0,3353
2023,February,2,3226,0,3226
2023,March,3,3850,121,3971
2023,April,4,5723,20503,26226
2023,May,5,7678,183284,190962
2023,June,6,12079,357054,369133
2023,July,7,15864,465735,481599
2023,August,8,15767,469475,485242
2023,September,9,12161,369850,382011
2023,October,10,7940,120599,128539
2023,November,11,3639,361,4000
2023,December,12,3669,0,3669
2024,January,1,3413,0,3413
2024,February,2,3545,10,3555
2024,March,3,4162,313,4475
2024,April,4,6061,24231,30292
2024,May,5,9836,214305,224141
2024,June,6,14401,369615,384016
2024,July,7,17672,487103,504775
2024,August,8,18195,492980,511175
2024,September,9,14175,385302,399477
2024,October,10,8444,139313,147757
2024,November,11,4273,1644,5917
2024,December,12,4015,3,4018
2025,January,1,3788,4,3792
2025,February,2,1183,5,1188
2025,March,3,4215,342,4557
2025,April,4,7016,25185,32201
2025,May,5,8969,217203,226172
2025,June,6,13871,393506,407377
2025,July,7,15547,504132,519679
2025,August,8,15718,511331,527049
2025,September,9,13047,388987,402034
2025,October,10,7625,139292,146917
2025,November,11,4567,2637,7204
2025,December,12,4603,1,4604
2026,January,1,3956,0,3956
2026,February,2,1846,0,1846
2026,March,3,4898,546,5444
2026,April,4,7099,25607,32706
2026,May,5,11203,242491,253694
