Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,1561.0,2727.0,2796.0,2490.0,2781.0,1132.0,2220.0,3353.0,3413.0,3792.0,3956.0
Φεβρουάριος,1901.0,2679.0,2658.0,2864.0,2577.0,960.0,2394.0,3226.0,3555.0,1188.0,1846.0
Μάρτιος,2282.0,3377.0,3709.0,3405.0,1467.0,1245.0,3526.0,3971.0,4475.0,4557.0,5444.0
Απρίλιος,10673.0,15928.0,18996.0,20045.0,110.0,1251.0,22150.0,26226.0,30292.0,32201.0,32706.0
Μάιος,123604.0,156233.0,191778.0,190701.0,497.0,13732.0,169023.0,190962.0,224141.0,226172.0,253670.0
Ιούνιος,241583.0,292999.0,320848.0,325250.0,1744.0,91444.0,328245.0,369133.0,384016.0,407377.0,415592.0
Ιούλιος,332257.0,378667.0,406624.0,414916.0,98287.0,253564.0,451158.0,481599.0,504775.0,519679.0,
Αύγουστος,354322.0,400809.0,421798.0,426487.0,204932.0,325116.0,457597.0,485242.0,511175.0,527049.0,
Σεπτέμβριος,273458.0,309292.0,325410.0,332208.0,97331.0,235088.0,353095.0,382011.0,399477.0,402034.0,
Οκτώβριος,70570.0,91396.0,100980.0,85614.0,18355.0,82038.0,106096.0,128539.0,147757.0,146917.0,
Νοέμβριος,3235.0,2918.0,3078.0,3258.0,1015.0,3903.0,4289.0,4000.0,5917.0,7204.0,
Δεκέμβριος,4350.0,2616.0,2622.0,3189.0,1159.0,3440.0,3611.0,3669.0,4018.0,4604.0,
