Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,,20797.0,
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,,41000.0,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,2420790.0,,
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",18211.0,7910565.0,-7892354.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,1407662.0,517355.0,890307.0
05,Vegetables and fruit,Λαχανικά και φρούτα,3387349.0,14722621.0,-11335272.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",812.0,3457515.0,-3456703.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",5509.0,1468759.0,-1463250.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,,7999368.0,
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,6743.0,1435313.0,-1428570.0
11,Beverages,Ποτά,772158.0,49182.0,722976.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,75.0,2354841.0,-2354766.0
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,28338.0,5562020.0,-5533682.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),100.0,842218.0,-842118.0
24,Cork and wood,Ξυλεία και φελλός,57149.0,1635181.0,-1578032.0
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",846909.0,13678569.0,-12831660.0
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",425291496.0,1958994.0,423332502.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,80228956.0,136464.0,80092492.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",1369.0,554747.0,-553378.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",2070013.0,462400.0,1607613.0
33,"Petroleum, petroleum products and related materials",Πετρέλαιο και προϊόντα πετρελαίου,16329111.0,2549872.0,13779239.0
41,Animal oils and fats,Λάδια και λίπη ζωικής προέλευσης,,75116.0,
42,"Fixed vegetable fats and oils, crude, refined or fractionated","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",71903.0,3105.0,68798.0
43,"Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, n.e.s.","Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",,477221.0,
51,Organic chemicals,Οργανικά χημικά,311577.0,43946499.0,-43634922.0
52,Inorganic chemicals,Ανόργανα χημικά,54845.0,15153918.0,-15099073.0
53,"Dyeing, tanning and colouring materials","Βαφικές, δεψικές και χρωστικές ύλες",610557.0,10124739.0,-9514182.0
