date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,,490968.0,232142.0,39628.0,26088.0,146205.0,9600503.0,12986.0,574756.0,244550.0,44742.0,323819.0,2368.0,,60007.0,78005.0,629142.0,,116180.0,6099.0,,,,,3130001.0,173064.0,,243517.0,40623.0,,,377677.0,46339.0,14371517.0,4078.0,1096826.0,601446.0,384860.0,23024017.0,133246.0,94933.0,,,1045.0,3631.0,253556.0,1156363.0,113951.0,,301242.0,90884.0,693408.0,174351.0,35088.0,208615.0,1451307.0,,,14627.0,120349.0,
2003,,209505.0,730477.0,132722.0,58936.0,16427.0,891419.0,4300235.0,,439359.0,164255.0,67931.0,229246.0,104293.0,77993.0,38314.0,95676.0,747654.0,,204986.0,6339.0,,,,,2422256.0,89274.0,,,45286.0,,,256341.0,649454.0,19672728.0,,4110326.0,1307184.0,2448.0,1264903.0,84339.0,,150000.0,,4735.0,,142839.0,54191.0,128067.0,4936.0,409.0,62057.0,222169.0,125134.0,,351822.0,13491640.0,,33031.0,5598.0,10943.0,319729.0
2004,,57878.0,1292793.0,557907.0,1788.0,,1019170.0,,,901600.0,704355.0,45089.0,309395.0,528125.0,577739.0,3972.0,276990.0,234723.0,,87693.0,,,1176.0,,,3210238.0,108833.0,,,36040.0,,,1115017.0,233705.0,16787545.0,42804.0,7450184.0,9727469.0,14486.0,3604733.0,141797.0,,,,,160226.0,900103.0,36653.0,261804.0,233969.0,,121050.0,307263.0,298936.0,565.0,514808.0,8066331.0,,17927.0,26276.0,23221.0,
2005,,42709.0,852725.0,593605.0,3769.0,,1289349.0,,,897847.0,2992723.0,54481.0,467883.0,1055621.0,1319438.0,,312051.0,925216.0,120.0,296801.0,,,5131.0,,,2109047.0,66964.0,,,37618.0,,,2777059.0,109141.0,13098826.0,,27292410.0,10823707.0,4967.0,1633310.0,250392.0,3327.0,,,21458.0,139100.0,64205.0,45045.0,278666.0,4202767.0,1500.0,227693.0,500517.0,198892.0,15300.0,968475.0,4519993.0,,2677.0,102678.0,322974.0,
2006,,770.0,1064795.0,349548.0,475.0,,1042199.0,,1632.0,1520534.0,1776081.0,54836.0,728289.0,916200.0,1228399.0,501.0,342796.0,914691.0,21358.0,764448.0,10509.0,,3369.0,,,2601190.0,3753.0,,279.0,2239.0,,,2977272.0,541613.0,19712644.0,,29574750.0,3249211.0,18347.0,4673425.0,185779.0,3415.0,,,10581.0,99071.0,108307.0,74623.0,266266.0,4205565.0,96541.0,125760.0,,1183703.0,1171.0,491215.0,7916694.0,27738.0,4139.0,69771.0,60507.0,140238.0
2007,,3185.0,3041185.0,941186.0,6743.0,,1207816.0,,13492.0,1197584.0,2047290.0,31373.0,1250347.0,790707.0,3048933.0,,496264.0,286503.0,5007.0,1023163.0,1654.0,1.0,17775.0,,,2735947.0,512663.0,,22720.0,22183.0,58172.0,,3186931.0,803971.0,27379651.0,36500.0,28198865.0,18176707.0,191264.0,1955355.0,166852.0,199755.0,,,409250.0,351973.0,3526568.0,84812.0,773931.0,7053909.0,16754.0,208191.0,15254.0,1811308.0,50844.0,1072306.0,680783.0,,9636.0,40896.0,378346.0,237898.0
2008,,25304.0,423749.0,951698.0,1990.0,,1357984.0,,57153.0,1239895.0,1704418.0,556987.0,1100234.0,207713.0,5650212.0,12144.0,1040252.0,907821.0,20.0,483134.0,,17435.0,15252.0,,,1319520.0,73368.0,,32424.0,65819.0,33658.0,,3601954.0,889219.0,36932150.0,14081.0,30048884.0,18894993.0,52986.0,774423.0,187638.0,6529.0,,,398986.0,164839.0,1626958.0,160671.0,428387.0,5372628.0,172802.0,44458.0,548757.0,85417.0,14569.0,1335425.0,1944536.0,,70130.0,3941.0,1805.0,179034.0
2009,,38604.0,560281.0,723617.0,36819.0,,1910220.0,,50413.0,447977.0,2597864.0,512374.0,657147.0,9585.0,2001310.0,45359.0,559534.0,434217.0,5.0,440285.0,14500.0,13143.0,13133.0,,,1877133.0,191335.0,2617.0,29514.0,6178.0,234434.0,,4437481.0,823109.0,42241788.0,18100.0,36216032.0,16834248.0,88326.0,1424199.0,351586.0,850.0,,,217588.0,31318.0,18755434.0,46706.0,2512301.0,8458445.0,169145.0,134932.0,318887.0,92415.0,118748.0,727618.0,2219571.0,116.0,15069.0,27478.0,236413.0,164134.0
2010,,129057.0,334544.0,767380.0,57888.0,32080.0,3186594.0,,137688.0,587996.0,9656974.0,543550.0,141321.0,24949.0,6639536.0,14603.0,713757.0,682188.0,,855843.0,16103.0,900.0,39507.0,,,3760108.0,473137.0,544.0,65007.0,22351.0,23295.0,,4241805.0,721502.0,65928451.0,143805.0,55727121.0,12600595.0,139401.0,1635281.0,446181.0,3500.0,,43022.0,309929.0,70119.0,109655453.0,250353.0,3494840.0,7166347.0,570584.0,164322.0,59489.0,742315.0,,843300.0,923296.0,,15344.0,798182.0,504069.0,9740.0
2011,,118896.0,242161.0,1111030.0,62515.0,198775.0,2284460.0,382398.0,217108.0,490807.0,7608561.0,1411402.0,559362.0,89686.0,4758776.0,107060.0,372237.0,2897493.0,108.0,206887.0,70426.0,1693.0,54169.0,,600.0,2923360.0,306759.0,13973.0,133966.0,104883.0,196877.0,,7124417.0,1055970.0,74171617.0,279446.0,47627462.0,10856311.0,344607.0,1181055.0,2660828.0,16530.0,,35260.0,153880.0,38881.0,24266978.0,455885.0,3766383.0,11425025.0,2080631.0,290999.0,259.0,187395.0,,635715.0,68993257.0,,35416.0,18596.0,200923.0,45957.0
2012,4531.0,221881.0,177740.0,1174161.0,206229.0,31763.0,3321157.0,,335769.0,473793.0,8071814.0,1018766.0,325245.0,276689.0,5700621.0,43872.0,890026.0,1845058.0,24819.0,1777876.0,2276.0,8247.0,114359.0,,,1919947.0,1274928.0,11603.0,190361.0,104917.0,153781.0,,9506290.0,2521249.0,89993859.0,2994.0,45095459.0,14320682.0,205069.0,768135.0,103867.0,1981.0,,26597.0,162501.0,19038.0,85615206.0,808112.0,3677729.0,12415403.0,1797306.0,219803.0,1996.0,92184.0,48868.0,355386.0,61273451.0,,43659.0,380.0,285084.0,96164.0
2013,,342767.0,551842.0,1278722.0,252751.0,28666.0,3421531.0,1770729.0,510231.0,848696.0,10524643.0,1620391.0,683425.0,321190.0,4868964.0,13990.0,582992.0,2504201.0,3084.0,1209508.0,12962.0,44813.0,179884.0,,,6700513.0,753408.0,4049.0,174028.0,15830.0,,,6531353.0,3197502.0,120597897.0,70182.0,30516288.0,20650144.0,36208.0,1676695.0,3103178.0,7413.0,,97921.0,586100.0,70593.0,80581104.0,310669.0,1784110.0,10441131.0,1999187.0,229736.0,13860.0,1886164.0,45066.0,517552.0,31666076.0,,13239.0,54442.0,412699.0,24722.0
