date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,75500.0,19526535.0,10125114.0,2272695.0,1478111.0,1106724.0,1015919.0,137885.0,,115586450.0,710833.0,55871.0,179694782.0,171383.0,,7473331.0,70015519.0,19132212.0,8818352.0,91028866.0,46452894.0,,8207569.0,335001.0,166742.0,126748.0,70175553.0,3315349.0,,3209274.0,208326.0,22203.0,1211082.0,,13072.0,6894470.0,686879.0,82939029.0,68928.0,2401081.0,37433239.0,2763286.0,8229498.0,1791725.0,,283790.0,8545477.0,12349927.0,1396408.0,2871544.0,1153340.0,,78440.0,20716376.0,3157470.0,37213108.0,35731185.0,70406832.0,562543.0,,18849838.0,2966473.0,5625978.0,,1398232.0
2003,56027.0,28365358.0,9027442.0,3078183.0,1183779.0,974296.0,1542964.0,378981.0,10605.0,131660673.0,974645.0,103982.0,187251113.0,180369.0,,9726753.0,78346032.0,25434078.0,12764665.0,113090367.0,48153169.0,,6927543.0,422011.0,137003.0,285101.0,88935488.0,2961462.0,14902.0,2564193.0,263724.0,18166.0,1274208.0,,20064.0,8283742.0,261851.0,142599542.0,32783.0,4014797.0,35026586.0,4978798.0,10296242.0,2537666.0,,551207.0,9376786.0,18426973.0,329480.0,5848924.0,1074235.0,,62602.0,24634542.0,1854314.0,48458346.0,38579473.0,76331681.0,815783.0,,18775537.0,3453936.0,5128327.0,,5341317.0
2004,4601270.0,46791944.0,11695429.0,3162441.0,2862923.0,1157596.0,2241450.0,117771.0,,148432884.0,5503865.0,108728.0,225855160.0,136293.0,24806.0,12121808.0,92165140.0,40368238.0,17449293.0,141192598.0,54803791.0,,9043293.0,657215.0,178067.0,479667.0,107263346.0,3682785.0,,1017021.0,133218.0,,1651619.0,,78.0,7353777.0,906252.0,54978077.0,143131.0,7104351.0,58581851.0,8218779.0,12346790.0,4016399.0,,545212.0,10145308.0,27138305.0,323160.0,6704887.0,479794.0,,324884.0,32888421.0,6141782.0,71231484.0,46637611.0,93319061.0,1013613.0,,19738529.0,6503230.0,5351777.0,,6077449.0
2005,,69716337.0,12337144.0,3815084.0,2678482.0,1411546.0,3318293.0,317871.0,,122032008.0,6458417.0,171291.0,263236299.0,630517.0,39610.0,16078612.0,109484088.0,71607549.0,23758595.0,160277881.0,58016487.0,,7770097.0,1029047.0,266923.0,496117.0,113506344.0,4140824.0,,695034.0,102737.0,,1621549.0,,43774.0,6911314.0,361118.0,115797208.0,487425.0,9160392.0,45482863.0,15114649.0,17145120.0,4821429.0,,1665883.0,13704346.0,34928666.0,182872.0,7417214.0,1705028.0,,67707.0,41243188.0,11443187.0,74828983.0,107415240.0,97218765.0,1023272.0,2817.0,16854301.0,12024941.0,5933925.0,,4660994.0
2006,,84262338.0,16338290.0,4221291.0,1620441.0,2027804.0,3663930.0,133906.0,,137242463.0,9630461.0,214118.0,253650347.0,542712.0,,15589217.0,116525357.0,73316184.0,27530012.0,195895444.0,57810444.0,,5217539.0,762788.0,424066.0,514451.0,127677758.0,6015080.0,,919257.0,175978.0,,2019724.0,,141767.0,7407608.0,310212.0,25825635.0,477867.0,13033687.0,60925141.0,16771442.0,17881725.0,5964450.0,,2285818.0,14247662.0,35661947.0,8792218.0,10231341.0,1856719.0,,77004.0,50524700.0,44617807.0,95778975.0,111933449.0,101363922.0,1019792.0,7153.0,18595388.0,16288103.0,6884687.0,2103.0,5814236.0
2007,41773.0,147119869.0,21031365.0,5188200.0,2091614.0,2659374.0,5119095.0,267580.0,,227542289.0,12481192.0,207746.0,335787737.0,770410.0,46932.0,28398929.0,168624758.0,111670917.0,38947245.0,247079735.0,72875024.0,,7911451.0,543751.0,606216.0,759623.0,186203985.0,11332375.0,178936.0,2527948.0,681926.0,,2652459.0,,71628.0,15190728.0,983201.0,231223484.0,7088601.0,67864489.0,73670000.0,28637820.0,30374709.0,9166579.0,,4946769.0,17525523.0,43283319.0,170230.0,11450838.0,4953368.0,,71982.0,70580075.0,127104521.0,152508387.0,131402068.0,123859290.0,1360225.0,,21811203.0,32440451.0,8079154.0,,10304003.0
2008,89099.0,146413521.0,21698138.0,6177885.0,2767406.0,4084664.0,3477978.0,783133.0,,293021165.0,7720201.0,217879.0,346127047.0,727221.0,8734.0,27471912.0,175197222.0,103829499.0,37359313.0,284738973.0,79234740.0,,9586420.0,607656.0,750209.0,769483.0,208842450.0,25201323.0,95431.0,659312.0,585683.0,,1970048.0,,5785122.0,14222635.0,2281327.0,475923740.0,1525596.0,24218184.0,72603610.0,31972016.0,48481520.0,12767697.0,,5333923.0,20247096.0,42792865.0,181629.0,11930743.0,4043111.0,6364.0,41096.0,73422174.0,155176340.0,170743283.0,141100905.0,124585030.0,1794441.0,,22975905.0,35989743.0,8022457.0,,7323490.0
2009,153794.0,114735554.0,19996996.0,6708553.0,2705495.0,3007727.0,1970717.0,512174.0,,178805013.0,3265240.0,207772.0,283920260.0,414850.0,,20543444.0,126779193.0,73508132.0,21283406.0,234565332.0,68925123.0,,7029166.0,430073.0,871931.0,579270.0,183935365.0,24127210.0,68162.0,1272435.0,453242.0,,2302682.0,,,9896805.0,1384117.0,873992748.0,623175.0,13430909.0,65759270.0,34979170.0,21052681.0,6975496.0,,2692217.0,17976891.0,38398298.0,1066898.0,9306732.0,2402857.0,,116838.0,50514417.0,34323941.0,169655970.0,135899187.0,99048045.0,812490.0,,22038125.0,31602655.0,9866772.0,,9401298.0
2010,22800.0,102150403.0,19769338.0,4584111.0,1683516.0,2095031.0,3426244.0,282651.0,,152503436.0,4988092.0,193878.0,287801347.0,540292.0,82375.0,19424584.0,109379927.0,74185748.0,18806108.0,216842137.0,60634675.0,,7352791.0,605699.0,1076399.0,646072.0,239648149.0,23452063.0,61872.0,2408086.0,379940.0,,1624630.0,,30856.0,8378761.0,946160.0,86083309.0,58066.0,33965225.0,79435424.0,23335622.0,21948792.0,3580715.0,,2092528.0,17004214.0,38710350.0,106038.0,8904362.0,2431904.0,,52555.0,49837248.0,57801398.0,174459168.0,120506223.0,98348176.0,456535.0,,21461344.0,29946466.0,6972004.0,,17222224.0
2011,113490.0,77486338.0,19650814.0,4457364.0,1693141.0,4293073.0,4298279.0,1611580.0,,153328793.0,8317895.0,272903.0,254531079.0,536791.0,,15579293.0,91022913.0,50248968.0,14555698.0,194129170.0,55427513.0,,9160529.0,306056.0,609642.0,906730.0,382947484.0,20565712.0,148063.0,5333815.0,610642.0,,1472118.0,,,12597072.0,346713.0,752897.0,59438.0,114329806.0,66723808.0,15941555.0,32618246.0,4471530.0,1594.0,1537720.0,20493994.0,31605225.0,769080.0,9310340.0,1974155.0,,35294.0,40791272.0,63599553.0,132519024.0,113575206.0,86520990.0,120370.0,,16552549.0,21027719.0,10430530.0,,17722830.0
