date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,445000.0,8708700.0,1000800.0,1026100.0,934200.0,3007100.0,884000.0,264400.0,,25219100.0,39400.0,36900.0,47394900.0,124700.0,,4806900.0,38576000.0,20446400.0,5431100.0,8434000.0,9388200.0,,10720400.0,62500.0,4600.0,107000.0,19234500.0,432600.0,,1162700.0,29800.0,10300.0,477800.0,,15200.0,8010700.0,3349200.0,161400.0,133100.0,897900.0,3885200.0,437200.0,2617300.0,624400.0,,201800.0,3239900.0,3794700.0,5441000.0,1226700.0,1271100.0,,60700.0,6565000.0,4289400.0,3000900.0,4271000.0,12425600.0,283700.0,,1380900.0,1119500.0,20132800.0,,578900.0
2003,407500.0,13678800.0,1194000.0,1579000.0,786900.0,2628300.0,1369100.0,991000.0,2600.0,39433200.0,54200.0,58600.0,54009400.0,110300.0,,6310200.0,48959500.0,38658800.0,8292000.0,10888000.0,10760600.0,,10524300.0,62400.0,5900.0,286000.0,28514300.0,374000.0,13800.0,1519100.0,111000.0,7300.0,595400.0,,15200.0,11759900.0,1310500.0,268300.0,177200.0,2223800.0,2849800.0,943100.0,4045100.0,844700.0,,530600.0,3962300.0,5896500.0,661900.0,2471500.0,1170900.0,,52000.0,8991300.0,2524000.0,4655700.0,4905900.0,16127100.0,544400.0,,1658400.0,1327000.0,9391900.0,,2003700.0
2004,135898000.0,24353900.0,1905500.0,1510500.0,1745300.0,3002400.0,1365400.0,242300.0,,49583600.0,113400.0,115900.0,70570900.0,124600.0,100.0,7852900.0,59382000.0,73134900.0,14185900.0,15540700.0,12727400.0,,12477700.0,87800.0,10200.0,379600.0,35168900.0,431900.0,,539400.0,66800.0,,826200.0,,0.0,10487400.0,3181600.0,197700.0,784500.0,3679700.0,4349800.0,1708400.0,4986700.0,1150100.0,,493500.0,4530300.0,8191900.0,587600.0,3193200.0,184100.0,,168100.0,13306700.0,7590400.0,7187600.0,6827500.0,20522300.0,728300.0,,1936500.0,3477400.0,3797700.0,,2639200.0
2005,,32562200.0,2178000.0,1686600.0,1914000.0,2786900.0,1684900.0,560600.0,,39192300.0,188200.0,136100.0,80398200.0,121900.0,200.0,9578900.0,63400100.0,124014800.0,24493900.0,19091300.0,13339000.0,,11164600.0,187300.0,15000.0,678600.0,35403900.0,747300.0,,347900.0,47000.0,,639300.0,,31400.0,9495200.0,1942100.0,402800.0,2743400.0,4669600.0,3122000.0,2806600.0,6490400.0,1431700.0,,1169900.0,6688200.0,10656900.0,350900.0,3682000.0,1233100.0,,43200.0,16686200.0,15521100.0,6841000.0,14157000.0,20883400.0,702100.0,200.0,1813300.0,8074800.0,3594500.0,,1898800.0
2006,,36813500.0,2780300.0,1610100.0,1429200.0,5433000.0,1805200.0,261500.0,,42722700.0,184000.0,127700.0,74360000.0,149400.0,,8472200.0,71531000.0,153218200.0,31743300.0,22473100.0,12458100.0,,7126800.0,164500.0,20000.0,758500.0,36383400.0,1063500.0,,707200.0,116800.0,,985900.0,,225300.0,8397100.0,1387600.0,177500.0,2863000.0,4776100.0,3086200.0,3612400.0,6195600.0,1609600.0,,1691000.0,6849300.0,10658300.0,19827500.0,5731900.0,1227900.0,,71100.0,19729600.0,67514800.0,6584000.0,14798900.0,22098700.0,623700.0,8500.0,1817800.0,12787700.0,4697800.0,0.0,2305700.0
2007,224500.0,67811400.0,3459900.0,2166100.0,1645900.0,5612800.0,2228900.0,666300.0,,65934200.0,303200.0,187500.0,100088100.0,294600.0,400.0,14791300.0,101466300.0,231210600.0,41604900.0,33199100.0,16031100.0,,9887800.0,162600.0,25900.0,1129600.0,51611800.0,1459700.0,68100.0,1621500.0,203400.0,,1107500.0,,58800.0,18688800.0,4051800.0,444700.0,3992100.0,27911100.0,3691900.0,6236200.0,9547900.0,2373600.0,,4565000.0,9907700.0,13803600.0,209700.0,5789000.0,3694900.0,,49600.0,26149300.0,180342100.0,8878300.0,21880000.0,30989300.0,1074800.0,,2113600.0,32720100.0,6242800.0,,4306300.0
2008,217000.0,66179100.0,3409200.0,2326000.0,2024000.0,4241000.0,1227000.0,1117600.0,,79736400.0,352700.0,205100.0,93740200.0,583900.0,0.0,13626800.0,92598900.0,179025400.0,35669900.0,31150400.0,16458500.0,,8353700.0,145200.0,29100.0,948400.0,50989600.0,1510500.0,66000.0,683400.0,222000.0,,1010500.0,,5003800.0,18161000.0,10649900.0,897500.0,4543000.0,6846300.0,3176000.0,7216200.0,13721100.0,2822300.0,,3746500.0,7385200.0,13468700.0,145100.0,5531600.0,2258000.0,1300.0,32000.0,24300800.0,183743600.0,8945200.0,20817900.0,32736700.0,700200.0,,1857200.0,31674900.0,4446300.0,,3233400.0
2009,592600.0,50483000.0,2950300.0,2532500.0,1441600.0,6146000.0,609300.0,718500.0,,46698700.0,286800.0,151800.0,78251200.0,281600.0,,10174400.0,64692500.0,134905300.0,21017900.0,26445500.0,13149800.0,,8307300.0,130900.0,36700.0,833400.0,37970000.0,1563800.0,18300.0,740000.0,211800.0,,984800.0,,,15133500.0,5554500.0,1130200.0,1855100.0,5225500.0,2787900.0,9734400.0,5910600.0,1625800.0,,2317300.0,6085000.0,10314700.0,3412400.0,4349700.0,1404800.0,,77300.0,17050200.0,46275600.0,6873000.0,18602000.0,29825300.0,350900.0,,1458200.0,31074000.0,3820300.0,,4339100.0
2010,60000.0,40546564.0,3165812.0,1861291.0,620564.0,3821121.0,1201771.0,322613.0,,37630691.0,350341.0,115001.0,74526078.0,472634.0,484.0,8398799.0,49498906.0,114925882.0,15202948.0,26872500.0,11422632.0,,6505419.0,210205.0,40110.0,778294.0,42722710.0,1291189.0,33956.0,1433462.0,186226.0,,654200.0,,5484.0,9071749.0,2795221.0,321307.0,195471.0,15175487.0,2005395.0,6056469.0,5059433.0,868630.0,,1373274.0,6121256.0,9420405.0,253210.0,3414478.0,1326061.0,,56649.0,17463938.0,91631423.0,5579985.0,18371128.0,28901200.0,189920.0,,1727765.0,23585552.0,3671371.0,,6920193.0
2011,288000.0,32256898.0,3059820.0,1899756.0,725789.0,6741502.0,1551939.0,2726484.0,,41045745.0,471523.0,179632.0,66758457.0,408208.0,,5970071.0,39190836.0,70660214.0,11797296.0,25443695.0,11270211.0,,6918874.0,72955.0,27062.0,1142693.0,50342840.0,1455846.0,54211.0,2550076.0,297828.0,,576000.0,,,11732319.0,692868.0,114415.0,123040.0,57946088.0,1651417.0,3828864.0,5407717.0,846216.0,40.0,1342081.0,6530485.0,9187013.0,1757989.0,4135625.0,1247414.0,,35763.0,14563925.0,83623517.0,4348411.0,21139500.0,23453304.0,68204.0,,1472164.0,13663769.0,4449212.0,,6602721.0
