Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,7247076.0,37573293.0,-30326217.0
1,Beverages and tobacco,Ποτά και καπνός,772233.0,2404023.0,-1631790.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",506454317.0,24368193.0,482086124.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",18399124.0,3012272.0,15386852.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,71903.0,555442.0,-483539.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,3715814.0,168581418.0,-164865604.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",16691235.0,751547772.0,-734856537.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,1488420.0,609986066.0,-608497646.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,437486.0,359272317.0,-358834831.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",252.0,128.0,124.0
