date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,88032200.0,87143500.0,1000.0,493000.0,58974700.0,5886000.0,1223400.0,15622400.0,8965400.0,31484700.0
2003,124476600.0,106086400.0,,610600.0,87450700.0,1069400.0,1571100.0,13887700.0,14407700.0,23938000.0
2004,189938900.0,147169100.0,100.0,826200.0,112524700.0,136485600.0,707500.0,19471500.0,13911500.0,18257800.0
2005,270824800.0,180225200.0,27000.0,670700.0,106347600.0,351100.0,391100.0,19636300.0,12579900.0,22664100.0
2006,372326000.0,185231300.0,16600.0,1211200.0,111029700.0,19836000.0,778300.0,15121300.0,12039700.0,28680200.0
2007,661338900.0,270732500.0,5400.0,1166300.0,162522200.0,434200.0,1671100.0,25285900.0,24998700.0,37768200.0
2008,576275200.0,257913300.0,4000.0,6014300.0,180973000.0,362100.0,715400.0,30084600.0,23528100.0,30043200.0
2009,343477300.0,208390200.0,6200.0,984800.0,123045300.0,4005000.0,817300.0,19845000.0,21118800.0,27229900.0
2010,347670538.0,194096417.0,1684.0,659684.0,109665025.0,313210.0,1490111.0,11714309.0,17794412.0,23031151.0
2011,306776618.0,175964670.0,3853.0,576000.0,116833928.0,2045989.0,2585839.0,9925067.0,20463418.0,30738263.0
2012,245373087.0,133779078.0,7226.0,839719.0,125239860.0,1644398.0,1688679.0,23736999.0,20171957.0,24123343.0
2013,253516578.0,143123535.0,2420.0,582433.0,114133175.0,1861357.0,2073795.0,26819398.0,21703235.0,31968567.0
2014,299123198.0,164753119.0,2273.0,717482.0,109431088.0,1353006.0,2857433.0,14139452.0,19842429.0,38753400.0
2015,315972615.0,157950746.0,44208.0,897313.0,108845674.0,1910835.0,2007019.0,11552330.0,19839578.0,40564114.0
2016,338986763.0,200805024.0,0.0,534872.0,144964589.0,2762538.0,1468091.0,9965191.0,23539698.0,49797015.0
2017,271652675.0,196310491.0,2099.0,699652.0,135660305.0,2351416.0,2221157.0,14260630.0,24304592.0,53027068.0
2018,364766384.0,265979039.0,983.0,754397.0,186924247.0,733893.0,1074637.0,13141369.0,25489227.0,65179112.0
2019,369500518.0,363007990.0,1015.0,670840.0,174292586.0,1562125.0,1743918.0,13711752.0,26474715.0,79062604.0
2020,281289686.0,267175790.0,53.0,418670.0,221487223.0,2929967.0,1585218.0,13227986.0,26047005.0,88804964.0
2021,421447098.0,337606717.0,1289.0,502048.0,312152547.0,1487139.0,1240894.0,15300292.0,22833811.0,72301574.0
2022,613381442.0,400115697.0,1.0,488611.0,450602534.0,5087079.0,3930315.0,10682681.0,27767200.0,197926732.0
2023,689421747.0,340187773.0,230.0,637288.0,449472658.0,9723026.0,3082591.0,35657591.0,32560989.0,166027845.0
2024,751547772.0,359272317.0,128.0,555442.0,609986066.0,3012272.0,2404023.0,24368193.0,37573293.0,168581418.0
