Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,,4287.0,
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,,111005.0,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,3361591.0,150.0,3361441.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",33639267.0,223902.0,33415365.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,6901179.0,17787.0,6883392.0
05,Vegetables and fruit,Λαχανικά και φρούτα,32088394.0,10876519.0,21211875.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",4542066.0,40565.0,4501501.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",1599870.0,15400.0,1584470.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,2065160.0,1957074.0,108086.0
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,13516006.0,430496.0,13085510.0
11,Beverages,Ποτά,8715995.0,86.0,8715909.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,70845.0,,
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,,907820.0,
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),83882.0,128740.0,-44858.0
24,Cork and wood,Ξυλεία και φελλός,537969.0,,
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,226564.0,,
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",20251.0,240811.0,-220560.0
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",20012649.0,535151.0,19477498.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,144632.0,71615663.0,-71471031.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",687934.0,1585480.0,-897546.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",352612.0,,
33,"Petroleum, petroleum products and related materials",Πετρέλαιο και προϊόντα πετρελαίου,130726859.0,129748037.0,978822.0
34,"Gas, natural and manufactured","Φωταέριο, φυσικό και βιομηχανικό",473556.0,,
