date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,36749816.0,11815651.0,78814.0,1930944.0,9759197.0,19610791.0,8331112.0,7642593.0,9474725.0,25284775.0
2003,34578068.0,8067893.0,4095031.0,4529374.0,7765772.0,3854916.0,7258221.0,6495021.0,7514641.0,24114413.0
2004,31999129.0,7285129.0,100293.0,396678.0,9695864.0,3219185.0,7758266.0,6027461.0,5806194.0,25105787.0
2005,28971363.0,8926030.0,1066354.0,376312.0,8670724.0,16042248.0,5071612.0,5208614.0,6245979.0,29705046.0
2006,26088123.0,7943763.0,234684.0,896104.0,11146300.0,59945086.0,3909271.0,4406405.0,10552261.0,34459534.0
2007,43698519.0,7981940.0,42921.0,926380.0,11146555.0,60346513.0,4211532.0,4200938.0,8663335.0,35676566.0
2008,37327296.0,9765587.0,58435.0,59332.0,8430849.0,42130012.0,3769636.0,3955895.0,9784321.0,30476053.0
2009,29247476.0,7701431.0,161332.0,528886.0,7668826.0,55098968.0,4368082.0,3814476.0,10633260.0,27869303.0
2010,40761236.0,9841984.0,108984.0,1085465.0,10676703.0,127521271.0,4931526.0,4196258.0,11287785.0,23804052.0
2011,90858101.0,11590674.0,167280.0,124978.0,9784264.0,74788605.0,3382706.0,7955071.0,12092210.0,22982900.0
2012,58162972.0,9523241.0,254776.0,3142420.0,13072918.0,463665057.0,7063604.0,6711562.0,11115313.0,23562930.0
2013,62046828.0,10235144.0,188364.0,1508679.0,9482336.0,259840693.0,4237871.0,8554143.0,11397091.0,27579523.0
2014,56532472.0,10331226.0,518328.0,33341.0,11460632.0,73283573.0,2289246.0,8062839.0,16722042.0,23767630.0
2015,63780154.0,15292591.0,357682.0,108025.0,18608457.0,73457861.0,2224569.0,16604225.0,19829993.0,25800006.0
2016,82057164.0,17356174.0,685259.0,365800.0,22688312.0,85060172.0,2392377.0,12012598.0,22450024.0,25370404.0
2017,151418238.0,19734018.0,664692.0,78333.0,29475933.0,172581628.0,4231134.0,12332077.0,19981977.0,31938777.0
2018,164069934.0,20513028.0,729219.0,156816.0,50798235.0,87538988.0,5500288.0,14620394.0,23185687.0,32076523.0
2019,109979809.0,23150077.0,765006.0,326948.0,63042101.0,197146434.0,4253037.0,11399851.0,25703319.0,35922725.0
2020,119246650.0,21766393.0,663321.0,1032174.0,87745921.0,51431768.0,4854599.0,10041634.0,25188597.0,47783845.0
2021,191492185.0,27031089.0,1192339.0,10122063.0,104676770.0,110086329.0,5933401.0,12815805.0,36891956.0,48544209.0
2022,198398736.0,26235630.0,14262.0,12045916.0,151262594.0,306981194.0,6533981.0,34550518.0,55107013.0,56386012.0
2023,146025277.0,73781789.0,2766.0,5559203.0,151153158.0,142432696.0,7713894.0,16308893.0,59095183.0,53953154.0
2024,454477784.0,66464773.0,4423.0,3718301.0,120826955.0,131553027.0,8786840.0,21713664.0,97713533.0,80540958.0
