date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,29502018.0,22518845.0,290154.0,21859.0,29246267.0,13667245.0,161441.0,15348392.0,7654031.0,44457985.0
2003,27510714.0,26033230.0,92213.0,6235.0,35413853.0,17001984.0,12158.0,16879851.0,8674402.0,45489128.0
2004,27102116.0,30856811.0,374604.0,7662.0,31803522.0,4780369.0,31188.0,19448857.0,10004799.0,45245677.0
2005,25082937.0,28959386.0,809321.0,4771.0,22687570.0,26731687.0,6095.0,6388620.0,6862027.0,52233687.0
2006,24110107.0,38389065.0,5955920.0,792.0,26076811.0,22262012.0,44065.0,5999886.0,7523301.0,43936119.0
2007,32472274.0,46493489.0,4273834.0,581909.0,30791963.0,18014178.0,19005.0,16915712.0,10898249.0,51002191.0
2008,22419905.0,35863006.0,655779.0,1880495.0,25138145.0,53542881.0,16319.0,11871825.0,5364841.0,57617034.0
2009,25921056.0,31294828.0,73797.0,18909.0,21190242.0,81831855.0,15437.0,7047812.0,8633017.0,36016079.0
2010,25232164.0,40074876.0,30836.0,12552.0,15819412.0,50123199.0,6279.0,9154300.0,6931607.0,41243548.0
2011,30422900.0,24446546.0,48556.0,,24641737.0,68781321.0,6338.0,14087469.0,5386306.0,36372540.0
2012,16926896.0,15235810.0,188352.0,18875.0,16864526.0,49826200.0,9837.0,12787340.0,3832870.0,34916063.0
2013,13641672.0,9060051.0,94782.0,21885.0,9747086.0,118781016.0,8443.0,14807606.0,5377124.0,36241934.0
2014,20009374.0,9656084.0,,34167.0,21298337.0,259938588.0,9423.0,21251556.0,4294367.0,44178966.0
2015,18126066.0,19716870.0,1870.0,48011.0,32790257.0,315592518.0,13045.0,18736900.0,4153699.0,35705899.0
2016,15990403.0,22781453.0,14283.0,19712.0,37938648.0,173450287.0,9321.0,24924997.0,3388988.0,38923227.0
2017,15665212.0,23278459.0,10899.0,18060.0,28416312.0,365384545.0,18727.0,51710261.0,4229903.0,48374433.0
2018,15592165.0,24732544.0,18073.0,25795.0,20538067.0,409279524.0,17144.0,51241736.0,3258866.0,36961233.0
2019,17944540.0,19604254.0,224625.0,13997.0,26990286.0,131528033.0,127136.0,31290443.0,5654069.0,42305791.0
2020,20345184.0,17412128.0,620519.0,9344.0,24674876.0,125956942.0,15038.0,30241317.0,7581203.0,38654838.0
2021,20707648.0,23834080.0,20984958.0,23742.0,25164602.0,185978938.0,18110.0,60876585.0,6488305.0,49008307.0
2022,11321551.0,24752353.0,,22860.0,31709642.0,326244525.0,15731.0,50975828.0,8393643.0,63013128.0
2023,21064570.0,33604368.0,28700.0,29833.0,18446563.0,148546222.0,9517.0,46750461.0,14027273.0,69684395.0
2024,99715563.0,27567227.0,,19687.0,27502093.0,129748037.0,86.0,75013665.0,13677185.0,62609563.0
