date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,39751200.0,2628400.0,13900.0,12700.0,1341200.0,66688800.0,118600.0,87343800.0,8714200.0,82715300.0
2003,39488800.0,3535400.0,300.0,700.0,1372300.0,73143300.0,3600.0,86636000.0,10502100.0,74668900.0
2004,42604000.0,4386000.0,4800.0,1700.0,2178000.0,14808000.0,12800.0,82369700.0,14215000.0,60885000.0
2005,33270300.0,4753500.0,2000.0,500.0,1247000.0,56598400.0,2200.0,13875500.0,7617000.0,76745900.0
2006,33372300.0,4256100.0,100400.0,0.0,1716500.0,75910400.0,9300.0,9550000.0,5577600.0,58578400.0
2007,40215700.0,5651400.0,94000.0,1000100.0,1639400.0,50476400.0,5600.0,17658300.0,13659500.0,56065200.0
2008,22724100.0,4530200.0,1700.0,3045200.0,1268000.0,109454500.0,14700.0,10672900.0,3299700.0,65704000.0
2009,33364600.0,3717800.0,1000.0,800.0,1058000.0,277578800.0,4000.0,11229100.0,7392300.0,33159200.0
2010,21946800.0,2866428.0,187.0,775.0,643181.0,118148279.0,4246.0,3310989.0,4236591.0,46723908.0
2011,26404408.0,2351105.0,253.0,,1502467.0,141147968.0,2445.0,4954007.0,3258167.0,28912266.0
2012,20044901.0,1475112.0,3180.0,900.0,660076.0,63398923.0,3168.0,8481987.0,2359905.0,30482929.0
2013,12553246.0,1170660.0,275.0,1105.0,312161.0,227897048.0,2442.0,7112465.0,2900143.0,30983533.0
2014,14409626.0,1416885.0,,2506.0,664593.0,596134436.0,4800.0,29529665.0,2643723.0,43427940.0
2015,17864255.0,1545704.0,10.0,2350.0,557992.0,936156659.0,4514.0,19131232.0,2692804.0,30933976.0
2016,16726434.0,2085573.0,64.0,3326.0,661096.0,715443699.0,2989.0,65666162.0,1938946.0,31265733.0
2017,10727577.0,2134656.0,15.0,1260.0,838786.0,969031444.0,5731.0,136921799.0,2236345.0,44771113.0
2018,9757803.0,1925247.0,68.0,21325.0,1586325.0,962729373.0,5593.0,111891157.0,1714129.0,25919495.0
2019,11825765.0,1544584.0,154.0,832.0,1368511.0,338354780.0,9437.0,63041488.0,2750226.0,35429922.0
2020,13514244.0,1506946.0,0.0,850.0,975930.0,371618293.0,5900.0,62757403.0,3488339.0,46885808.0
2021,16717118.0,1865440.0,108.0,4957.0,846168.0,375865970.0,1840.0,87258282.0,2279996.0,46923075.0
2022,4815840.0,1873071.0,,2645.0,991361.0,432513292.0,3283.0,50584584.0,3331839.0,40728479.0
2023,9816314.0,2968994.0,2.0,2203.0,669698.0,278457239.0,915.0,35132695.0,6537725.0,44061367.0
2024,47869565.0,3804650.0,,1477.0,1340575.0,241891209.0,36.0,113494981.0,5138725.0,53785153.0
