date,Exports_Euro,Exports_KG,Imports_Euro,Imports_KG,Exports_Euro_WORLD,Exports_KG_WORLD,Imports_Euro_WORLD,Imports_KG_WORLD,Israel_Exports_Euro_pct,Israel_Imports_Euro_pct,Israel_Exports_KG_pct,Israel_Imports_KG_pct,Israel_Balance_Euro,WORLD_Balance_Euro
2002,130678418.0,384705000.0,162868237.0,289328100.0,12121351070.0,18545042400.0,38465703433.0,44724687900.0,1.0780845901198701,0.4234115652757677,2.0744358071675264,0.6469091537249162,-32189819.0,-26344352363.0
2003,108273350.0,315289400.0,177113768.0,289351400.0,12516610172.0,18461968000.0,42475485687.0,47920122000.0,0.8650373264976363,0.41697879408641403,1.707777849035379,0.603820249038598,-68840418.0,-29958875515.0
2004,97393986.0,299694600.0,169655605.0,221465000.0,13366220661.0,18870713200.0,45148527259.0,48504047500.0,0.7286576248451178,0.37577217973634014,1.58814665256001,0.45659076183281405,-72261619.0,-31782306598.0
2005,110284282.0,280230700.0,169766101.0,194112300.0,14856821414.0,21819605100.0,46437251682.0,49222341600.0,0.7423141123314306,0.3655817147891306,1.2843069281762574,0.3943581180623882,-59481819.0,-31580430268.0
2006,159581531.0,422298100.0,174298078.0,189071000.0,17130974832.0,21101996000.0,53574343609.0,51011055200.0,0.931537945534237,0.32533870927486175,2.001223486157423,0.3706471063158874,-14716547.0,-36443368777.0
2007,176895199.0,415982500.0,211462804.0,186465600.0,19317257809.0,25368247400.0,61858886693.0,54512917500.0,0.9157365954788039,0.34184708989263024,1.6397762661365403,0.34205764165897007,-34567605.0,-42541628884.0
2008,145757416.0,355906600.0,214370230.0,220715000.0,21227704102.0,31636587000.0,65529355920.0,54825337200.0,0.6866376848840061,0.3271361773518863,1.1249841836605192,0.4025784633021829,-68612814.0,-44301651818.0
2009,147092040.0,343909500.0,212043032.0,367505600.0,18015143341.0,30837554000.0,53138160460.0,48586586100.0,0.8164910887233334,0.39904097199528843,1.1152295023139642,0.7563931313132536,-64950992.0,-35123017119.0
2010,234215264.0,456405854.0,188628773.0,197881384.0,21161226985.0,29265404564.0,49648398801.0,48352048383.0,1.1068132493735925,0.37992921736722896,1.5595405592357148,0.4092512946557456,45586491.0,-28487171816.0
2011,233726789.0,476164087.0,204193713.0,208533086.0,24242490789.0,28507929334.0,47888167977.0,45514352766.0,0.9641203580700265,0.42639700290491656,1.6702864716031922,0.4581699471200166,29533076.0,-23645677188.0
2012,596274793.0,917837801.0,150606769.0,126911081.0,27478388875.0,33819144873.0,47966691922.0,45164401372.0,2.169977270910866,0.31398197992245525,2.7139592217565767,0.2809980363842029,445668024.0,-20488303047.0
2013,395070672.0,742874871.0,207781599.0,282933078.0,27222987658.0,36098076111.0,45822998069.0,46040908352.0,1.4512392135765484,0.45344392064247674,2.0579348016101813,0.6145254038796771,187289073.0,-18600010411.0
2014,203001329.0,504401510.0,380670862.0,688234174.0,27085481643.0,37751540236.0,46695220105.0,47496139976.0,0.749483917899846,0.8152244729632161,1.3361084258994047,1.449031804158754,-177669533.0,-19609738462.0
2015,236063563.0,580426194.0,444885135.0,1008889496.0,25753707087.0,38251983499.0,42211359065.0,50034313440.0,0.9166197402282352,1.0539464846771098,1.5173754166634883,2.0163952028837913,-208821572.0,-16457651978.0
2016,270438284.0,1002322560.0,317441319.0,833794022.0,25445759688.0,41347087483.0,42317012821.0,53460413556.0,1.0628029475871235,0.7501505844535141,2.424167265498709,1.5596475345754617,-47003035.0,-16871253133.0
2017,442436807.0,1858587433.0,537106811.0,1166668726.0,28862972006.0,43253451464.0,47355920779.0,55372914698.0,1.532887212404969,1.1341914636325268,4.29696907435678,2.106930314871322,-94670004.0,-18492948773.0
2018,399189112.0,1560902872.0,561665147.0,1115550515.0,33472389759.0,45467098492.0,54119830046.0,58301248351.0,1.1925922077095399,1.037817647473401,3.4330382271361413,1.9134247491303773,-162476035.0,-20647440287.0
2019,471689307.0,1191465253.0,275683174.0,454325699.0,33864483817.0,44768792640.0,55726736643.0,56603807671.0,1.3928731633677274,0.49470539745777375,2.6613745485185367,0.8026415848924702,196006133.0,-21862252826.0
2020,369754902.0,1080140186.0,265511389.0,500753713.0,30800679378.0,43113825493.0,48953809008.0,55231956340.0,1.2004764487893238,0.5423712564564901,2.505322071629604,0.9066376536029829,104243513.0,-18153129630.0
2021,548786146.0,1282333023.0,393085275.0,531762954.0,39971546328.0,45662921794.0,65366902653.0,59635093888.0,1.372941996030752,0.6013521507768113,2.8082588074083676,0.8916946705889288,155700871.0,-25395356325.0
2022,850017199.0,1251173654.0,523000062.0,534873066.0,55762185244.0,44610454614.0,94552734118.0,60474459454.0,1.5243613486102783,0.5531305539481344,2.804664657255806,0.8844610945333907,327017137.0,-38790548874.0
2023,657034962.0,1218397655.0,353018384.0,377647850.0,51017380389.0,45285792219.0,83088337285.0,59676334820.0,1.2878649530614965,0.42487116186850293,2.6904633778026565,0.6328268167592535,304016578.0,-32070956896.0
2024,986277859.0,1896939632.0,436575582.0,467321433.0,50002860668.0,44437975328.0,85601639772.0,63103306927.0,1.9724428679161183,0.5100084334398491,4.26873550830916,0.7405656783417277,549702277.0,-35598779104.0
2025,988971899.0,1603398469.0,352570320.0,392277048.0,48491613725.0,43315647960.0,81931600087.0,57996381651.0,2.0394699681650983,0.43032275657453195,3.7016610497912077,0.6763819342395754,636401579.0,-33439986362.0
