date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,3219.5,22659.0,7531.5,,23427.0,21271.0,1129589.0,,81341.5,9282.0,10025.333333333334,9278.666666666666,3824.0,,,93361.66666666667,859384.6666666666,,6401.333333333333,,,,,,1113085.5,23149.0,,1190829.75,,25558.0,,89535.0,292133.5,458843.0,992207.0,,103703.5,,21515.0,7158.0,186275.5,,,55631.0,6963580.0,9038.5,40780.0,,87493.0,9617.666666666666,2072483.0,27550.666666666668,,2198.0,1285943.0,,225.0,,120566.5,
2003,,13095.0,73314.0,19205.0,90973.0,101840.0,8340.5,2991124.5,,98400.66666666667,4009.0,15292.5,44271.666666666664,332.0,,700379.5,47006.0,848733.6666666666,,43.0,2450.0,,,607.0,,620955.3333333334,176650.0,,1109966.75,,10906.0,,119073.0,161294.0,112442.5,846490.0,,18386.0,85662.0,183912.5,7593.0,8042.0,,13075.0,5350.0,,13175.0,49980.0,,,,,73501.0,,26698.5,5711380.0,,,,88582.0,1472.0
2004,,6675.0,26108.0,23439.0,37470.0,124134.0,23342.0,7509337.5,,147204.33333333334,16314.0,9696.5,46351.333333333336,2070.0,167.0,80020.0,65350.333333333336,1422042.5,,25979.5,23610.0,,,3788.0,8656.0,3124398.0,421201.0,,1187017.75,,,,83111.0,408979.0,178701.5,596685.5,25196.0,11144.0,1900.0,228739.5,15740.0,8445.5,3879.0,12044.0,,797.0,11389.0,13424.0,,,3965.0,107513.0,13496.0,,19589.666666666668,605560.0,,16680.0,1462.0,29254.0,
2005,,11396.5,55486.0,28555.5,56892.5,10326.0,4874.0,2757997.5,,178927.66666666666,104045.0,15445.666666666666,116290.33333333333,,85971.0,2959751.5,122269.0,2120428.0,,131939.5,5561.0,,,360.0,873386.0,1376473.0,59042.0,,2183308.0,,,,150458.0,148840.5,240889.66666666666,347979.5,59495.0,243946.5,744.5,50537.666666666664,16534.666666666668,39000.0,,29884.0,,29917.0,13867.666666666666,16923.0,,17805.0,2422.0,4519.0,7929.0,,121813.0,24067.5,,16514.0,,6779.0,24292.5
2006,,4370.0,74492.5,564087.5,85219.0,5267.0,9019.0,,,167037.33333333334,7117.5,25788.333333333332,172521.5,4014.5,,1904492.0,51682.333333333336,2776414.0,,22129.5,3274.0,,,913.0,,2224613.5,72175.0,,1608615.0,,,,230332.0,198504.5,383973.6666666667,125248.33333333333,148675.0,730377.0,799.0,189671.5,38604.0,70735.5,2178.0,220.0,1000.0,23842139.0,20647.0,,,27540.5,,12869.0,58126.5,1657.0,68268.33333333333,459819.5,,,,70975.0,
2007,,12487.0,92502.0,225616.0,79242.0,10845.0,61262.0,4383024.0,,196127.0,,17680.5,580514.6666666666,10487.0,,1982112.6666666667,195369.5,3076441.5,,54182.5,,,,1264.0,,864151.0,152877.0,,1235121.6666666667,,,,1409670.0,540440.0,372966.3333333333,15185.0,10682.0,666708.5,7145.0,1197483.0,21042.333333333332,14850.0,,,8658.0,213089.5,18024.0,207351.0,,61004.5,,39364.5,7726.0,13334.0,53668.333333333336,2624.0,11380.0,5857.0,1569.5,427119.0,
2008,,31065.0,31110.5,28030.5,224662.0,,190514.0,4113502.0,,238871.0,25020.0,37486.0,213375.0,15976.666666666666,,3902402.3333333335,735162.5,3305763.0,,20477.0,,,,2097.5,,3006420.0,185404.0,,1834121.5,,,,554591.6666666666,296846.3333333333,3423841.0,33111.333333333336,21830.0,541885.6666666666,45993.5,212648.0,35860.333333333336,240049.5,211.0,,550.0,3340.0,26789.0,394831.0,,74258.0,7059.0,,7484.0,,35176.0,766.6666666666666,15243.0,,,594468.6666666666,2513.0
2009,,9474.0,494508.0,13512.333333333334,181531.0,224.0,175308.0,,,277758.0,,27991.0,389734.3333333333,6912.0,,3140471.0,520568.3333333333,3098000.5,,29840.0,,,16856.0,533.0,,1237663.25,100111.0,,2233451.25,,116624.0,,740976.5,50046.0,225761.0,24575.333333333332,3540.0,221014.0,404491.5,63881.0,53721.333333333336,79682.5,,,810.0,73412.5,10008.0,467134.0,,91265.0,1620.0,,196257.0,,29499.666666666668,2.0,40027.0,2043.0,1667.0,17582.0,
2010,,17046.0,10445.666666666666,153149.0,51778.5,9086.0,145388.66666666666,,,445007.0,,26297.333333333332,281637.6666666667,641468.0,,487650.5,597257.6666666666,3525693.5,,25485.0,,,,388.0,,1292706.0,,,1628512.25,,,,1838144.0,749902.0,284851.3333333333,48565.666666666664,84742.5,297428.0,48284.0,483365.0,25462.666666666668,10737.0,,,,77712426.0,17541.0,656261.0,,181356.0,15439.5,,39969.0,,33925.25,27.0,14653.0,,12077.5,1183.0,
2011,,12970.5,120626.0,179775.66666666666,342.0,29906.0,228335.5,5042754.0,,728732.3333333334,,38327.666666666664,102263.66666666667,32110.5,,905849.0,1297507.5,4024870.0,,19520.666666666668,248.0,,,,,1629512.5,14362.5,64405.0,1077240.75,,,30997.0,706011.3333333334,1666432.25,1674497.3333333333,43890.0,3400.0,774894.6666666666,151904.0,580854.25,24922.0,175568.33333333334,,197.0,56131.333333333336,7080274.666666667,45090.0,1130238.0,,346348.0,50962.0,401011.0,64188.0,5305.0,76909.5,,32898.0,,30215.5,515.0,67362.0
2012,,17329.0,39393.5,130612.66666666667,71162.0,33077.0,275659.5,,,1123401.0,,48711.333333333336,206806.0,301733.0,,1496189.0,655750.0,3217722.3333333335,,33867.0,,,,,,1070369.0,600.0,,1520648.6666666667,,,,658773.5,692022.5,1380468.5,128178.5,6185.0,2516305.0,56166.0,308560.75,14945.666666666666,29962.0,,,296799.3333333333,42025576.0,26414.5,600885.0,,225921.0,53347.0,372393.0,236885.0,,87285.0,2.0,23728.5,1014.0,36944.5,2145.5,
2013,,29837.5,1095.0,40765.5,41012.0,18243.0,258567.5,,,950691.6666666666,745.0,69902.66666666667,213264.5,51264.0,,137902.0,446307.3333333333,3141294.3333333335,,1933.5,854.0,,,29828.0,,1472864.5,25014.666666666668,,1242876.5,10931.0,,,594800.6666666666,418933.25,1392151.0,53199.5,,675228.0,205493.0,769738.5,43521.75,390515.25,,,93349.75,48826225.5,107065.0,1420331.0,257.0,29644.0,5497.5,,258571.0,6093.0,133791.66666666666,,811266.5,20140.5,43090.0,4192.0,
2014,,14367.0,216357.5,416367.6666666667,43150.0,1394.0,452783.0,,60.0,448318.75,,95489.0,157257.0,501442.3333333333,,65034.666666666664,724277.5,5183620.666666667,,47328.0,8725.0,,2004.0,,,951909.6666666666,10038.5,,1228954.5,624.0,,,912412.5,1555911.25,736782.0,1462160.0,549259.0,935854.3333333334,23469.0,580152.0,395640.0,368307.3333333333,,4078.0,28405.0,1435.0,581750.0,1468125.0,,115449.0,40372.0,489006.0,63463.666666666664,14688.0,119576.25,2.0,77303.0,17322.0,99008.0,1432733.3333333333,66145.0
2015,,10110.0,299355.6666666667,185749.0,8577.0,12409.5,293678.3333333333,,,496461.25,203.0,54928.0,279734.0,39267.0,,226566.5,2738757.5,2903595.25,200.0,23012.0,14564.0,,,5060.0,,1027530.3333333334,30870.5,,2017124.75,1404.0,,3450.0,532254.6666666666,1289563.3333333333,742669.25,20069.5,,544770.3333333334,17715.5,1263178.0,1040115.6666666666,7828.0,,3923.0,37807.666666666664,4305.0,283428.0,1679883.0,,96093.5,637789.0,196719.0,28833.0,17657.0,90355.5,60.0,17949.0,1504.6666666666667,27204.0,73860.0,
2016,,37345.5,58905.0,83752.66666666667,9118.5,,202618.33333333334,,,949175.75,,126793.5,388698.0,3483.0,,9859.333333333334,1041575.6666666666,1334967.5,,21082.0,11279.0,2000.0,,6060.0,,545897.0,17708.25,,1636575.0,1248.0,,,1123922.0,1027601.5,860201.6666666666,,,453217.3333333333,55421.333333333336,61941.666666666664,404766.0,74824.0,,9961.0,9427.0,70713927.0,227424.33333333334,1890366.0,,31733.0,3183.6666666666665,2579.5,28554.333333333332,6886.5,94441.5,1080.0,36820.5,621.0,29253.666666666668,85197.0,
2017,,,370877.0,36200.75,9004.5,43559.0,326172.0,50089.5,,730892.75,,109296.66666666667,131088.25,12510.0,440.0,28953.666666666668,667007.5,1253567.0,,20656.666666666668,13922.0,,,3416.0,,516771.0,254766.66666666666,,1294094.3333333333,6655.333333333333,,,861196.0,1500456.75,788315.25,56000.0,,544210.3333333334,88612.0,427849.0,417707.6666666667,73343.0,,7456.0,6169.333333333333,468156.5,236801.33333333334,1353938.0,,88026.5,5260.333333333333,5051.5,92405.66666666667,13517.0,73197.5,22136.0,71198.0,13975.0,38162.0,43224.5,
2018,,21987.0,323597.6666666667,50151.666666666664,6816.5,133688.0,221067.25,3678.0,8421.0,480314.75,,104535.33333333333,219641.0,16548.0,,55828.0,636153.0,2689757.25,307.0,27582.666666666668,19377.0,,,1021.5,,360814.6666666667,561142.25,3968.5,2435861.0,321.0,,,972721.6666666666,961762.75,521481.0,22773.0,,655215.3333333334,47267.666666666664,991683.25,473097.6666666667,178008.5,,3885.5,10450.0,50758908.0,153970.0,1668201.0,,84632.0,46771.0,11381.0,253249.66666666666,4733.666666666667,103123.25,4732.0,80950.0,16530.0,17498.0,236425.0,
2019,,10276.5,65983.75,8699.0,5411.333333333333,247760.0,197969.5,4532.0,7851.0,267295.0,371.0,93954.66666666667,150097.75,88831.5,,55520.666666666664,623534.25,1829073.5,1678.0,32102.0,6243.0,,,406.0,,365411.0,927015.25,,776601.0,32061.0,101.0,,607651.3333333334,518479.25,330425.75,6111.0,,598177.0,49465.666666666664,630187.0,521704.0,14711.0,3456.0,6417.0,6342.5,104731918.0,220943.33333333334,2357270.0,,93774.5,2429.3333333333335,5465.5,148826.66666666666,8062.5,166654.75,907.0,86768.0,7562.666666666667,36857.666666666664,96645.25,259.0
2020,,508.0,594758.6666666666,115760.0,,83200.33333333333,183406.5,,17170.0,1159394.6666666667,,75892.0,199389.33333333334,73951.5,,44252.0,545386.0,658114.25,,44630.0,6452.0,,,,,243909.25,918417.75,,664820.6666666666,61.0,,,789884.0,1092538.75,321291.75,35000.0,,865948.6666666666,204616.66666666666,544699.75,550194.6666666666,24129.5,,20949.5,2941.0,8840430.0,182809.25,1405198.0,,97260.0,8230.0,12618.0,35725.333333333336,8164.0,155895.25,696.0,31509.0,445.0,20174.0,53155.0,
2021,,53769.0,837668.25,5485.0,1043.0,111219.0,206868.5,23550.0,21827.5,223342.75,73.0,82835.0,107048.25,50020.5,,62359.333333333336,688369.75,850961.5,368.0,29657.0,9599.0,200.0,,,,336252.5,2054314.0,,996076.0,44577.0,,,530091.0,820970.0,249150.0,45689.0,396.0,1216479.0,67916.66666666667,593321.0,425630.5,72401.5,,609833.0,11453.666666666666,23963799.5,226513.0,687607.3333333334,,65627.33333333333,1665.6666666666667,29739.0,38636.25,9882.0,204469.25,13590.0,48119.0,2410.0,35585.333333333336,416372.75,
2022,,1233.0,1514199.25,27423.5,19581.0,146987.0,182579.75,149462.5,33370.5,289298.75,761.0,172216.33333333334,90492.0,40465.0,,47313.75,1067672.0,806334.5,50726.0,55753.666666666664,13962.0,,,2732.0,,510814.3333333333,2031818.75,16044.0,919596.0,150089.0,,,889142.3333333334,830134.75,272413.5,83113.0,,2028320.0,33776.75,1472409.6666666667,502507.0,1374426.3333333333,,260788.0,4046.5,5125568.666666667,216140.33333333334,2232921.0,,93518.0,26255.666666666668,28566.5,54228.0,23078.0,279075.75,532.0,76189.0,4832.0,48960.666666666664,838972.0,
2023,,18710.5,768834.0,256996.0,43030.0,210343.66666666666,492171.5,57120.0,22696.5,1459662.6666666667,15727.0,105158.33333333333,161194.0,9622.0,,54962.666666666664,1206378.3333333333,600433.0,291647.0,43784.75,19622.0,,,2818.0,,450350.0,1582477.25,113058.0,449906.75,333748.5,,,903812.3333333334,2594752.75,412092.75,54663.333333333336,,698540.5,39189.75,642626.75,689697.75,53087.5,,43127.5,1792.5,15241033.0,221415.66666666666,2469776.0,,130277.25,12568.666666666666,11195916.333333334,62093.666666666664,33255.0,164626.5,1509.0,103128.0,994.0,16677.0,809878.25,
2024,867.0,16486.0,1030238.25,468474.75,19642.0,226139.0,414700.0,120489.0,37206.5,453173.3333333333,152.0,121070.66666666667,196628.75,39272.0,,46219.333333333336,1076179.25,789091.0,143806.0,91261.0,24447.0,,,6509.0,,300156.0,1501002.25,158372.5,1417723.5,20568.0,,,852428.3333333334,6976673.5,376289.25,5328.666666666667,,603406.6666666666,71845.33333333333,3137120.5,803976.6666666666,848201.0,,29309.0,5555.666666666667,7946864.666666667,207083.25,638244.5,,105838.0,51763.666666666664,20326.5,82794.25,14871.5,241809.0,4332.0,50081.0,1389.0,53634.666666666664,184345.5,
