date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,350.0,0.0,2100.0,,148200.0,900.0,15000000.0,,21750.0,100.0,9066.666666666666,3100.0,1500.0,,,12466.666666666666,2100100.0,,66.66666666666667,,,,,,78100.0,50.0,,619525.0,,5450.0,,21300.0,425400.0,669300.0,1100.0,,20550.0,,550.0,800.0,27650.0,,,5500.0,28168500.0,3350.0,34600.0,,9000.0,2100.0,3660200.0,133.33333333333334,,850.0,1291400.0,,0.0,,8350.0,
2003,,1800.0,2800.0,2300.0,10500.0,539600.0,2300.0,36370200.0,,27333.333333333332,0.0,6650.0,7233.333333333333,200.0,,314650.0,2166.6666666666665,1941600.0,,0.0,0.0,,,100.0,,54300.0,100.0,,503425.0,,5200.0,,49200.0,132650.0,334100.0,850.0,,450.0,700.0,56250.0,100.0,100.0,,0.0,800.0,,6100.0,30800.0,,,,,150.0,,9600.0,5695800.0,,,,9100.0,0.0
2004,,1050.0,1900.0,1900.0,3500.0,852700.0,1000.0,66053500.0,,28666.666666666668,1100.0,2900.0,7300.0,1400.0,100.0,47500.0,8833.333333333334,3182050.0,,750.0,2700.0,,,800.0,25400.0,236800.0,1100.0,,492550.0,,,,34000.0,669966.6666666666,472900.0,700.0,45900.0,100.0,0.0,45650.0,1400.0,2550.0,21400.0,42200.0,,3200.0,4766.666666666667,10300.0,,,0.0,3700.0,75.0,,13200.0,495300.0,,5800.0,0.0,2233.3333333333335,
2005,,1300.0,3400.0,2100.0,4750.0,43300.0,300.0,21924350.0,,62433.333333333336,10833.333333333334,5166.666666666667,8000.0,,59200.0,1208450.0,13633.333333333334,4439650.0,,450.0,1300.0,,,0.0,4501900.0,109750.0,1200.0,,902975.0,,,,43600.0,134500.0,575900.0,2250.0,116000.0,66350.0,0.0,14866.666666666666,833.3333333333334,2700.0,,300.0,,64100.0,3933.3333333333335,10200.0,,6900.0,150.0,300.0,0.0,,43433.333333333336,30100.0,,0.0,,650.0,15600.0
2006,,1100.0,9400.0,29750.0,7600.0,21600.0,3600.0,,,38033.333333333336,0.0,7833.333333333333,16325.0,1350.0,,709100.0,11066.666666666666,6153050.0,,650.0,200.0,,,100.0,,196550.0,1400.0,,556433.3333333334,,,,42400.0,252200.0,862366.6666666666,633.3333333333334,134700.0,113600.0,0.0,20850.0,400.0,12150.0,18900.0,0.0,1400.0,55056500.0,9100.0,,,12200.0,,400.0,400.0,100.0,19400.0,509150.0,,,,1000700.0,
2007,,1400.0,6850.0,11200.0,6500.0,55600.0,45200.0,28850000.0,,49066.666666666664,,5575.0,25500.0,3400.0,,705533.3333333334,58000.0,7306850.0,,1250.0,,,,600.0,,105233.33333333333,3100.0,,514833.3333333333,,,,297900.0,679533.3333333334,821333.3333333334,633.3333333333334,96000.0,138100.0,0.0,44900.0,1900.0,2000.0,,,300.0,605050.0,4800.0,151100.0,,13600.0,,13550.0,0.0,300.0,15666.666666666666,7200.0,6800.0,0.0,2000.0,12800000.0,
2008,,3600.0,1900.0,4050.0,19300.0,,115200.0,12000000.0,,42366.666666666664,1250.0,9925.0,36766.666666666664,8466.666666666666,,1213566.6666666667,206700.0,7093950.0,,400.0,,,,400.0,,364800.0,4100.0,,697375.0,,,,109966.66666666667,317566.6666666667,10333100.0,1366.6666666666667,52850.0,121000.0,400.0,54900.0,4733.333333333333,18050.0,600.0,,0.0,3700.0,8250.0,251500.0,,25500.0,2900.0,,0.0,,7133.333333333333,633.3333333333334,8700.0,,,8698533.333333334,600.0
2009,,1000.0,7700.0,766.6666666666666,14300.0,0.0,98000.0,,,109766.66666666667,,6100.0,34100.0,3000.0,,939500.0,46633.333333333336,6303200.0,,633.3333333333334,,,12400.0,200.0,,93225.0,2750.0,,767950.0,,34850.0,,175400.0,26466.666666666668,406375.0,5800.0,24000.0,78733.33333333333,3000.0,6900.0,3533.3333333333335,2000.0,,,0.0,192100.0,3550.0,230100.0,,29400.0,0.0,,1200.0,,6966.666666666667,650.0,20550.0,300.0,700.0,166000.0,
2010,,1581.0,72.66666666666667,11231.0,8698.5,57820.0,72271.33333333333,,,125330.66666666667,,7659.333333333333,19988.666666666668,10428.0,,176019.0,20476.333333333332,6966512.5,,1039.5,,,,72.0,,335846.6666666667,,,538075.0,,,,512627.0,1057563.0,485400.0,6428.333333333333,79995.0,98974.66666666667,660.0,140107.66666666666,1342.6666666666667,185.0,,,,152769438.0,7530.0,383865.0,,52394.0,139.5,,324.0,,4532.25,585.0,8184.0,,3649.0,89.0,
2011,,3698.5,1274.0,32608.0,29.0,255600.0,179556.5,20700000.0,,236130.0,,10371.333333333334,6277.333333333333,4598.0,,264144.3333333333,147879.5,47305697.0,,277.3333333333333,54.0,,,,,204511.5,507.0,20160.0,352846.75,,,21240.0,182994.66666666666,2111158.5,10736854.666666666,1450.0,24000.0,255530.0,1767.0,234542.25,895.0,19303.666666666668,,4.0,15403.333333333334,10146347.333333334,14504.0,651620.0,,103120.0,1050.0,219070.0,558.6666666666666,501.0,6112.75,,17510.0,,7844.0,29.0,27992.0
