Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,7117627.0,99778458.5,-92660831.5
1,Beverages and tobacco,Ποτά και καπνός,814699.75,17142402.333333332,-16327702.583333332
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",462552.0,39228794.75,-38766242.75
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",7963847.333333333,11986.0,7951861.333333333
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,852428.3333333334,149114.33333333334,703314.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,3261968.75,2676966.75,585002.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",2519356.25,2385342.5,134013.75
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,3380520.75,3042280.3333333335,338240.4166666665
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,1363709.0,1502079.3333333333,-138370.33333333326
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",796.5,,
