Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,4406987.25,167172299.0,-162765311.75
1,Beverages and tobacco,Ποτά και καπνός,287041.25,4543747.0,-4256705.75
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",638954.75,208835022.0,-208196067.25
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",4849294.666666667,3019100.0,1830194.666666667
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,75038.66666666667,115705.5,-40666.83333333333
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,1972781.75,2040764.0,-67982.25
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",817490.5,3214934.75,-2397444.25
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,114098.5,176828.5,-62730.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,18928.0,67720.25,-48792.25
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",5.0,1.0,4.0
