date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,3346933.3333333335,5500.0,69100.0,21300.0,77050.0,28168500.0,621775.0,1960700.0,296800.0,3802850.0
2003,2160233.3333333335,7725.0,54150.0,49200.0,90300.0,,503425.0,3187250.0,94700.0,18470450.0
2004,1620950.0,12600.0,95200.0,34000.0,106275.0,3200.0,492550.0,519300.0,681100.0,44346366.666666664
2005,3877633.3333333335,11966.666666666666,83400.0,43600.0,115275.0,64100.0,904700.0,696200.0,1605866.6666666667,14643933.333333334
2006,4643366.666666667,21700.0,104800.0,42400.0,192700.0,55056500.0,564566.6666666666,1255533.3333333333,176900.0,549750.0
2007,5733533.333333333,31933.333333333332,129833.33333333333,297900.0,163600.0,405633.3333333333,523900.0,857900.0,516225.0,18282733.333333332
2008,6209633.333333333,30550.0,24766.666666666668,109966.66666666667,218966.66666666666,8050.0,703750.0,6931233.333333333,254800.0,12830333.333333334
2009,4647866.666666667,38066.666666666664,34750.0,175400.0,189100.0,212650.0,775300.0,419375.0,54800.0,202333.33333333334
2010,3667210.75,21374.333333333332,21423.0,512627.0,457249.25,76392903.0,551173.5,544919.0,801541.75,247566.33333333334
2011,36007770.5,9980.0,23730.333333333332,190074.66666666666,541596.5,10152184.0,378626.75,10751584.333333334,2128234.0,5523553.0
2012,27153092.333333332,14953.5,18277.333333333332,168529.5,603930.0,30021051.5,562813.0,9623790.5,809441.0,442488.3333333333
2013,33787345.333333336,24609.75,58981.666666666664,135073.66666666666,415554.5,47964896.666666664,513652.0,17763622.0,466246.25,337556.75
2014,79279104.5,33244.0,42061.666666666664,201299.5,298077.25,34996.0,504388.5,4710421.25,2021180.5,595774.3333333334
2015,48694025.0,147271.33333333334,28751.666666666668,104453.33333333333,519850.75,9228.0,510525.25,22614768.0,1318607.3333333333,538757.5
2016,18156683.5,24373.75,68973.0,236640.5,193605.0,109505997.5,454702.3333333333,30468357.666666668,1208853.75,631982.75
2017,2724473.25,22299.25,48953.666666666664,148122.33333333334,320708.0,2024895.0,418395.6666666667,24819209.75,1734450.25,525331.5
2018,71086925.75,28398.5,95237.33333333333,174565.0,183862.75,111820503.0,397071.5,2118685.25,1202660.25,1035435.25
2019,38722209.25,20882.25,98136.0,125660.0,136156.75,232592219.0,273325.3333333333,776798.75,559848.75,1346841.0
2020,1699647.75,18114.666666666668,107069.33333333333,182349.5,276309.5,17017825.0,224782.0,974346.25,1383372.25,1209766.25
2021,2249866.0,20477.5,120906.0,110871.0,142634.75,48839660.5,303844.25,679970.5,815362.0,1365948.25
2022,2066981.0,13488.5,22.0,163121.0,213574.0,7792596.0,329732.0,637185.25,559321.5,1847129.5
2023,7930007.75,13921.75,,121392.66666666667,197946.0,21260466.0,184501.75,733650.25,1588987.25,2159741.25
2024,1156060.0,17208.0,311.5,74495.66666666667,166577.25,18043038.666666668,342565.5,637872.25,3896952.5,2384013.25
