partner,Exports_Euro,Imports_Euro,Imports_Percent,Exports_Percent,Balance_Euro,code_eu_trade,country_greek,countru_en,code_wb,TotalTrade_Euro
IT,4443557486.0,7448746713.0,9.06,9.13,-3005189227.0,IT,Ιταλία,Italy,ITA,11892304199.0
DE,3792990055.0,9470219210.0,11.52,7.8,-5677229155.0,DE,Γερμανία,Germany,DEU,13263209265.0
CY,3313194667.0,587084163.0,0.71,6.81,2726110504.0,CY,Κύπρος,Cyprus,CYP,3900278830.0
BG,3158193622.0,2900114143.0,3.53,6.49,258079479.0,BG,Βουλγαρία,Bulgaria,BGR,6058307765.0
US,2401891029.0,2344455780.0,2.85,4.94,57435249.0,US,Ηνωμένες Πολιτείες,United States,USA,4746346809.0
RO,2093145539.0,1247669737.0,1.52,4.3,845475802.0,RO,Ρουμανία,Romania,ROU,3340815276.0
GB,1966471543.0,937134137.0,1.14,4.04,1029337406.0,GB,Ηνωμένο Βασίλειο,United Kingdom,GBR,2903605680.0
ES,1643651146.0,3453981518.0,4.2,3.38,-1810330372.0,ES,Ισπανία,Spain,ESP,5097632664.0
FR,1548778195.0,4079995883.0,4.96,3.18,-2531217688.0,FR,Γαλλία,France,FRA,5628774078.0
TR,1378599773.0,3340017090.0,4.06,2.83,-1961417317.0,TR,Τουρκία,Turkey,TUR,4718616863.0
NL,1370568405.0,5075742913.0,6.17,2.82,-3705174508.0,NL,Ολλανδία,Netherlands,NLD,6446311318.0
MK,1300688154.0,338264047.0,0.41,2.67,962424107.0,MK,Βόρεια Μακεδονία,North Macedonia,MKD,1638952201.0
PL,1226665293.0,1799931967.0,2.19,2.52,-573266674.0,PL,Πολωνία,Poland,POL,3026597260.0
LB,1168588398.0,74158376.0,0.09,2.4,1094430022.0,LB,Λίβανος,Lebanon,LBN,1242746774.0
UA,1122577710.0,398402786.0,0.48,2.31,724174924.0,UA,Ουκρανία,Ukraine,UKR,1520980496.0
GI,1069097999.0,2625257.0,0.0,2.2,1066472742.0,,,,,1071723256.0
IL,998255222.0,372874809.0,0.45,2.05,625380413.0,IL,Ισραήλ,Israel,ISR,1371130031.0
AL,906232623.0,292838031.0,0.36,1.86,613394592.0,AL,Αλβανία,Albania,ALB,1199070654.0
LY,797970545.0,1794977290.0,2.18,1.64,-997006745.0,LY,Λιβύη,Libya,LBY,2592947835.0
CN,697214859.0,6485385196.0,7.89,1.43,-5788170337.0,CN,Κίνα,China,CHN,7182600055.0
