partner,Exports_Euro,Imports_Euro,Imports_Percent,Exports_Percent,Balance_Euro,code_eu_trade,country_greek,countru_en,code_wb,TotalTrade_Euro
DE,3792208642.0,9520970106.0,11.55,7.79,-5728761464.0,DE,Γερμανία,Germany,DEU,13313178748.0
IT,4457565753.0,7455642074.0,9.04,9.16,-2998076321.0,IT,Ιταλία,Italy,ITA,11913207827.0
CN,697214859.0,6485385196.0,7.87,1.43,-5788170337.0,CN,Κίνα,China,CHN,7182600055.0
NL,1371052757.0,5078482905.0,6.16,2.82,-3707430148.0,NL,Ολλανδία,Netherlands,NLD,6449535662.0
FR,1548509341.0,4082536561.0,4.95,3.18,-2534027220.0,FR,Γαλλία,France,FRA,5631045902.0
IQ,57356439.0,3987678278.0,4.84,0.12,-3930321839.0,IQ,Ιράκ,Iraq,IRQ,4045034717.0
ES,1645671261.0,3468039979.0,4.21,3.38,-1822368718.0,ES,Ισπανία,Spain,ESP,5113711240.0
TR,1379919431.0,3340021599.0,4.05,2.84,-1960102168.0,TR,Τουρκία,Turkey,TUR,4719941030.0
BG,3156361536.0,2902402952.0,3.52,6.49,253958584.0,BG,Βουλγαρία,Bulgaria,BGR,6058764488.0
BE,684961496.0,2403980856.0,2.92,1.41,-1719019360.0,BE,Βέλγιο,Belgium,BEL,3088942352.0
US,2401895319.0,2344455780.0,2.84,4.94,57439539.0,US,Ηνωμένες Πολιτείες,United States,USA,4746351099.0
KZ,40091731.0,2020352005.0,2.45,0.08,-1980260274.0,KZ,Καζακστάν,Kazakhstan,KAZ,2060443736.0
PL,1226237303.0,1801973415.0,2.19,2.52,-575736112.0,PL,Πολωνία,Poland,POL,3028210718.0
LY,797970545.0,1794950710.0,2.18,1.64,-996980165.0,LY,Λιβύη,Libya,LBY,2592921255.0
RU,73133007.0,1394894971.0,1.69,0.15,-1321761964.0,RU,Ρωσία,Russia,RUS,1468027978.0
RO,2083330168.0,1253700961.0,1.52,4.28,829629207.0,RO,Ρουμανία,Romania,ROU,3337031129.0
IN,128522922.0,1243731597.0,1.51,0.26,-1115208675.0,IN,Ινδία,India,IND,1372254519.0
QY,0,1193996451.0,1.45,0.0,-1193996451.0,QY,Απόρρητο (Εντός Ε.Ε.),Confidential (Intra-EU),,1193996451.0
SA,291142059.0,1137909508.0,1.38,0.6,-846767449.0,SA,Σαουδική Αραβία,Saudi Arabia,SAU,1429051567.0
AZ,9944987.0,1115362153.0,1.35,0.02,-1105417166.0,AZ,Αζερμπαϊτζάν,Azerbaijan,AZE,1125307140.0
