Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,11074397.0,17111155.0,-6036758.0
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,84910820.0,450719566.0,-365808746.0
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,344151606.0,577998028.0,-233846422.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",168755313.0,140322233.0,28433080.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,1212032754.0,2278607264.0,-1066574510.0
05,Vegetables and fruit,Λαχανικά και φρούτα,2591826681.0,1114084642.0,1477742039.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",41458338.0,401527191.0,-360068853.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",20268101.0,134453436.0,-114185335.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,381260993.0,1227134233.0,-845873240.0
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,173631753.0,165825400.0,7806353.0
11,Beverages,Ποτά,291467480.0,302998773.0,-11531293.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,80831702.0,58471904.0,22359798.0
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα",13051396.0,669160.0,12382236.0
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,195525078.0,550549293.0,-355024215.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),11492594.0,20397841.0,-8905247.0
24,Cork and wood,Ξυλεία και φελλός,56617637.0,309362828.0,-252745191.0
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,420470968.0,217100269.0,203370699.0
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",287265802.0,45955158.0,241310644.0
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",3449910703.0,1081299876.0,2368610827.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,880973011.0,2259988140.0,-1379015129.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",19415354.0,185681196.0,-166265842.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",882821465.0,125899947.0,756921518.0
33,"Petroleum, petroleum products and related materials",Πετρέλαιο και προϊόντα πετρελαίου,19813048349.0,30996065473.0,-11183017124.0
34,"Gas, natural and manufactured","Φωταέριο, φυσικό και βιομηχανικό",1136449310.0,6989999445.0,-5853550135.0
35,Electric current,Ηλεκτρική ενέργεια,0.0,0.0,0.0
41,Animal oils and fats,Λάδια και λίπη ζωικής προέλευσης,1472820.0,35022851.0,-33550031.0
42,"Fixed vegetable fats and oils, crude, refined or fractionated","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",176375005.0,302482580.0,-126107575.0
