date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ηλεκτρική ενέργεια,Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,2847384.0,33154851.0,106839306.0,210322028.0,17397932.0,13270236.0,62552704.0,40606525.0,166999686.0,229675955.0,58206129.0,225612085.0,331343671.0,62348180.0,36473081.0,35748550.0,277539093.0,299329787.0,39486169.0,1537122839.0,7153230.0,334.0,52351931.0,29500577.0,2885919.0,31874731.0,422821231.0,,550248198.0,703940.0,393823676.0,25691834.0,24172043.0,4846098.0,1140273.0,255130303.0,1239249003.0,106774524.0,202204657.0,135673918.0,752874766.0,113388613.0,127334859.0,122888424.0,10186518.0,121026.0,31022289.0,42177753.0,67901104.0,883372950.0,191893329.0,150710169.0,7214720.0,137856103.0,43448956.0,315062644.0,260760350.0,40368166.0,493191610.0,247648589.0,45291251.0,30744455.0,118652939.0,95361232.0,419357.0,319723592.0
2003,6784734.0,32378965.0,129416853.0,226319961.0,15426103.0,13802981.0,101775009.0,48051134.0,159700920.0,225699653.0,63266144.0,184460759.0,359566203.0,68768953.0,25512192.0,33779003.0,279248305.0,267786012.0,40181642.0,1617303164.0,7092429.0,,50316873.0,34110106.0,2760083.0,24929210.0,411666557.0,12432965.0,608743261.0,261242.0,446573357.0,29092409.0,26473062.0,6121244.0,744599.0,366188757.0,1063405178.0,111544664.0,219339679.0,116446001.0,739613371.0,66323283.0,106928952.0,219796475.0,10931294.0,8336310.0,7471770.0,46754736.0,101939500.0,704477074.0,184462195.0,204561492.0,9614451.0,156496000.0,51298055.0,331911388.0,261576186.0,39655732.0,567626685.0,360281027.0,40818694.0,26681333.0,111445307.0,106217806.0,537429.0,355779013.0
2004,4301128.0,32489398.0,139967005.0,219185450.0,18747146.0,14367558.0,115593346.0,47539744.0,189254459.0,237584601.0,55367401.0,153387739.0,367777996.0,75397875.0,19384485.0,39909520.0,306225574.0,275668495.0,52551900.0,1516254216.0,6689174.0,,50895034.0,27230781.0,2852373.0,28710012.0,462732871.0,22229764.0,790680699.0,316130.0,365341869.0,28074950.0,28047551.0,7225365.0,1235366.0,186811169.0,1063030560.0,107869190.0,151255196.0,164139451.0,873891257.0,79768264.0,139234493.0,178749143.0,15920819.0,11379022.0,10643661.0,32251453.0,168263529.0,851634798.0,201036595.0,236602110.0,11342369.0,147432023.0,44225775.0,505295184.0,297830801.0,31057479.0,562326248.0,322407162.0,33745462.0,24839746.0,113287286.0,114660128.0,4718987.0,381355547.0
2005,4592297.0,35509136.0,107928334.0,251133268.0,17387637.0,18532190.0,134212158.0,53771594.0,200802416.0,246565452.0,55435882.0,235780432.0,403512182.0,84214036.0,23742328.0,60500357.0,344997283.0,345329586.0,57009448.0,1352715652.0,8319397.0,,54710203.0,49664836.0,3264702.0,31193110.0,527254970.0,8405707.0,1046244063.0,284031.0,431288620.0,25205498.0,35534358.0,7716035.0,1990758.0,456444116.0,1244080993.0,115077873.0,244598122.0,185684451.0,886038253.0,60391616.0,123869613.0,111368947.0,19345017.0,2199801.0,9954629.0,37048725.0,144618713.0,1346053429.0,235423891.0,264555095.0,13133343.0,139234857.0,47000113.0,542310699.0,295401086.0,32710523.0,529002386.0,292791847.0,38865022.0,26125323.0,111381850.0,124504424.0,50537.0,405967029.0
2006,3073688.0,41071150.0,129164767.0,335385607.0,18935608.0,18330826.0,141696392.0,42601870.0,220154877.0,336334425.0,60082739.0,232438023.0,422817140.0,90040499.0,29594438.0,66864785.0,421163323.0,350599315.0,54968825.0,1295910439.0,10133524.0,,56737293.0,92997110.0,3777295.0,32616908.0,697758658.0,18866776.0,998205465.0,470788.0,376590108.0,21512478.0,32487279.0,10924454.0,1588279.0,519325990.0,1322781975.0,123170114.0,117998832.0,277566541.0,1188742854.0,87466264.0,138751762.0,91313889.0,18652638.0,4661.0,9508834.0,39484575.0,193491571.0,2102537538.0,261132576.0,327642277.0,12778323.0,140021282.0,56858586.0,647910129.0,379047142.0,46939873.0,518556744.0,338543881.0,58935489.0,27778239.0,114259259.0,125638645.0,2502660.0,452233237.0
2007,6063926.0,54773511.0,122900787.0,390196758.0,21798533.0,25813428.0,155679293.0,49822597.0,272265617.0,423765201.0,47200051.0,254606799.0,492937861.0,112567674.0,45772616.0,72826976.0,485158615.0,370641016.0,64383827.0,1229715895.0,12468551.0,,53821179.0,48291197.0,4817584.0,36867354.0,696889886.0,19834086.0,973012427.0,1008096.0,364311890.0,25407798.0,68026229.0,19301121.0,1649174.0,390860727.0,1447770849.0,134543500.0,151273142.0,322352629.0,1508683340.0,91044102.0,154192073.0,119921474.0,39122991.0,193325.0,10655163.0,49222543.0,262362209.0,3129576151.0,300482853.0,379518980.0,20690603.0,158090926.0,63898221.0,732909843.0,292933018.0,54807617.0,579242495.0,190493454.0,115569042.0,29056413.0,129726281.0,138165011.0,12892023.0,488245910.0
2008,1281425.0,63799340.0,130897520.0,376914209.0,19195774.0,19776631.0,142339726.0,93675604.0,288351292.0,440576834.0,40024248.0,328091514.0,551460749.0,130173236.0,39684535.0,87491780.0,473296852.0,435712542.0,62022380.0,1092352677.0,13511050.0,,79527900.0,69692811.0,5933005.0,53745907.0,646582734.0,20873427.0,880408643.0,881656.0,445935216.0,30566628.0,88304299.0,27286684.0,2807830.0,339049295.0,1527829065.0,159119599.0,451670898.0,260242068.0,1392796466.0,107531586.0,167934416.0,154648528.0,33605633.0,41736.0,8786209.0,51057773.0,176207905.0,4397601048.0,285654311.0,391454908.0,23419774.0,172776790.0,59400099.0,1024053687.0,301889806.0,71096271.0,541970487.0,245198005.0,156476028.0,33407156.0,128824761.0,161574554.0,193715.0,489500742.0
2009,830594.0,45595879.0,109536932.0,330106026.0,18484241.0,24386265.0,124110792.0,66646245.0,290985571.0,340120283.0,38098120.0,353253661.0,507058788.0,132440069.0,18176272.0,55350578.0,356240390.0,405369084.0,48682697.0,835664551.0,15308441.0,,61996278.0,87607496.0,8173949.0,44745620.0,490792744.0,76037654.0,945078663.0,1629445.0,435284820.0,31722649.0,74706605.0,15557151.0,472325.0,311187344.0,1414703791.0,132274667.0,854424229.0,192377319.0,857118055.0,78863631.0,129738192.0,111564420.0,22788487.0,94635.0,8386144.0,50023907.0,136719822.0,3367622338.0,237370075.0,306788042.0,23517977.0,173472360.0,42866751.0,649227090.0,215233680.0,72269578.0,450365428.0,313054664.0,90789318.0,27631501.0,123616693.0,115843757.0,3330298.0,509476603.0
2010,722515.0,48608632.0,103672760.0,315746238.0,20490256.0,42151896.0,132301669.0,100700071.0,317660152.0,340083125.0,59952429.0,298662638.0,528486170.0,163369694.0,45003373.0,77159923.0,351387905.0,363855954.0,53920529.0,823764599.0,15420915.0,,66540503.0,128914548.0,10955261.0,41258871.0,564745467.0,85070386.0,1036966731.0,3463548.0,390887113.0,34202486.0,80666385.0,21203312.0,530282.0,301918197.0,1600754326.0,176384384.0,373930044.0,277383609.0,1269684919.0,68317043.0,166683716.0,163324600.0,20303046.0,16630.0,7336871.0,66775192.0,156927827.0,5137370683.0,264253621.0,409693904.0,33605564.0,169796057.0,40150949.0,682400198.0,249100398.0,69104143.0,434760357.0,402590820.0,198088019.0,35447152.0,139881336.0,134854065.0,1259933.0,560261247.0
2011,1749290.0,44218902.0,107451224.0,294334261.0,25622491.0,47453229.0,130954452.0,124042838.0,340421509.0,346848163.0,72577503.0,317889015.0,535859386.0,194418383.0,62987680.0,90454359.0,429034197.0,300336361.0,68669723.0,809563304.0,20006872.0,,65594835.0,119686911.0,29375891.0,40838994.0,706775148.0,151321592.0,916078391.0,4368602.0,389385513.0,43406154.0,64474385.0,21022860.0,809437.0,332884237.0,1636519656.0,196925806.0,242558035.0,312552564.0,1607957455.0,54542642.0,181927174.0,116986112.0,27740202.0,,9521679.0,44842134.0,167103380.0,7081760354.0,295197787.0,427786099.0,38027822.0,197236456.0,42494537.0,1103187423.0,324347529.0,66943727.0,419087452.0,264204536.0,164983590.0,40879635.0,152958590.0,150026025.0,17155997.0,629143897.0
