Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,8261140375.0,9203791771.0,-942651396.0
1,Beverages and tobacco,Ποτά και καπνός,1390094628.0,1043737954.0,346356674.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",1774639174.0,2258463286.0,-483824112.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",14909662383.0,21638140540.0,-6728478157.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,1097364065.0,459253426.0,638110639.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,6149449272.0,12168768380.0,-6019319108.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",7618350673.0,10097420934.0,-2479070261.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,4927539795.0,18994811803.0,-14067272008.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,3679125080.0,9056488945.0,-5377363865.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",142608668.0,26796432.0,115812236.0
