Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,5029374027.0,6507783148.0,-1478409121.0
1,Beverages and tobacco,Ποτά και καπνός,372299211.0,361470677.0,10828534.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",5334722543.0,4671003789.0,663718754.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",21832319124.0,38111964982.0,-16279645858.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,194494841.0,358076050.0,-163581209.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,3363547054.0,4091562302.0,-728015248.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",7359314263.0,6515058592.0,844255671.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,554047324.0,1652788849.0,-1098741525.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,369398591.0,918486356.0,-549087765.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",27714401.0,1398.0,27713003.0
