date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,2390091687.0,2130175474.0,199153412.0,261116674.0,1557161711.0,931511585.0,531679779.0,635260924.0,2128057650.0,1357142174.0
2003,2434857857.0,2263392734.0,266477987.0,373054600.0,1624201579.0,764513467.0,603069357.0,696874323.0,1949479693.0,1540688575.0
2004,2830014529.0,2210490986.0,405582078.0,200098772.0,1769379606.0,911911152.0,520007425.0,715971403.0,2010177385.0,1792587325.0
2005,3202691966.0,2066709498.0,108159301.0,467829189.0,1797783970.0,1397916455.0,574367914.0,718385692.0,2333090567.0,2189886862.0
2006,3797383370.0,2124992368.0,89710717.0,537025768.0,2116050069.0,2183413491.0,524141960.0,883376268.0,2544918960.0,2329961861.0
2007,4449527934.0,2134461762.0,184585781.0,413847870.0,2262036169.0,3271043205.0,525721551.0,811800548.0,2779157790.0,2485075199.0
2008,4520050920.0,2079219746.0,216984382.0,371352803.0,2513310616.0,4576231928.0,622265207.0,850845308.0,3036249485.0,2441193707.0
2009,3136424973.0,1738619004.0,197719230.0,331331801.0,2427137199.0,3535279904.0,615172389.0,782263408.0,2990808837.0,2260386596.0
2010,3502813560.0,1745252559.0,530915389.0,330162258.0,2161654022.0,5421251603.0,569460230.0,1049519774.0,3301711068.0,2548486522.0
2011,4306070727.0,1739229602.0,677815171.0,359079058.0,2224966568.0,7399814826.0,594520817.0,994746809.0,3473252063.0,2472995148.0
2012,3885511758.0,1705405247.0,628462150.0,403197732.0,2223999155.0,10649368467.0,636103155.0,1259911983.0,3609978045.0,2476451183.0
2013,3728039390.0,1737180979.0,588537985.0,581726007.0,1996472633.0,10597418092.0,590933986.0,1146227221.0,3656593638.0,2599857727.0
2014,3781668290.0,1793854582.0,576030719.0,323170136.0,2253974609.0,10257182971.0,593209943.0,1036194795.0,3775659372.0,2694536226.0
2015,4150887876.0,1811458569.0,601602703.0,722964774.0,2555687306.0,7546967984.0,670333548.0,1035690305.0,3919613675.0,2738500347.0
2016,3981392373.0,1950968140.0,547673233.0,675626159.0,2590117698.0,6896657707.0,739063867.0,1027865803.0,4289469315.0,2746925393.0
2017,4640040823.0,2100956986.0,533954399.0,570510828.0,2579842395.0,8979510675.0,716881430.0,1300892180.0,4362832655.0,3077549635.0
2018,5245599767.0,2329629543.0,556436880.0,706668333.0,2929416872.0,11484623421.0,724571093.0,1379522310.0,4614422121.0,3501499419.0
2019,5034792525.0,2856695175.0,535648503.0,422528941.0,3178849513.0,10668287392.0,750265558.0,1483502510.0,4817906588.0,4116007112.0
2020,4884078049.0,2435273289.0,463627528.0,573952705.0,3267656128.0,6731583085.0,797073709.0,1270635025.0,5319229083.0,5057570777.0
2021,6232840293.0,2938524016.0,541214899.0,745113168.0,3878328727.0,11264928324.0,925531632.0,1891500376.0,5885900604.0,5667664289.0
2022,8533113401.0,3812421991.0,154021155.0,1050086092.0,4988661939.0,20996863784.0,1152807263.0,1983339380.0,6985713065.0,6105157174.0
2023,7698484945.0,3679900687.0,143984748.0,1438162093.0,5046838813.0,16479206034.0,1280371208.0,1645709037.0,7617541274.0,5987181550.0
2024,7618350673.0,3679125080.0,142608668.0,1097364065.0,4927539795.0,14909662383.0,1390094628.0,1774639174.0,8261140375.0,6149449272.0
