date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,5064401700.0,150720100.0,139421600.0,166770800.0,206503400.0,4273408100.0,288940900.0,3841089400.0,2877348500.0,1536437900.0
2003,5309647300.0,173324100.0,140011800.0,236711900.0,209859000.0,3601431400.0,307542100.0,4241779600.0,2301182600.0,1940478200.0
2004,5992795900.0,175708900.0,123471900.0,118768300.0,244196100.0,3412401200.0,281281700.0,4417478700.0,2139438100.0,1965172400.0
2005,7127633900.0,175339200.0,14043700.0,199978900.0,273871800.0,3791635300.0,357868000.0,4814464200.0,3021441800.0,2043328300.0
2006,5695070500.0,203622400.0,15326800.0,214089900.0,315059000.0,4816593100.0,297051700.0,4546305800.0,3043479700.0,1955397100.0
2007,7300852500.0,207483100.0,41954600.0,205917900.0,338994900.0,7392378700.0,280474800.0,4531132000.0,2745642300.0,2323416600.0
2008,8002433800.0,204652200.0,66198900.0,182518900.0,333409200.0,8752395500.0,4446888200.0,4329307700.0,2905902200.0,2412880400.0
2009,7228857600.0,163663500.0,49736500.0,185651200.0,356499600.0,9483372200.0,4189684900.0,3868605900.0,3270926600.0,2040556000.0
2010,7097356104.0,152056116.0,146043258.0,184187075.0,300734677.0,11110002265.0,269253652.0,3913226880.0,3540284640.0,2552259897.0
2011,5807363702.0,163420421.0,164942126.0,185659410.0,330324180.0,11777886353.0,297542856.0,3938801866.0,3292959565.0,2549028855.0
2012,7325254994.0,170106064.0,163678981.0,193961471.0,368892489.0,15059750470.0,300079074.0,4602046775.0,3343407766.0,2291966789.0
2013,8038537978.0,170057979.0,164243767.0,244464392.0,324257196.0,16381331894.0,272083927.0,4894763152.0,3176733997.0,2431601829.0
2014,8231416142.0,184221595.0,175710483.0,134580039.0,307251788.0,17585686597.0,263311532.0,4964659660.0,3437413134.0,2467289266.0
2015,7885284998.0,201119673.0,163758771.0,249606631.0,325347209.0,18421557491.0,274313095.0,5031978013.0,3156222931.0,2542794687.0
2016,8491864608.0,226064970.0,142158253.0,240882181.0,321832794.0,20198247183.0,282430293.0,5038500368.0,4015112043.0,2389994790.0
2017,8765606376.0,233631478.0,130969322.0,173699305.0,322693556.0,21626224068.0,281531812.0,5532730032.0,3496599327.0,2689766188.0
2018,8679091501.0,296157585.0,138434445.0,251301406.0,313828935.0,22727625257.0,280593129.0,6108316166.0,3815787626.0,2855962442.0
2019,8285689907.0,402500868.0,119183480.0,170200677.0,384047639.0,22291685890.0,301744142.0,5924288971.0,3870347637.0,3019103429.0
2020,7663591166.0,348675545.0,97288171.0,257426781.0,371810075.0,21601122322.0,321481386.0,5363400274.0,4191821743.0,2897208030.0
2021,8136689457.0,391832187.0,101732600.0,285541805.0,477048318.0,22629776408.0,377192209.0,5862580245.0,4368094868.0,3032433697.0
2022,7691619418.0,452993567.0,24082070.0,297631352.0,540017237.0,21876694413.0,406440412.0,5844757320.0,4237393408.0,3238825417.0
2023,7331956625.0,395027761.0,26774237.0,351714048.0,552691704.0,23149629684.0,357529197.0,5290289770.0,4624431571.0,3205747622.0
2024,7355596911.0,374760199.0,27714401.0,194756143.0,556973228.0,21833133891.0,372436888.0,5332745064.0,5030689502.0,3359169101.0
2025,6414721776.0,324391845.0,22367655.0,249870344.0,614783992.0,21176502534.0,393373928.0,5302873391.0,5100484929.0,3716277566.0
