date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,5321468928.0,4570294513.0,506144949.0,123072785.0,13111881096.0,4577452772.0,665254921.0,993497816.0,3808964810.0,4787670843.0
2003,5602907867.0,4881649749.0,588027892.0,120434864.0,15344733447.0,5059981512.0,677320205.0,1010473784.0,3877388839.0,5312567528.0
2004,6499104398.0,5512365765.0,414358073.0,142588085.0,15180766894.0,5408296709.0,682600719.0,1138839081.0,4148250453.0,6021357082.0
2005,6366757522.0,5833885132.0,356356691.0,132985842.0,13033203027.0,7942974931.0,728742890.0,1168966604.0,4287002195.0,6586376848.0
2006,7653717893.0,6448422349.0,408044292.0,172161826.0,15384170954.0,9755862504.0,732966622.0,1294499104.0,4564889382.0,7159608683.0
2007,8690424562.0,7623764743.0,990411324.0,225326013.0,18648859954.0,9915894647.0,766087553.0,1651998091.0,5247052847.0,8099066959.0
2008,8524681600.0,8039901606.0,252401996.0,306578258.0,17845381193.0,13849018882.0,782064448.0,1741466010.0,5549700297.0,8638161630.0
2009,5644588206.0,6993820035.0,101868109.0,220608962.0,16358620731.0,8822041068.0,851624622.0,1112846729.0,5108846104.0,7923295894.0
2010,5626002068.0,6069933981.0,660330214.0,239275077.0,10163998336.0,12278499100.0,697952392.0,1265915515.0,5116134427.0,7530357691.0
2011,5366171285.0,4932157984.0,157172158.0,260946536.0,7786259603.0,14814231705.0,577267070.0,1413361694.0,5366521371.0,7214078571.0
2012,4593818018.0,4156127975.0,70069967.0,291305511.0,7131045607.0,18280435105.0,507203321.0,1318849526.0,5036226607.0,6581610285.0
2013,4673069658.0,4161859594.0,35381545.0,269571360.0,5996190105.0,17232493978.0,500016894.0,1226368281.0,5157096172.0,6570950482.0
2014,4881553399.0,4589768914.0,135803809.0,282020381.0,6947835116.0,16299626065.0,512980991.0,1223603675.0,5152936858.0,6669090897.0
2015,4850217375.0,4668517942.0,100166766.0,276372640.0,7374104177.0,11343147291.0,562150938.0,1136288175.0,5091951686.0,6808442075.0
2016,5266143871.0,5092547701.0,45092176.0,245328156.0,7897756588.0,9728476741.0,617524733.0,1125440056.0,5402021584.0,6896681215.0
2017,5959623362.0,5327444916.0,256008061.0,294616943.0,8265395774.0,12216154874.0,632262574.0,1287377631.0,5670159606.0,7446877038.0
2018,6512200161.0,5792206992.0,51402186.0,259579190.0,9699336733.0,15963121843.0,665373155.0,1411882508.0,5756745381.0,8007981897.0
2019,6316684298.0,6604452430.0,270057758.0,227960734.0,10523994741.0,14917061970.0,665575190.0,1439699018.0,6082037988.0,8679212516.0
2020,5919679562.0,5549285341.0,100629285.0,227269765.0,9882295391.0,9713748300.0,562948536.0,1325236349.0,5668573906.0,10004142573.0
2021,7779958145.0,6759381321.0,106925590.0,371046792.0,13414683386.0,16934520110.0,678768511.0,1857950014.0,6494910705.0,10968758079.0
2022,10698052396.0,8913427396.0,30066383.0,571103560.0,16825581393.0,33532082136.0,870003423.0,2375434177.0,8305683480.0,12431299774.0
2023,9544303224.0,8747163616.0,37740950.0,490331844.0,18180345548.0,22766463406.0,977004930.0,2053082290.0,8506450022.0,11785451455.0
2024,10127326581.0,9325059978.0,28240317.0,459780213.0,19218545111.0,21639282324.0,1054632288.0,2264171857.0,9236132690.0,12248468413.0
