date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,5347894600.0,476654300.0,398536500.0,175379400.0,1123625300.0,24904940100.0,260607100.0,4346801100.0,4861581300.0,2828668200.0
2003,5966159000.0,548750500.0,185788500.0,188784600.0,1202851700.0,26650606500.0,313221200.0,5004707700.0,4738064500.0,3121187800.0
2004,6376740000.0,680341900.0,1976500.0,205508000.0,1324114700.0,26577297100.0,335350500.0,4798571000.0,4905172500.0,3298975300.0
2005,6047261500.0,665624800.0,16138800.0,208865800.0,1201210600.0,27696532200.0,328436700.0,5148148600.0,4840724600.0,3069398000.0
2006,7055654800.0,807136100.0,1277700.0,272514900.0,1345038400.0,27846455700.0,279865000.0,4988568800.0,5186999800.0,3227544000.0
2007,7652396200.0,1059485200.0,1290600.0,313535200.0,1574525800.0,28767109800.0,277766700.0,5832873500.0,5709186900.0,3324747600.0
2008,6985089600.0,1007293900.0,674200.0,322286300.0,1461878500.0,31051486400.0,293069400.0,5088738600.0,5208991500.0,3405828800.0
2009,5368541500.0,852789400.0,375300.0,309312000.0,1229513800.0,28899396400.0,282593800.0,3951254300.0,4767740300.0,2925069300.0
2010,4745517215.0,700473259.0,2877862.0,298422508.0,850696883.0,29759477776.0,289480419.0,3739729315.0,4979391172.0,2985981974.0
2011,4238164203.0,588082926.0,3158946.0,263622319.0,700705135.0,28277990134.0,260376423.0,3449310930.0,5078023676.0,2654918074.0
2012,3525792631.0,484773876.0,1896557.0,277939257.0,632524935.0,30527998480.0,234194488.0,2628638041.0,4339514991.0,2511128116.0
2013,3666981000.0,466506875.0,752872.0,294503413.0,557275935.0,30781070704.0,204737374.0,2795056253.0,4542210847.0,2731813079.0
2014,3979735802.0,516952731.0,1694010.0,312683616.0,620648038.0,31387881794.0,205714829.0,2960565696.0,4554771680.0,2955491780.0
2015,3873507719.0,522551456.0,1473234.0,301751226.0,616614511.0,33602576392.0,197074981.0,3176335522.0,4673931592.0,3068496807.0
2016,4321769174.0,593918732.0,290438.0,280539555.0,710422944.0,35275655748.0,219168420.0,3547971804.0,5292905178.0,3217771563.0
2017,4469569115.0,583562858.0,725386.0,325000896.0,739647819.0,36390905577.0,241037997.0,3708957781.0,5616878135.0,3296629134.0
2018,4944083981.0,700889302.0,545239.0,311123527.0,890934283.0,38066563122.0,235795565.0,4039388220.0,5676716947.0,3435208165.0
2019,4899057552.0,823923745.0,1305842.0,296729170.0,943723607.0,35959040459.0,252394199.0,4086567720.0,5832489693.0,3508575684.0
2020,4702435603.0,674703098.0,1808336.0,264508053.0,883393322.0,35524935823.0,223656672.0,3925317322.0,5385699417.0,3645498694.0
2021,5249772246.0,807240763.0,1795583.0,321477766.0,1128264569.0,37891750862.0,265708311.0,4187232276.0,5966804923.0,3815046589.0
2022,5820852745.0,921634555.0,1307.0,339188063.0,1304242586.0,37662985930.0,322526527.0,4300395916.0,5893624259.0,3909007566.0
2023,5769249417.0,872595646.0,1623.0,372788955.0,1381756065.0,37293600778.0,308715435.0,4109050458.0,5923041233.0,3645535210.0
2024,6515058592.0,918486356.0,1398.0,358076050.0,1652788849.0,38111964982.0,361470677.0,4671003789.0,6507783148.0,4091562302.0
