date,Exports_Euro,Exports_KG,Imports_Euro,Imports_KG,Total_Trade_Euro,Trade_Balance_Euro,Exports_Euro_6m_avg,Exports_Euro_12m_avg,Imports_Euro_6m_avg,Imports_Euro_12m_avg,Total_Trade_Euro_6m_avg,Total_Trade_Euro_12m_avg,Trade_Balance_Euro_6m_avg,Trade_Balance_Euro_12m_avg
2002-01-01,917871098.0,1461188500.0,2769425250.0,4324927400.0,3687296348.0,-1851554152.0,917871098.0,917871098.0,2769425250.0,2769425250.0,3687296348.0,3687296348.0,-1851554152.0,-1851554152.0
2002-02-01,991519882.0,1479659100.0,2958767604.0,4059099700.0,3950287486.0,-1967247722.0,954695490.0,954695490.0,2864096427.0,2864096427.0,3818791917.0,3818791917.0,-1909400937.0,-1909400937.0
2002-03-01,1085284972.0,1707942100.0,3174689875.0,3331511400.0,4259974847.0,-2089404903.0,998225317.3333334,998225317.3333334,2967627576.3333335,2967627576.3333335,3965852893.6666665,3965852893.6666665,-1969402259.0,-1969402259.0
2002-04-01,1140177330.0,1790624700.0,3287837145.0,3675388000.0,4428014475.0,-2147659815.0,1033713320.5,1033713320.5,3047679968.5,3047679968.5,4081393289.0,4081393289.0,-2013966648.0,-2013966648.0
2002-05-01,1052224227.0,1741112800.0,3221478379.0,3403748300.0,4273702606.0,-2169254152.0,1037415501.8,1037415501.8,3082439650.6,3082439650.6,4119855152.4,4119855152.4,-2045024148.8,-2045024148.8
2002-06-01,968082408.0,1551998400.0,2936234882.0,3241929400.0,3904317290.0,-1968152474.0,1025859986.1666666,1025859986.1666666,3058072189.1666665,3058072189.1666665,4083932175.3333335,4083932175.3333335,-2032212203.0,-2032212203.0
2002-07-01,1150057187.0,1690481500.0,3517206537.0,4026141700.0,4667263724.0,-2367149350.0,1064557667.6666666,1043602443.4285715,3182702403.6666665,3123662810.285714,4247260071.3333335,4167265253.714286,-2118144736.0,-2080060366.857143
2002-08-01,779959777.0,1384285400.0,2481783379.0,3309057600.0,3261743156.0,-1701823602.0,1029297650.1666666,1010647110.125,3103205032.8333335,3043427881.375,4132502683.0,4054074991.5,-2073907382.6666667,-2032780771.25
2002-09-01,954237060.0,1375125800.0,3412864320.0,3148664700.0,4367101380.0,-2458627260.0,1007456331.5,1004379326.7777778,3142900773.6666665,3084476374.5555553,4150357105.1666665,4088855701.3333335,-2135444442.1666667,-2080097047.7777777
2002-10-01,998093426.0,1286292000.0,3566590036.0,3657637100.0,4564683462.0,-2568496610.0,983775680.8333334,1003750736.7,3189359588.8333335,3132687740.7,4173135269.6666665,4136438477.4,-2205583908.0,-2128937004.0
2002-11-01,1046418472.0,1240691600.0,3416517456.0,4058073400.0,4462935928.0,-2370098984.0,982808055.0,1007629621.7272727,3221866101.6666665,3158490442.090909,4204674156.6666665,4166120063.818182,-2239058046.6666665,-2150860820.3636365
2002-12-01,1037425231.0,1835640500.0,3722308570.0,4488509200.0,4759733801.0,-2684883339.0,994365192.1666666,1010112589.1666666,3352878383.0,3205475286.0833335,4347243575.166667,4215587875.25,-2358513190.8333335,-2195362696.9166665
2003-01-01,979171093.0,1377501900.0,3349794754.0,4264246900.0,4328965847.0,-2370623661.0,965884176.5,1015220922.0833334,3324976419.1666665,3253839411.4166665,4290860595.6666665,4269060333.5,-2359092242.6666665,-2238618489.3333335
2003-02-01,1076468492.0,1590083500.0,3403852079.0,3714590500.0,4480320571.0,-2327383587.0,1015302295.6666666,1022299972.9166666,3478654535.8333335,3290929784.3333335,4493956831.5,4313229757.25,-2463352240.1666665,-2268629811.4166665
2003-03-01,1105161245.0,1355085600.0,3797972638.0,3746163500.0,4903133883.0,-2692811393.0,1040456326.5,1023956329.0,3542839255.5,3342870014.5833335,4583295582.0,4366826343.583333,-2502382929.0,-2318913685.5833335
2003-04-01,1082541572.0,1704086600.0,3494369195.0,4582628200.0,4576910767.0,-2411827623.0,1054531017.5,1019153349.1666666,3530802448.6666665,3360081018.75,4585333466.166667,4379234367.916667,-2476271431.1666665,-2340927669.5833335
2003-05-01,1034849443.0,1562019200.0,3520685103.0,4084263400.0,4555534546.0,-2485835660.0,1052602846.0,1017705450.5,3548163723.1666665,3385014912.4166665,4600766569.166667,4402720362.916667,-2495560877.1666665,-2367309461.9166665
2003-06-01,1036474014.0,1507690000.0,3483648426.0,3397877400.0,4520122440.0,-2447174412.0,1052444309.8333334,1023404751.0,3508387032.5,3430632707.75,4560831342.333333,4454037458.75,-2455942722.6666665,-2407227956.75
2003-07-01,1112462528.0,1594269600.0,3389891945.0,3797750800.0,4502354473.0,-2277429417.0,1074659549.0,1020271862.75,3515069897.6666665,3420023158.4166665,4589729446.666667,4440295021.166667,-2440410348.6666665,-2399751295.6666665
2003-08-01,823280844.0,1562267600.0,2603131125.0,3655059300.0,3426411969.0,-1779850281.0,1032461607.6666666,1023881951.6666666,3381616405.3333335,3430135470.5833335,4414078013.0,4454017422.25,-2349154797.6666665,-2406253518.9166665
2003-09-01,1090389369.0,1658279100.0,4261289584.0,4538666300.0,5351678953.0,-3170900215.0,1029999628.3333334,1035227977.4166666,3458835896.3333335,3500837575.9166665,4488835524.666667,4536065553.333333,-2428836268.0,-2465609598.5
2003-10-01,1106954301.0,1617040400.0,3709187352.0,4211349900.0,4816141653.0,-2602233051.0,1034068416.5,1044299717.0,3494638922.5,3512720685.5833335,4528707339.0,4557020402.583333,-2460570506.0,-2468420968.5833335
2003-11-01,1014899152.0,1465539100.0,3518129315.0,3633583100.0,4533028467.0,-2503230163.0,1030743368.0,1041673107.0,3494212957.8333335,3521188340.5,4524956325.833333,4562861447.5,-2463469589.8333335,-2479515233.5
2003-12-01,1053958119.0,1468105400.0,3943534171.0,4293942700.0,4997492290.0,-2889576052.0,1033657385.5,1043050847.6666666,3570860582.0,3539623807.25,4604517967.5,4582674654.916667,-2537203196.5,-2496572959.5833335
2004-01-01,932419309.0,1264724200.0,3237698492.0,3963920400.0,4170117801.0,-2305279183.0,1003650182.3333334,1039154865.6666666,3545495006.5,3530282452.0833335,4549145188.833333,4569437317.75,-2541844824.1666665,-2491127586.4166665
2004-02-01,908987015.0,1183489100.0,3468499023.0,3848259000.0,4377486038.0,-2559512008.0,1017934544.1666666,1025198075.9166666,3689722989.5,3535669697.4166665,4707657533.666667,4560867773.333333,-2671788445.3333335,-2510471621.5
2004-03-01,1149609216.0,1414700400.0,4241613634.0,4662013500.0,5391222850.0,-3092004418.0,1027804518.6666666,1028902073.5,3686443664.5,3572639780.4166665,4714248183.166667,4601541853.916667,-2658639145.8333335,-2543737706.9166665
2004-04-01,1109934540.0,1720574900.0,3701932705.0,4056160500.0,4811867245.0,-2591998165.0,1028301225.1666666,1031184820.8333334,3685234556.6666665,3589936739.5833335,4713535781.833333,4621121560.416667,-2656933331.5,-2558751918.75
2004-05-01,1056937427.0,1525625900.0,4037313428.0,4038420500.0,5094250855.0,-2980376001.0,1035307604.3333334,1033025486.1666666,3771765242.1666665,3632989100.0,4807072846.5,4666014586.166667,-2736457637.8333335,-2599963613.8333335
2004-06-01,1234916114.0,1863585300.0,4042772946.0,3824706800.0,5277689060.0,-2807856832.0,1065467270.1666666,1049562327.8333334,3788305038.0,3679582810.0,4853772308.166667,4729145137.833333,-2722837767.8333335,-2630020482.1666665
2004-07-01,1233698495.0,1721653400.0,3919259966.0,4113683900.0,5152958461.0,-2685561471.0,1115680467.8333333,1059665325.0833334,3901898617.0,3723696811.75,5017579084.833333,4783362136.833333,-2786218149.1666665,-2664031486.6666665
2004-08-01,883192818.0,1561451300.0,3002543924.0,4072621200.0,3885736742.0,-2119351106.0,1111381435.0,1064657989.5833334,3824239433.8333335,3756981211.6666665,4935620868.833333,4821639201.25,-2712857998.8333335,-2692323222.0833335
2004-09-01,1135228530.0,1386325900.0,4228964855.0,5080169900.0,5364193385.0,-3093736325.0,1108984654.0,1068394586.3333334,3822131304.0,3754287484.25,4931115958.0,4822682070.583333,-2713146650.0,-2685892897.9166665
2004-10-01,1120708760.0,1717999500.0,3378930833.0,2678961400.0,4499639593.0,-2258222073.0,1110780357.3333333,1069540791.25,3768297658.6666665,3726766107.6666665,4879078016.0,4796306898.916667,-2657517301.3333335,-2657225316.4166665
2004-11-01,1265858459.0,1721095000.0,3957959937.0,4053252500.0,5223818396.0,-2692101478.0,1145600529.3333333,1090454066.8333333,3755072076.8333335,3763418659.5,4900672606.166667,4853872726.333333,-2609471547.5,-2672964592.6666665
2004-12-01,1334729978.0,1789488300.0,3931037516.0,4111877900.0,5265767494.0,-2596307538.0,1162236173.3333333,1113851721.75,3736449505.1666665,3762377271.5833335,4898685678.5,4876228993.333333,-2574213331.8333335,-2648525549.8333335
2005-01-01,925860076.0,1451019000.0,3355587494.0,4577987000.0,4281447570.0,-2429727418.0,1110929770.1666667,1113305119.0,3642504093.1666665,3772201355.0833335,4753433863.333333,4885506474.083333,-2531574323.0,-2658896236.0833335
2005-02-01,1142064960.0,1584095400.0,3564346763.0,3943627800.0,4706411723.0,-2422281803.0,1154075127.1666667,1132728281.0833333,3736137899.6666665,3780188666.75,4890213026.833333,4912916947.833333,-2582062772.5,-2647460385.6666665
2005-03-01,1262828641.0,1941438000.0,4306493307.0,4749724300.0,5569321948.0,-3043664666.0,1175341812.3333333,1142163233.1666667,3749059308.3333335,3785595306.1666665,4924401120.666667,4927758539.333333,-2573717496.0,-2643432073.0
2005-04-01,1239323267.0,1733485400.0,3712871671.0,3659890700.0,4952194938.0,-2473548404.0,1195110896.8333333,1152945627.0833333,3804716114.6666665,3786506886.6666665,4999827011.5,4939452513.75,-2609605217.8333335,-2633561259.5833335
2005-05-01,1151122728.0,1824144200.0,3642563392.0,3890925300.0,4793686120.0,-2491440664.0,1175988275.0,1160794402.1666667,3752150023.8333335,3753611050.3333335,4928138298.833333,4914405452.5,-2576161748.8333335,-2592816648.1666665
2005-06-01,1260391368.0,2150742200.0,3784245506.0,3773063100.0,5044636874.0,-2523854138.0,1163598506.6666667,1162917340.0,3727684688.8333335,3732067097.0,4891283195.5,4894984437.0,-2564086182.1666665,-2569149757.0
2005-07-01,1348914568.0,1877678500.0,3839443765.0,3726441900.0,5188358333.0,-2490529197.0,1234107588.6666667,1172518679.4166667,3808327400.6666665,3725415746.9166665,5042434989.333333,4897934426.333333,-2574219812.0,-2552897067.5
