date,Exports_Euro_World,Exports_KG_World,Imports_Euro_World,Imports_KG_World,World_Balance_Euro
2002,12121351070.0,18545042400.0,38465703433.0,44724687900.0,-26344352363.0
2003,12516610172.0,18461968000.0,42475485687.0,47920122000.0,-29958875515.0
2004,13366220661.0,18870713200.0,45148527259.0,48504047500.0,-31782306598.0
2005,14856821414.0,21819605100.0,46437251682.0,49222341600.0,-31580430268.0
2006,17130974832.0,21101996000.0,53574343609.0,51011055200.0,-36443368777.0
2007,19317257809.0,25368247400.0,61858886693.0,54512917500.0,-42541628884.0
2008,21227704102.0,31636587000.0,65529355920.0,54825337200.0,-44301651818.0
2009,18015143341.0,30837554000.0,53138160460.0,48586586100.0,-35123017119.0
2010,21161226985.0,29265404564.0,49648398801.0,48352048383.0,-28487171816.0
2011,24242490789.0,28507929334.0,47888167977.0,45514352766.0,-23645677188.0
2012,27478388875.0,33819144873.0,47966691922.0,45164401372.0,-20488303047.0
2013,27222987658.0,36098076111.0,45822998069.0,46040908352.0,-18600010411.0
2014,27085481643.0,37751540236.0,46695220105.0,47496139976.0,-19609738462.0
2015,25753707087.0,38251983499.0,42211359065.0,50034313440.0,-16457651978.0
2016,25445759688.0,41347087483.0,42317012821.0,53460413556.0,-16871253133.0
2017,28862972006.0,43253451464.0,47355920779.0,55372914698.0,-18492948773.0
2018,33472389759.0,45467098492.0,54119830046.0,58301248351.0,-20647440287.0
2019,33864483817.0,44768792640.0,55726736643.0,56603807671.0,-21862252826.0
2020,30800679378.0,43113825493.0,48953809008.0,55231956340.0,-18153129630.0
2021,39971546328.0,45662921794.0,65366902653.0,59635093888.0,-25395356325.0
2022,55762185244.0,44610454614.0,94552734118.0,60474459454.0,-38790548874.0
2023,51017380389.0,45285792219.0,83088337285.0,59676334820.0,-32070956896.0
2024,50002860668.0,44437975328.0,85601639772.0,63103306927.0,-35598779104.0
