month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Μήνας
1,12093753285.0,10906706545.0,9253199757.0,9697072809.0,10792538767.0,12259826172.0,12689800748.0,10755977682.0,10015391504.0,12572990121.0,13465926904.0,13672966532.0,13519081044.0,14682422085.0,15227571001.0,16611053658.0,16528681236.0,18977403208.0,19800219758.0,14892348270.0,23162123368.0,31240514771.0,28348167417.0,30087853378.0,Ιαν.
2,11754032211.0,9803345389.0,9246020600.0,9521774069.0,10864385740.0,11896376128.0,11970347701.0,11443644346.0,9820223250.0,12492861552.0,13413084582.0,12248483818.0,13552220376.0,15502288212.0,17250670993.0,16990982760.0,15434575112.0,19488964206.0,19035017612.0,16158509370.0,24268926655.0,26544128768.0,27564520151.0,28814358137.0,Φεβ.
3,12556609017.0,10820722736.0,10768452993.0,10546494479.0,12316897024.0,12437557490.0,12695421502.0,12996202064.0,12494760988.0,14038133833.0,15367539020.0,13823630282.0,13676763920.0,18343386063.0,18009202000.0,19642235120.0,18105182132.0,20065855692.0,20598916714.0,20656843907.0,29066367444.0,31742076440.0,28008298025.0,31175201818.0,Μαρ.
4,13317097989.0,11294638963.0,11792550298.0,11861628351.0,11704586522.0,12508155230.0,13200666253.0,10924842890.0,11281135053.0,13223538787.0,14139157775.0,14470953044.0,14108635063.0,19276736379.0,16971366913.0,16471429952.0,17331892492.0,19569763605.0,16967793168.0,18674181258.0,28773884666.0,27717802425.0,29231011415.0,30204014304.0,Απρ.
5,12025088630.0,10792686203.0,10858735245.0,10895604063.0,11618831023.0,12350591240.0,12342025287.0,10941182328.0,11411542596.0,13568700475.0,14857613766.0,14554865388.0,13926445930.0,16100727626.0,16114299944.0,18531040042.0,18620333717.0,20335624753.0,13614031744.0,18832128626.0,31298634566.0,28507547367.0,30072399746.0,28089299890.0,Μάι.
6,11381318071.0,10148294917.0,11181244522.0,11103419644.0,11836670787.0,11749494949.0,12848081619.0,10583178051.0,13181482761.0,12842161868.0,14246936460.0,13774987510.0,14857261366.0,16988704908.0,17125928264.0,17817484257.0,18398997955.0,19310259468.0,14802926341.0,20103581037.0,31651135017.0,28665453225.0,26295248366.0,30744186064.0,Ιούν.
7,11397028310.0,9799877722.0,9549749350.0,10267599281.0,10809532274.0,11721135176.0,13355224816.0,9842403374.0,12206586030.0,11556392196.0,14254498375.0,13962869341.0,14412617226.0,15974015580.0,14504042806.0,15240680983.0,17518259031.0,19893919469.0,15336646658.0,18357312473.0,29652604196.0,28020616809.0,28214997707.0,31306163882.0,Ιούλ.
8,10383739453.0,8552105530.0,9611752153.0,10681989552.0,10647651958.0,11308011889.0,10947235116.0,8726212401.0,10982455780.0,12117765743.0,13699783987.0,12246104282.0,13307082913.0,14445306057.0,15369668220.0,16828486899.0,17252332803.0,17736778550.0,14845281916.0,19049207798.0,32714747554.0,27782882773.0,26936215300.0,26413857631.0,Αύγ.
9,9998014030.0,10077382158.0,10056434559.0,10682404336.0,10701327443.0,11503041939.0,12425775951.0,9787445269.0,12294908611.0,12565683665.0,12826960888.0,13599560700.0,14232429026.0,16568941671.0,15735059870.0,15721082083.0,18094848961.0,19454791856.0,17269787437.0,20615323722.0,33512159334.0,28619781777.0,26993385041.0,,Σεπ.
10,12023821579.0,10521952146.0,10642029807.0,11219259399.0,12192514974.0,12676814782.0,12809547372.0,10231543835.0,12446835617.0,13879152865.0,14939427978.0,15208224310.0,15796344021.0,17121444377.0,16036282706.0,16799364676.0,19709083278.0,22420257139.0,16568617783.0,20560212676.0,33453239829.0,28909226226.0,28173348317.0,,Οκτ.
11,11660405785.0,10268357658.0,10732451472.0,11524440701.0,11663556885.0,12239269724.0,12190227149.0,10284009573.0,13194249635.0,13422384899.0,13710090430.0,14560816062.0,13978788650.0,16231620661.0,17178679161.0,17631930157.0,19508833314.0,19666921884.0,16387564182.0,21558322563.0,32585439246.0,30120755782.0,28686221650.0,,Νοε.
12,10159582426.0,9496188850.0,10457713197.0,11474970073.0,11910290330.0,10811329847.0,12419045809.0,10762918458.0,12730840875.0,12746542942.0,12173665003.0,12596928457.0,13490205057.0,16157372287.0,15727580139.0,15120306141.0,18057696237.0,18267101418.0,15865198478.0,23142120702.0,28979189583.0,29282184213.0,26810790075.0,,Δεκ.
