date,EU27_2020_Exports,EU27_2020_Exports,EU27_2020_Imports,EU27_2020_Imports,GR_Exports,GR_Exports,GR_Imports,GR_Imports
2002-01-01,15749095718.0,4303170682.0,12093753285.0,6439349324.0,44368383.0,180885200.0,121726407.0,112485700.0
2002-02-01,16186530823.0,4396674353.0,11754032211.0,5069656546.0,49257673.0,163331700.0,98532225.0,74293100.0
2002-03-01,17781106772.0,4052227015.0,12556609017.0,5513012481.0,61765107.0,206123900.0,125470044.0,66046500.0
2002-04-01,17463700412.0,5278188119.0,13317097989.0,5420951404.0,69966522.0,257600400.0,146497741.0,45805800.0
2002-05-01,17457161247.0,5072210551.0,12025088630.0,4173016251.0,53898570.0,209534700.0,114054726.0,62621700.0
2002-06-01,16758342804.0,4542648917.0,11381318071.0,4041957957.0,35706327.0,99990100.0,108976627.0,50372400.0
2002-07-01,18250856582.0,4962625389.0,11397028310.0,3985794218.0,64031026.0,244267500.0,150742460.0,93991400.0
2002-08-01,15646799188.0,4645722248.0,10383739453.0,3385072943.0,36493606.0,181208300.0,77283895.0,59545300.0
2002-09-01,16382292575.0,5055938184.0,9998014030.0,3688220552.0,41572114.0,160442400.0,111579002.0,8771500.0
2002-10-01,19062023219.0,5604972853.0,12023821579.0,3991955791.0,36267645.0,81511700.0,183395140.0,22845400.0
2002-11-01,17540823297.0,5332268587.0,11660405785.0,4398314031.0,33411574.0,62187700.0,111523034.0,15072200.0
2002-12-01,15390963761.0,5208872847.0,10159582426.0,4629467038.0,48146852.0,179637500.0,142490000.0,22646200.0
2003-01-01,15806052379.0,4779494495.0,10906706545.0,5080602143.0,59987636.0,149367100.0,137301032.0,90888100.0
2003-02-01,15232866515.0,4448859758.0,9803345389.0,4844680881.0,59881732.0,124867500.0,149658175.0,83433800.0
2003-03-01,15563741738.0,5020316910.0,10820722736.0,4808596010.0,71507353.0,105026700.0,150082826.0,58282100.0
2003-04-01,15571851252.0,5215963537.0,11294638963.0,4400733778.0,81591375.0,217730700.0,103918089.0,97934500.0
2003-05-01,15820805907.0,5742801770.0,10792686203.0,4216786791.0,53478349.0,213988800.0,206134529.0,46814000.0
2003-06-01,14786350755.0,4852498868.0,10148294917.0,3759142910.0,50335398.0,256357000.0,296417269.0,73883900.0
2003-07-01,16446646172.0,4604181960.0,9799877722.0,4191812502.0,46685675.0,136815100.0,170962084.0,11344900.0
2003-08-01,13529877834.0,4219762418.0,8552105530.0,3694022353.0,48478610.0,222744100.0,106704268.0,8323500.0
2003-09-01,16491543362.0,4658021144.0,10077382158.0,4179317555.0,94017474.0,226270400.0,241468035.0,41720800.0
2003-10-01,17665305035.0,4982258445.0,10521952146.0,4049542678.0,46357650.0,189129000.0,233673145.0,65444900.0
