Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,10.0,40814.0,-40804.0
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,6371.0,,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,75231297.0,123216.0,75108081.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",29027889.0,1120823.0,27907066.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,55435753.0,1895503.0,53540250.0
05,Vegetables and fruit,Λαχανικά και φρούτα,415510202.0,35362991.0,380147211.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",12086872.0,155332.0,11931540.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",3887281.0,349212.0,3538069.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,77137.0,15578168.0,-15501031.0
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,42374944.0,6714375.0,35660569.0
11,Beverages,Ποτά,26478167.0,4356862.0,22121305.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,9370885.0,6597106.0,2773779.0
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα",26.0,1367451.0,-1367425.0
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,2448008.0,963126.0,1484882.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),58649.0,1067858.0,-1009209.0
24,Cork and wood,Ξυλεία και φελλός,41909.0,5044770.0,-5002861.0
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,498.0,14496581.0,-14496083.0
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",452571.0,6960169.0,-6507598.0
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",18779529.0,2697393.0,16082136.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,107695.0,95895631.0,-95787936.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",4347027.0,2209509.0,2137518.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",61474.0,408.0,61066.0
33,"Petroleum, petroleum products and related materials",Πετρέλαιο και προϊόντα πετρελαίου,550999503.0,85177492.0,465822011.0
34,"Gas, natural and manufactured","Φωταέριο, φυσικό και βιομηχανικό",933.0,936141468.0,-936140535.0
42,"Fixed vegetable fats and oils, crude, refined or fractionated","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",76728944.0,119316.0,76609628.0
