Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,2.0,96.0,-94.0
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,41.0,,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,7988824.0,11393.0,7977431.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",4107333.0,215433.0,3891900.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,20789644.0,955605.0,19834039.0
05,Vegetables and fruit,Λαχανικά και φρούτα,142299280.0,10875179.0,131424101.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",2250504.0,37620.0,2212884.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",366919.0,41377.0,325542.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,128524.0,34136892.0,-34008368.0
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,10618831.0,1132578.0,9486253.0
11,Beverages,Ποτά,7866331.0,398428.0,7467903.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,1001880.0,905175.0,96705.0
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα",1.0,6906.0,-6905.0
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,643108.0,650923.0,-7815.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),43478.0,295872.0,-252394.0
24,Cork and wood,Ξυλεία και φελλός,3937.0,3809564.0,-3805627.0
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,9.0,16877428.0,-16877419.0
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",267311.0,1856430.0,-1589119.0
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",354231430.0,3317479.0,350913951.0
