date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,3844423.0,106320755.0,10776794.0,3638720.0,1322974.0,3700508.0,1761474.0,,43309271.0,8625562.0,4762451.0,81508763.0,3113497.0,11856820.0,5307735.0,13189845.0,6425507.0,4766710.0,5796805.0,281328.0,,49624013.0,68531.0,5674.0,4145856.0,71453569.0,112888589.0,463497.0,2865363.0,302882.0,53495.0,232337.0,430042.0,3136174.0,22500921.0,1831607.0,274889482.0,370697.0,4309586.0,28052627.0,46888964.0,87275053.0,5321732.0,,15419280.0,9963460.0,43093186.0,43313000.0,2920990.0,2164264.0,7231254.0,6633327.0,7475981.0,894054.0,43098241.0,2706400.0,6067837.0,377436.0,1962407.0,4633753.0,6401701.0,26502703.0,36338.0,6073289.0
2003,,4445469.0,90997055.0,14369977.0,3255826.0,1093737.0,4070368.0,1209930.0,37980.0,41392049.0,6811068.0,8245118.0,93863911.0,3043976.0,8208490.0,2676317.0,12163935.0,5545599.0,4913964.0,7771522.0,353089.0,,43075362.0,88519.0,79945.0,3231389.0,54810729.0,69440261.0,221163.0,2538859.0,295959.0,30118.0,202919.0,,341238.0,28929725.0,1351899.0,1183489552.0,56180.0,3878573.0,23972601.0,35959896.0,124640395.0,3703291.0,1031.0,13125554.0,4676152.0,67628655.0,19274214.0,2454977.0,2339446.0,5420699.0,7368296.0,11362240.0,1450602.0,36422317.0,1991522.0,7017157.0,334766.0,1480837.0,5522738.0,7074816.0,30060485.0,972.0,2822679.0
2004,350473.0,4779127.0,124545891.0,10825194.0,2629418.0,1219611.0,4688607.0,1449902.0,,35197614.0,13325216.0,8455992.0,77264761.0,3129952.0,10386364.0,4602275.0,8508730.0,5375879.0,5907533.0,6400639.0,487749.0,,12015543.0,1287923.0,282362.0,1613855.0,47287681.0,72159427.0,165473.0,13573978.0,442738.0,26785.0,113791.0,1005.0,37117.0,33615858.0,1439198.0,445756640.0,17015.0,2381362.0,25493212.0,33874494.0,98860242.0,43036603.0,,11528022.0,35735953.0,85201647.0,37215119.0,2601443.0,1731130.0,4817282.0,7085009.0,4488594.0,827900.0,75803088.0,1266033.0,5389622.0,293068.0,1856068.0,4184698.0,5585387.0,28536984.0,4334.0,2554689.0
2005,,5882216.0,85930281.0,9512593.0,2358438.0,1112425.0,5493928.0,1470190.0,,31982613.0,14399418.0,8315008.0,54956580.0,3100440.0,6980060.0,2525906.0,11260449.0,5814765.0,4170427.0,7373830.0,337638.0,,13609323.0,256932.0,135652.0,1525294.0,46610567.0,82684838.0,210455.0,29507431.0,733971.0,13758.0,146287.0,1089.0,41931.0,59329353.0,1518753.0,145165656.0,5587321.0,2830552.0,26554010.0,34050786.0,89256144.0,7491763.0,,12509251.0,4879177.0,53914156.0,82718445.0,1705621.0,1260422.0,4179171.0,7230633.0,5029127.0,2939803.0,62537002.0,1593537.0,6005719.0,331215.0,1283596.0,3346258.0,8241799.0,26590826.0,5108.0,3175572.0
2006,,6736594.0,88208069.0,8994527.0,1850146.0,800046.0,3778871.0,1050947.0,,30733903.0,18024649.0,6427242.0,64587645.0,2591457.0,11014027.0,3073870.0,8452132.0,5535409.0,5345307.0,8886147.0,491133.0,,4742116.0,43526.0,339788.0,1552812.0,43788235.0,88992372.0,136188.0,15909074.0,1012894.0,21120.0,87819.0,1009.0,152540.0,50666764.0,1463710.0,85334275.0,52792558.0,3436699.0,24148628.0,32008445.0,64145469.0,6060669.0,,12593998.0,5148502.0,53938265.0,57134641.0,2196721.0,1588441.0,2953887.0,7344180.0,4301694.0,1757373.0,28968935.0,1369039.0,5386119.0,301474.0,1861236.0,3115582.0,10133428.0,23257831.0,32488.0,3703734.0
2007,,7598600.0,100230041.0,9171667.0,2727380.0,940043.0,4298895.0,1325634.0,81204.0,43684588.0,18709390.0,4365457.0,76227381.0,5028252.0,10760074.0,4222825.0,12811563.0,6913006.0,5936970.0,10722646.0,418947.0,,7870110.0,40206.0,405867.0,1819161.0,43348622.0,61022007.0,153246.0,23259686.0,1132383.0,670120.0,79487.0,,172801.0,45579242.0,1684832.0,293875790.0,102710474.0,6328838.0,25133694.0,46441963.0,39392120.0,5432375.0,,15989057.0,27969061.0,69308371.0,91051909.0,2491213.0,15352680.0,9101309.0,9933099.0,2948232.0,213829.0,25292274.0,892189.0,4868803.0,695699.0,1712102.0,3793155.0,17520723.0,24923587.0,,5575240.0
2008,8674971.0,7825687.0,70841431.0,10407017.0,2403133.0,1114822.0,3723166.0,1814648.0,7129.0,38257058.0,24491895.0,2702698.0,70047526.0,6665023.0,12575706.0,6470578.0,10302450.0,7321042.0,5660555.0,10279112.0,456049.0,,39916630.0,46824.0,537044.0,1360093.0,40241475.0,50698545.0,104614.0,12068319.0,854178.0,446940.0,128634.0,2083.0,102985.0,34861283.0,1524671.0,523879989.0,125832651.0,2466755.0,14633394.0,44699708.0,89510022.0,6972863.0,,16985903.0,7238289.0,85755118.0,147416425.0,2276533.0,6759336.0,8770356.0,8218128.0,3739119.0,3034481.0,35531053.0,940623.0,4797497.0,344324.0,1082129.0,3922752.0,23780886.0,20693178.0,,4088625.0
2009,1863226.0,4645972.0,57849601.0,7871421.0,1181095.0,857527.0,3370121.0,757920.0,76391.0,40791259.0,7147873.0,3052571.0,69573526.0,7270897.0,4184196.0,4873330.0,17215991.0,3217876.0,3555965.0,11868737.0,520332.0,,10008350.0,41707.0,678993.0,1330804.0,40705313.0,84081686.0,91544.0,12188648.0,734710.0,78341.0,42485.0,,216573.0,34935669.0,978606.0,1155800577.0,48763989.0,1575975.0,8205575.0,33163961.0,87821728.0,5073562.0,,10488331.0,71001932.0,39849936.0,134578553.0,2076320.0,5391404.0,8299092.0,10101498.0,14550431.0,1085170.0,18732864.0,324169.0,3108708.0,263141.0,1287429.0,10384336.0,18478546.0,17134526.0,,7409470.0
2010,7051382.0,3667797.0,44113156.0,7973289.0,3917898.0,1645604.0,3706583.0,1021636.0,68663.0,46634526.0,10398690.0,3723372.0,57991496.0,6372303.0,7562974.0,2823222.0,6774146.0,5124036.0,2445477.0,6712778.0,405228.0,,15050555.0,47017.0,698446.0,3998175.0,30972264.0,55832284.0,67322.0,13027449.0,800351.0,838281.0,98190.0,1492.0,218417.0,30177268.0,892914.0,539115651.0,33882362.0,1780124.0,6028218.0,14662287.0,168762775.0,2740836.0,21022.0,9642563.0,56863955.0,16126021.0,61616173.0,2249927.0,3279677.0,8502759.0,7135195.0,3253348.0,3710341.0,14188333.0,349090.0,3383529.0,212421.0,1018035.0,2238154.0,20648933.0,14254834.0,,3014711.0
2011,,1951394.0,33790987.0,5742168.0,5480581.0,507067.0,1897325.0,730675.0,21033.0,25337236.0,17221685.0,2528250.0,31483779.0,6444992.0,13966116.0,2798523.0,5864899.0,4439161.0,1813887.0,5814873.0,247988.0,,20614346.0,13949.0,450067.0,4932882.0,24421382.0,45709062.0,3529.0,4054124.0,766149.0,169477.0,75833.0,,194302.0,23844532.0,898719.0,58580052.0,51890436.0,2103870.0,4312797.0,10764651.0,74193645.0,2592227.0,24509.0,4200042.0,1899835.0,21687562.0,248199550.0,3050900.0,2926350.0,5629656.0,6108619.0,1538600.0,1601334.0,9140078.0,421506.0,1987199.0,158929.0,971243.0,1377857.0,19100276.0,14655992.0,10503.0,5172930.0
